,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,MSE_EBCF,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,c,0.0604919324024186,0.06829259134744958,0.011609427516697192,0.0682883752359589,0.07224144468926702,0.06829403246448834,0.015551361666573333,-0.1417622295401215,-0.05828168307818778,-0.09396850263471128,-0.05828193810905539,0.5287141631015525,-0.04765560107671851,train
1,100,False,True,d,0.018989786438820936,0.01084437455336279,0.002914501031382902,0.010847062819959714,0.011446359398720124,0.007229399627897743,0.007409249806997689,-0.03839125661139021,-0.011315132025286587,-0.0258170573817158,-0.011316366252258323,0.07313041705675272,-0.005780439890616704,train
2,100,False,True,e,0.18234942414353966,0.19395730185220272,0.1654183580528305,0.19201813183839422,0.306272562758292,0.2576319765439635,0.16726616348143838,0.13584926416642518,0.16005039178184585,0.1730374997633826,0.15950198735073395,0.31016023209350385,0.23986484256800225,train
3,100,False,True,f,0.0596987592352377,0.06529949071696768,0.012575136081419793,0.06530707591867464,0.05627401378239972,0.06602015390141473,0.013008964029119921,-0.1084269210078001,-0.04651717084652631,-0.07419346542763815,-0.046529184431951476,0.6337055481517803,-0.032437580288823875,train
4,200,False,True,c,0.06477868395181083,0.06114390856381515,0.05439036550445663,0.061156515007199604,0.0669865553020557,0.051843191208097446,0.00908019568709235,-0.030807295375355235,0.07073789355204682,0.08207842356169884,0.07072606997475354,0.45954215375731555,0.08885348420868167,train
5,200,False,True,d,0.023567327249405908,0.015515530850654219,0.0009696482874932684,0.015534213403303396,0.007559969600077859,0.0046418416975949174,0.006789515127803708,-0.0021633845023082358,0.009102639299320146,0.009201141329219802,0.009100634817937596,0.016684284619411686,0.013435215607958323,train
6,200,False,True,e,0.15997828198015365,0.18087693202407082,0.13882347350158805,0.17707083659894698,0.20622055859244717,0.20213626973727736,0.141057161658615,0.10215201442888869,0.11530011574300975,0.11524017730936238,0.11635660162494109,0.2853409849692962,0.22332092214666444,train
7,200,False,True,f,0.022420577699510735,0.059964405203672584,0.003376954608790157,0.05995704404254939,0.07252890640058791,0.05705345226254357,0.002080950174694594,-0.04996292963477214,0.0172831986183715,-0.03505041443265316,0.017277971741365975,0.8848331571643416,0.029408885391906836,train
8,400,False,True,c,0.03542666979244103,0.07653119966943475,0.003748391625817771,0.07627909121578283,0.11202553546292467,0.05633541436721445,0.026730649059506957,-0.03521315754323934,0.03772769959904615,-0.009913762334728338,0.03768774003344532,0.6445992188171785,0.06029315588973755,train
9,400,False,True,d,0.004660212962359967,0.00814609229497059,0.0009340414731500946,0.008145951808443887,0.007969249719987623,0.008146113302780138,0.0034699463410884563,-0.015006574135391372,-0.0007291645781278788,-0.007917629721770889,-0.0007291060592091725,0.08858756666624604,-0.00010831413256637279,train
10,400,False,True,e,0.17351951980799743,0.19293136407125924,0.16773277724345714,0.19292574410593613,0.24078837942332199,0.22196523802229748,0.1757758088832516,0.1039788231712042,0.1311394550410359,0.11624865550155299,0.13112120945196168,0.32540162631206526,0.22261074589261134,train
11,400,False,True,f,0.009354511401132713,0.05473087190440535,0.003106140176289377,0.05473182126002021,0.071817137916594,0.05369966729971743,0.005343633136552994,-0.055872236597681375,0.02522217249562708,-0.04857935373337936,0.02521379778350621,0.8542227862222985,0.03414024197277454,train
12,800,False,True,c,0.020380987331556313,0.06031280557389964,0.0031570041262138694,0.060309424353161105,0.08889853388888352,0.06214760011133027,0.008142634434158953,0.016471005830965287,0.07579340347631679,0.03179613899369775,0.0757542247849296,0.5981062476381236,0.08145758175407392,train
13,800,False,True,d,0.003435598258964965,0.005019249484288869,0.0006372194897132496,0.005019515447052979,0.00557974163877962,0.005019625498720469,0.004054640067301084,-0.008427522478725316,-0.0025755806303943275,-0.005090712173736194,-0.0025758271160499116,0.013332917373574879,-0.002269315371037084,train
14,800,False,True,e,0.16086896905220763,0.18188277810047598,0.15384929118773505,0.1818803076926055,0.26814104758347646,0.2313360899193479,0.166694885228757,0.14191053969539036,0.1728330454743212,0.15221420147591463,0.17281667768073103,0.30689295308173553,0.2347144837374931,train
15,800,False,True,f,0.001841438035369459,0.055757865563578674,0.0015002120028902543,0.05575909906624037,0.06748981970082396,0.05343742301862509,0.010600684644331145,-0.022796777002769365,0.03294682927900979,-0.020990335893689892,0.032934143942112186,0.9670085165468223,0.0405164586623617,train
16,1600,False,True,c,0.03501564912756346,0.0536869459007994,0.004584556923530957,0.05369303284482856,0.07997070203345175,0.05482486174141392,0.007731721742872307,-0.02470884730106298,0.06350092017012762,-0.000799568326037916,0.06351174009832278,0.5864099811570251,0.0689250610931027,train
17,1600,False,True,d,0.00422564790054154,0.004830082831774429,0.00019465387895059547,0.00483034781739693,0.0057141275262773475,0.004830358930689533,0.0006147242900971175,-0.008265791108883789,-0.00041007667070264376,-0.004990551385614785,-0.00041030693187607884,0.018181366175524863,-0.0002538916767490379,train
18,1600,False,True,e,0.14442744675671623,0.16496789002819276,0.141632260982813,0.16490968816951326,0.2463069778652553,0.22432673623510677,0.15203768821300173,0.1405677019332541,0.15808137619876875,0.14722169157213866,0.15806915451041603,0.361471705138664,0.23232368846212642,train
19,1600,False,True,f,0.0005447803260131262,0.05878514942135689,0.0015132181948885415,0.05878173228096794,0.07865214167704672,0.056819825054961505,0.0015064279038254315,-0.0063706664694365926,0.03500928402150564,-0.006015822016317451,0.03500043594850226,0.8854235779647195,0.043803352158049425,train
20,3200,False,True,c,0.0015795943834628011,0.0521878585861645,0.0011428788077071114,0.052141540574576144,0.07916307650583022,0.05458695185226116,0.0012329856803370918,-0.02424380446240229,0.04244209488101376,-0.023644615833421534,0.04241586269051311,0.4573521035112696,0.044279767282456584,train
21,3200,False,True,d,0.0003837395990300906,0.0048156334074636094,0.00484559872743421,0.004815666251131793,0.0049711705945643635,0.004809076506654474,0.00034832993350198093,-0.0028712432045029934,0.00119980401297628,0.0013491563997231433,0.001198776229679499,0.07309348479733176,0.0012770601342381588,train
22,3200,False,True,e,0.16125831845514907,0.18403255839060337,0.15466726112039952,0.18406197616654574,0.26022052119356376,0.23359389684897394,0.16769787614708784,0.15463223455546185,0.17138721553913513,0.15957430434628883,0.17137230989338442,0.38920419708599974,0.23878748900145116,train
23,3200,False,True,f,0.0011579371045775722,0.05774719793563927,0.000686314944945602,0.057745889173262385,0.08157256110347222,0.0590984738884637,0.014060223578845135,-0.01952933685689609,0.02629760101202713,-0.019380305736719425,0.0262877488431203,0.932476308342526,0.03137338430570474,train
24,6400,False,True,c,0.004511540761246759,0.05378095717381544,0.0018587415870879287,0.053779532945544585,0.08320896632379556,0.05753293233183046,0.0009674144690350103,-0.009096511007120101,0.04767371363675928,-0.004212995403005841,0.04767039147522283,0.414512264921669,0.0501320719900048,train
25,6400,False,True,d,0.00010181850979518528,0.00568436588705376,0.00032618936606139035,0.005654695969558192,0.0065317449859684015,0.00568886698240022,0.0013849451366825722,-0.0024124598945484046,0.0037026857319736274,-0.0018972149711056385,0.0036901560631080878,0.1041251161969625,0.0037431854438208234,train
26,6400,False,True,e,0.14856052549322232,0.16680139409890996,0.14718238285462903,0.1667897131675649,0.24914203036068605,0.2271113170214961,0.1576191836064004,0.14126661297087217,0.16074299246378743,0.14304998111103592,0.16072244112500308,0.4138480246242066,0.2322513679722233,train
27,6400,False,True,f,0.006099588642148661,0.06299631460112506,0.0017001749710598207,0.06298653132598905,0.08143816957136032,0.05700494028123535,0.0005474137346443304,0.007407471176043786,0.05101713530260767,0.010871967812568446,0.05101271470585608,0.9165971423675561,0.06273273427368758,train
28,100,False,True,c,0.04765043682427862,0.062450919755101725,0.011609427516697192,0.06244647205006413,0.5914960919212572,0.06298336776753369,0.01627342540504586,-0.10193180324433425,-0.046974024840526596,-0.10870017377101635,-0.04697045034269941,0.5512955217761955,-0.036662181270586236,test
29,100,False,True,d,0.0059530211622837005,0.0060532042774486304,0.002914501031382902,0.006053972546700191,0.06946101110827514,0.0036483882962586134,0.001295467820417304,-0.01543287706438717,-0.00871831074811526,-0.015391408635825608,-0.008719129094794428,0.06918406821416723,-0.008403715931043138,test
30,100,False,True,e,0.17845276427202905,0.20298991519293236,0.1654183580528305,0.20187361148389102,0.271197222186914,0.21427446190771565,0.14259185566730945,0.16805113354104517,0.16811948453923692,0.16919957399611854,0.16771062074310428,0.33943389435087523,0.2401129071018899,test
31,100,False,True,f,0.06577359358507483,0.06287546211650116,0.012575136081419793,0.06288357500942526,0.574231511920875,0.0546821147661713,0.024669724928692807,-0.02550443258767384,-0.036128878387485915,-0.055020489798143404,-0.03614258414767932,0.5005606308454316,-0.0311810880172812,test
32,200,False,True,c,0.09252020060258964,0.0709232605182683,0.05439036550445663,0.07093614828644093,0.4040087016052858,0.07359035790581088,0.02021882187625286,0.036551594944716506,0.1187357707609386,0.13660163178139306,0.1187221043984652,0.5948895354009237,0.13418865221374493,test
33,200,False,True,d,0.006925999607525824,0.010179879780973136,0.0009696482874932684,0.01019564010902835,0.008631425704020675,0.003213418170545525,0.000731611669662348,0.008952084070778639,-0.004244926413904615,0.0011099144265946915,-0.0042406020753522,0.001206797423817818,-0.0021989175360394853,test
