,n,use_location,use_scale,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,MSE_EBCF,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,0.07853093686034156,0.050299413706053134,0.05056265114879581,0.05029457253724095,0.07242973210566292,0.05258897596965082,0.04668554642606733,-0.08582283763752567,0.004833860665160685,-0.05107767068831545,0.004827069572560063,0.35019759551226726,0.01958791383123193,train
1,100,False,True,0.23933765035734947,0.10774010203867862,0.03677564552146853,0.13340998325249354,0.0923058267834364,0.08886109681090405,0.06757094780014346,-0.01588275422713068,0.15990233247006275,0.12021260836276705,0.15450847196597167,0.7549481686432944,0.18216847786697818,train
2,100,False,True,0.07043209088384572,0.05546437725655764,0.002469530627839879,0.05546302465942429,0.06760103657898281,0.053058992110993915,0.04218577293381166,-0.14823540362916646,-0.03293688769723616,-0.08301886336181973,-0.032943830511305235,0.9572099999376199,-0.015664940523127724,train
3,200,False,True,0.026177559636201074,0.05759590623830136,0.0011838152446163796,0.05758945127311117,0.08549596974742771,0.06110827907876173,0.018837204064037844,-0.1343008006770815,-0.03839614467115652,-0.1072254045821306,-0.038408540112402106,0.23077029990296566,-0.03001530196580693,train
4,200,False,True,0.06831405878284406,0.06583691875635916,0.010466164327460186,0.0658296721511271,0.10366338433447235,0.07030816447478783,0.03396858152725908,-0.007550459742371085,0.07046707931435449,0.0314272569746674,0.07047646612748622,0.46901862893446133,0.08353113395811168,train
5,200,False,True,0.03893326860852244,0.05823888748753074,0.0012584483873132313,0.05825497108283157,0.07945488509649572,0.05725090323203226,0.018120982242914568,-0.034669271283112424,0.0521238103039056,-0.006801408261921469,0.05211757059577266,0.7644703533886548,0.05856959631445763,train
6,400,False,True,0.03007250555872688,0.059533164554628086,0.00645435112555062,0.059534923870639564,0.07371461573761605,0.056412621211161015,0.014259165922009534,-0.049360565576923233,0.040653461974517455,-0.031789248301849586,0.04062897211672855,0.38469045677738734,0.04897579604555519,train
7,400,False,True,0.06457456732674212,0.058932415311569966,0.008296008810540519,0.05893580808988161,0.06210881036547696,0.05349328967152129,0.013709361269224304,-0.0012936027879665967,0.0849584491539946,0.04313025122852771,0.08495622075856389,0.48131739806836576,0.09078268959332852,train
8,400,False,True,0.044935874774724736,0.06163994534202796,0.0120960050436568,0.06821416551239484,0.09606663457796243,0.06021204453799989,0.03309201696492063,0.008106499276792644,0.10153008305648684,0.042305344994658864,0.09801326596323293,0.830406385644678,0.11549865123271863,train
9,800,False,True,0.02609513993877792,0.05678232003812018,0.008049248506360275,0.05677688803428478,0.0712361325669243,0.05596580058660595,0.006805400719090091,-0.004915643082267062,0.05479679978898034,0.013696172993181297,0.054759364413651146,0.8036362595716716,0.058703738104489256,train
10,800,False,True,0.05306832128656216,0.07410615169494793,0.007931112525334074,0.07723306714540175,0.08787442267546726,0.05750574189177313,0.013143520883617244,0.007760280685958279,0.06580541315850312,0.03688853724467677,0.06440925697463044,0.8482048878313075,0.08755102735451692,train
11,800,False,True,0.007925375732219834,0.05215621578029319,0.003515727797208779,0.052183482434835476,0.07701623069460042,0.05217665443850135,0.004823616330764483,-0.016413211791380097,0.06039965099814843,-0.013936921986651883,0.060346605731471215,0.7086736948223512,0.06893421439738612,train
12,1600,False,True,0.007228971653060811,0.05646316724816154,0.001255417942812342,0.05646671986796971,0.07685935437260605,0.05374943432165283,0.013085120966340033,-0.004756645926089507,0.054788882933654505,-0.0013506698298231745,0.054782221073324,0.8431385529206337,0.05970723568513753,train
13,1600,False,True,0.013025894619758558,0.053281289150864095,0.0006228814540854837,0.053284445773499736,0.07658666038266905,0.055566787650947115,0.0010873131892988844,0.001240341285971791,0.05103447644653088,0.002518978704212297,0.05105144164556293,0.6964203390817545,0.054333348411957416,train
14,1600,False,True,0.004406847718529173,0.05764911007852494,0.003968752697063948,0.057689124093417705,0.09833920782697908,0.06249951919151516,0.0034804252485470697,-0.02691944758214307,0.0330206748663052,-0.023584385518355146,0.032966097953263614,0.4696741965402215,0.0355197964515111,train
15,3200,False,True,0.006260183783150107,0.05369796828881882,0.0013866250815589326,0.053702796205289574,0.07667473360113752,0.05585603845583349,0.0014506501362086355,-0.00938715819088367,0.04519615565178903,-0.0029129410433611012,0.04521220744837578,0.5337085518134643,0.04816282711733755,train
16,3200,False,True,0.0030598219719167037,0.055497851543172924,0.0011549173909202652,0.05549833438770975,0.07302191777486658,0.05614109774337616,0.002172964770359391,-0.02869068921420364,0.026195335744724702,-0.02690424807181318,0.02619288300361468,0.6688928654401438,0.028310730315747934,train
17,3200,False,True,0.004172860951145908,0.05420763143520094,0.0011543920968620917,0.054189854693789986,0.07960361855760294,0.05630274760946009,0.0017058321445565703,0.0017195392055156839,0.058054659386903254,0.006899724097201968,0.058026733079847334,0.485383917208417,0.060439600174850894,train
18,6400,False,True,0.004086101488912681,0.0538250663102757,0.0019710140862412664,,,0.056295273597701895,0.0012291890467589052,0.01480972402555839,0.07160194321455457,0.018755712250035316,,,0.07469865051936503,train
19,6400,False,True,0.00012059000359774792,0.05362733909776998,0.0011414808229232559,,,0.05532735073452093,0.0004611081074551296,0.00019879568383960046,0.051338010164127756,0.000920595836005865,,,0.05296377383663281,train
20,6400,False,True,0.0009618335306009856,0.053560036516170466,0.0001977137359535951,,,0.05582427465484843,0.0012989621471115663,-0.0031718201576628273,0.05098617784275966,-0.0026333264972397854,,,0.0530004014146202,train
