,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,MSE_EBCF,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,c,0.17755689490682353,0.08270460959895364,0.011014265606755764,0.08271630602566678,0.14988117323615552,0.07347515317895542,0.03910175455014938,-0.11271824961364946,0.053409861393439687,0.01444072968804493,0.05339657058017878,0.6775790893347794,0.07865790544241402,train
1,100,False,True,d,0.00508149841033882,0.005081591424004036,0.004989583376315421,0.005081648021588123,0.006291595712637381,0.005081481557979708,0.003925329247839085,-0.027278939654981543,-0.02727910546251774,-0.026537269434269043,-0.027279647185652785,0.012113802360585027,-0.02463718664669043,train
2,100,False,True,e,0.23075255707315204,0.2661694136273099,0.17390908679657738,0.2664732687987616,0.35876511946345013,0.3035730978804311,0.2061645682372558,0.09219582671351606,0.11086848711204127,0.11774517397314878,0.11085956063262152,0.3202645506891911,0.21756563150233257,train
3,100,False,True,f,0.09499236646161487,0.06408792132600884,0.047298842524519075,0.06404712940246286,0.08926416800786847,0.05515851173658636,0.050358930167083774,-0.05019816965849145,0.012393172017969079,-0.024191424465503947,0.012385640537240407,0.5459252292440958,0.03589141848202604,train
4,200,False,True,c,0.15721148893318662,0.10397842152648616,0.06833573862002379,0.10387714146930781,0.11681357031034514,0.05966172568412974,0.03214668872365118,-0.0975511802863804,0.05772766078744319,0.08768953375505445,0.057704473036247,0.9447812511047143,0.09695153286778135,train
5,200,False,True,d,0.011464066579455758,0.004585682446133154,0.005272531183679655,0.004585439887048867,0.005867320573821349,0.0045856735322617,0.0021713108040236732,-0.020302136073148024,0.003424368602782231,-0.013436287945340032,0.003424684510780498,0.17755618719701288,0.0046205311006396466,train
6,200,False,True,e,0.16212833972085403,0.17693333398364358,0.15078555332098906,0.17693064698561586,0.23934755629968626,0.19573010559799683,0.18819332945762252,0.12745866413470652,0.1555126432296556,0.14717923493522928,0.1555047256255693,0.307020131950475,0.23578137603370503,train
7,200,False,True,f,0.1512625934481987,0.07501197964362938,0.0017785413985842147,0.0751222382915062,0.0759782600792756,0.05714535254184692,0.0122723062588005,-0.023632108839895766,0.08198770865514433,0.04898620583003844,0.08197654403786103,0.933769859574621,0.10224494364337178,train
8,400,False,True,c,0.011449628018418511,0.051711110125125886,0.0026389275551869677,0.051711298037177736,0.07995381306822327,0.05463378992509462,0.0037254873603335937,-0.07292496100085791,0.003618501857569072,-0.057138944171955704,0.0036167468176376617,0.4088475180238065,0.00993228361780063,train
9,400,False,True,d,0.025149718934628376,0.008175649978887369,0.005829443818454055,0.008179802002094222,0.010331794392691886,0.0076715971694614315,0.0017965510409115471,-0.02534591133006655,0.0038025942532953394,-0.013776457503096654,0.0038016389551926546,0.1079715598673508,0.005144806002687713,train
10,400,False,True,e,0.17074866649702738,0.20058490901508452,0.16320171429041205,0.2005583574685783,0.2807274843689234,0.25483449316673396,0.17084771440028942,0.14285271807961977,0.16591791152944313,0.15133919865651124,0.16647762951282663,0.31816706241962683,0.23174041839738163,train
11,400,False,True,f,0.050963065414330336,0.06417138194856775,0.006032215757113303,0.06416750990484174,0.10414759002639712,0.065442891100866,0.00821440780499628,-0.033945522974242776,0.03761003287321508,-0.00683415665993952,0.03760121758530893,0.881371697255305,0.049450778210124224,train
12,800,False,True,c,0.01132813466457102,0.05171130085147948,0.002528709215936017,0.051946803389630675,0.06833251522962358,0.05056686461067489,0.007086002175341555,-0.020615978072435672,0.048686688905202974,-0.009466460266151815,0.04859975748431616,0.5968694414848781,0.053797148721759114,train
13,800,False,True,d,0.006209812713573796,0.0063741583166203545,0.0008442880994249176,0.00637557361445649,0.007161656938384364,0.005270284743426671,0.002968049026972198,0.006625425903297559,0.0064722266030448955,0.0005588489835816579,0.006471110935953011,0.1096569051671347,0.007602998878035824,train
14,800,False,True,e,0.153156002532471,0.18325231718512675,0.1476492090307879,0.18325278936050965,0.2515428662367292,0.23260952668286194,0.16240477935037134,0.14694850413285315,0.1667579628056467,0.15491005885083156,0.16674713280425763,0.34432151443663456,0.2330566881161949,train
15,800,False,True,f,0.008265592867897704,0.05780758673445767,0.002734426243360001,0.0578089751939169,0.0754511469532617,0.052879256113428086,0.002234413930511087,-0.029022823098084263,0.0398301485540167,-0.021801937352636164,0.039819729973920276,0.9362384322072415,0.051371994141107324,train
16,1600,False,True,c,0.024594713789229155,0.06057242785593259,0.0026024920685640187,0.06061105519473606,0.0898506868454686,0.05429024671432036,0.004303521126261822,-0.019144891022678547,0.056094904653876725,-0.004143175559582882,0.05609796417724511,0.7063381129339764,0.06447796200370098,train
17,1600,False,True,d,0.0051757603541390295,0.006659299109167591,0.0009225510706105002,0.0066764878200066425,0.007720709709744447,0.005961529424538262,0.0014522523224673662,-0.0024127496441124154,0.004204467475034797,0.0013290400212532404,0.004199618779245569,0.024849752775752288,0.004775158336140881,train
18,1600,False,True,e,0.149835944632897,0.1787809437149374,0.14159513246733313,0.17883719781382695,0.2637131829065038,0.24162459426795427,0.1515772596874428,0.13546009769962442,0.15225163168272485,0.14468208938718094,0.15222952106377302,0.34459158294681996,0.22736217140539378,train
19,1600,False,True,f,0.00279163844643686,0.05752876247113585,0.00042385941488986043,0.05752418826968483,0.0792336573309038,0.055302769038114666,0.012491118461558318,0.0031922041817604298,0.04795928957743982,0.0054922742179148035,0.0479514518136709,0.9017630123366225,0.055990909172989045,train
20,3200,False,True,c,0.0027150998269123623,0.05455629165933722,0.000610770957800182,0.05457796904371049,0.0772565486664327,0.05515366497907282,0.0012708991258534009,0.00804381523452604,0.06260106145099059,0.009478606967465842,0.06257637758379139,0.4836606556540953,0.06627864026750602,train
21,3200,False,True,d,0.0010291889023120435,0.005212292788836814,0.001786033779621527,0.0080648258833087,0.006442321711241825,0.005285504406838592,0.0008488043319993017,-0.0038372753417169328,0.0010508095855598222,-0.004222065871563853,-0.0004046551163876089,0.08339896964748382,0.0012056180770798758,train
22,3200,False,True,e,0.15988376687033615,0.1830071309135395,0.1579940634603801,0.18297856610678465,0.2801080589588702,0.24826276217639814,0.17041417021334693,0.15155324069146486,0.17981006955733914,0.1543585018473175,0.17979183193957343,0.3702690470361216,0.23394424390608243,train
23,3200,False,True,f,0.0018848325426268316,0.05981592713037475,0.0012179877092361692,0.05980929954142944,0.07268854047492929,0.05434095563239862,0.0014613075768274474,-0.003553329456219274,0.036990909707859745,-0.0028417873144544192,0.036985623732954664,0.8685288608694064,0.04720718988693917,train
