mu,k,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
3,5,0.03934973629146363,0.08135473798758017,0.03930565535473885,0.08136184210629017,0.047902853036734784,0.10377118993075056,0.03614247121157306,0.08945500180443446,0.042754943515412876,0.11410685193347718,0.04010813255549751,-1476.478918337292,0.2099294731843886,0.47072914129971766,0.039353587586538924,0.08134492677688422,0.02755430877569375
4,5,0.017380159384181984,0.06858368031508826,0.01012909122921552,0.0663818243060889,0.04827712011077546,0.12145463662915632,0.03013680293345739,0.10477030372013132,0.029339650273981742,0.10529693915079998,0.008241340709007238,-1479.3528280375567,0.2490445837687257,0.5231314710902407,0.010129272730204794,0.06636774083720638,0.001447251493153225
5,5,0.00914440762745462,0.08030677905559651,0.00925647766693862,0.08034873328174467,0.07958755758770812,0.15755393325727005,0.056609771609283356,0.13877109993373596,0.09808512526910272,0.17894201759645467,0.008617544552922077,-1491.5429619767851,0.5005306650639696,0.49946439416432714,0.009147116833546734,0.0802934380753261,0.00023922975320705717
7,5,0.0070252067921591195,0.015626296112537717,0.007014754020334757,0.015638676880297454,0.006769841857603905,0.01632156854077812,0.1278134807979951,0.14072127674188073,0.12310902603026727,0.14433008632650784,0.004422927639796882,-1459.890029329172,0.7177827836910856,0.5961505494605722,0.007019511692686691,0.015619944388873592,4.2181040691347137e-10
3,5,0.023711257666154787,-0.05680704503577965,0.02370148752154175,-0.056797846624206616,0.045884586155260115,-0.03208062396886271,0.02661087187185458,-0.046854205199638954,0.04603645532730223,-0.03221056421266485,0.021328122171400524,-1399.3899515527967,0.17701703590857779,0.3903907538378051,0.02371624183025447,-0.05681248098932872,0.02021841776360639
4,5,0.04014745332057813,-0.007562081568098392,0.03627671855773768,-0.007842984709396206,0.05552672404633026,0.030555614891746245,0.04004072220074973,0.014970819817626988,0.06972324117732694,0.050541323068256365,0.024695291125124478,-1437.5277189800788,0.06037465619884597,0.4424893365077901,0.036272676402407056,-0.007880936718983548,0.010304483245327047
5,5,0.0009581393041363039,0.011032251832885094,0.0007205136982170548,0.011153813026720628,0.0834654136930777,0.08482522135986846,0.05120199735126818,0.06429707528025255,0.09657379326316824,0.11127653265907521,0.0014207790574620807,-1453.7251939543712,0.3116707147503837,0.4934080694226293,0.0009681844438075491,0.011018565168222721,0.0008494272033793681
7,5,5.356194924836013e-05,-0.08583034001697513,0.013968859210755835,-0.0921812210127032,0.0003137813953359536,-0.0835490957432537,0.13176461556229058,0.04188458392199641,0.20201034525069964,0.11510257910215638,0.00371263516936731,-1407.35951415268,0.3755200189556099,0.5048433772210436,0.013973682867836153,-0.09221126438355783,4.210255318087845e-08
3,5,0.041397867230692394,0.03393109468437319,0.041276412956059175,0.033978057779219854,0.035869033195479516,0.05558209243403826,0.026371955197788347,0.046628857120114844,0.041672016612889155,0.07208169735972979,0.035322564770976964,-1450.259402053518,0.07186419427105943,0.4614822785891615,0.04141055186511344,0.03392543267008614,0.015235775141271137
4,5,0.04595559272874882,0.06273556105501985,0.045960175770432966,0.06275474772350527,0.06891640874606456,0.0686653601140788,0.05147023676052998,0.06503976147399704,0.07137398586225963,0.06897408524930848,0.04717493730850801,-1454.7727597606186,0.1603345337406272,0.42706234294563844,0.045947555080204844,0.0627262412924722,0.03667399842878485
