,mu,k,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
0,3,5,0.04708710168234459,0.0769508411653062,0.047160270539078876,0.07695816456925059,0.0490702831903956,0.07914910077363607,0.04673241104435171,0.07705043780539222,0.04673093833892997,0.0799387593938909,0.045264539504011825,-1462.5136312589325,0.12411234287400885,0.46025349957746653,0.047086299267394376,0.07694210871058271,0.03591105755832112
1,4,5,0.019627203611846743,0.02847676857667352,0.011012956402351667,0.02517346183434711,0.05022586502101344,0.07022985122506771,0.03154571542517195,0.0535814366788577,0.06575555212716161,0.08295999380366038,0.008846224000358269,-1453.8246745315976,0.1305952492142644,0.4512936399448249,0.011005711461138754,0.025163491483423967,0.0068793922668356445
2,5,5,0.025793403697876388,0.040740189907369766,0.021650675393774042,0.03806183830919326,0.07549555800508909,0.0825418129186337,0.06557261575770043,0.07017102087139074,0.1048456755965087,0.10308786352488528,0.022103960301948215,-1460.277037896531,0.2747109490472444,0.43343074586733704,0.021660170578406798,0.03803582755289221,0.010070490819369397
3,7,5,0.00010075518936451247,-0.06574911171351505,9.440548579106696e-05,-0.06573183055289417,0.0008921004962186864,-0.06368985446611168,0.13291390372933173,0.06638308463034036,0.1894572284770408,0.12445890941657217,8.700679708183425e-05,-1417.5949385206602,0.8867483815114203,0.505996845667611,9.937683189925919e-05,-0.06575498261891038,5.848473192453227e-06
0,3,5,0.026391110307070312,0.05407911168497731,0.026334373369392778,0.05408281710151755,0.04033343420115486,0.061397089385224715,0.02709948141683595,0.05415446013585779,0.04157429960051,0.06395686878681499,0.026423571029011543,-1451.7624181008873,0.07321154860703405,0.4592295104811972,0.02637195153205997,0.05407167783679347,0.015465239732439623
1,4,5,0.04622978321701312,-0.016222771969413772,0.046214403119970264,-0.016224450475197615,0.06788489033712676,0.02046019720024583,0.048323203818914494,-0.004702322746701952,0.048319665432449255,-0.004755266544236065,0.039790983480426846,-1429.4950130107927,0.3789203849440496,0.45906449248701686,0.046198138898669784,-0.016212921819198527,0.033595639097078724
2,5,5,0.000928309259636941,-0.01614510684932975,0.0009347804473619775,-0.01613608674232137,0.08460279291151329,0.05634531555965805,0.050492879197459595,0.02870835305115634,0.09894615034077316,0.0720058685872773,0.0015598818206188064,-1439.2211114126599,0.49437475523499713,0.5038206757400999,0.0009291687302373417,-0.01615434250598355,0.00018667891579957267
3,7,5,0.0003181355685794738,-0.036625884489547164,0.00031412789787401893,-0.03660500918103935,0.0003286028593626881,-0.03632688748344333,0.1280708346674592,0.0894034426651856,0.1278036035365602,0.08942072728235621,0.0003715501386513353,-1432.0806069249018,0.8414370756421745,0.5576996700577138,0.0003158499250135921,-0.0366242451884674,5.0402296770124366e-08
0,3,5,0.018619072360226037,-0.014873365937271047,0.01862189130314154,-0.014868257042522147,0.04367848799440198,-0.00479218470176545,0.02461362398635106,-0.01299642360669941,0.04450474650443185,-0.00478379594020555,0.02175793900347583,-1415.408300003527,0.055459394378599425,0.4315730446382163,0.018612559350872204,-0.014883335389831474,0.018250185103128695
1,4,5,0.002958574435540792,-0.00030248388691882157,0.0029066499144744878,-0.00032784869933550454,0.0436128114188627,0.05918839854380076,0.029782316754661257,0.039308526455413585,0.06445560820811598,0.07894790131813897,0.0031137837916683864,-1441.5476033157674,0.35656757764190594,0.43871116414476863,0.0029083655625830643,-0.0003410129715134644,0.002099811703306878
2,5,5,0.0586381082031201,0.04936390694330521,0.049278861142949465,0.03473108133579035,0.10065865218345874,0.07254582272193057,0.0742600039954083,0.05669406331768755,0.10387431641248503,0.09576884556146478,0.04648563754430204,-1456.851054493448,0.40531104310781485,0.49844955594352724,0.04927452359671907,0.03471361396907764,0.04472767521234841
3,7,5,0.0021564901386515326,0.01150216778427216,0.0020379620230808063,0.011509666982072304,0.0018908187127644367,0.011861982600371222,0.12727120813855838,0.1333902343724733,0.19111571308408165,0.19680110764149913,0.0019101126557673521,-1456.5017926335317,0.7255136029868016,0.5454870482848238,0.002038569304566294,0.011485729909909878,1.1186339335592133e-10
0,3,5,0.059811797661292035,0.12170181626361978,0.06905668885168262,0.12292611537657286,0.06937490812498186,0.12324089907544294,0.06581083754350509,0.12256536525373758,0.06467184213328563,0.12475526008041243,0.06419850210821917,-1488.219704272522,0.138552519470378,0.46599858446751025,0.05938352349223113,0.12169723836181538,0.023187543062208094
1,4,5,0.04470952368047878,-0.017064151384475167,0.043403153667142695,-0.016956120358123373,0.06056331774667646,0.017764838094953803,0.04408311718928653,0.0022738328147977427,0.07244101144536906,0.023755641002672974,0.030272694204622117,-1425.9405721859362,0.02793225914168079,0.4345205009868998,0.045291024270058544,-0.0170805715403568,0.027754977777316607
2,5,5,0.018203352948821885,0.038962649133794686,0.018279521452720895,0.03896433483256078,0.029426574298626922,0.0430161262759475,0.06113262626070197,0.1045731064762033,0.06089075617702215,0.10454096195450142,0.01611769483618925,-1472.322426018352,0.4825336249655375,0.5623732854880439,0.018317148856477738,0.03894646097888881,0.005351423352684045
3,7,5,0.01608695297551601,-0.0019185750542474126,0.016013137512003783,-0.0019006077903117103,0.0062568361325077895,0.0013579825595131751,0.13000174224555566,0.15919184128764663,0.18592900242730728,0.22642618919370125,0.006820221999235023,-1451.439496930528,0.6378504691605704,0.5797044492304433,0.016071573092285366,-0.0019286997348771139,9.738599628858432e-08
0,3,5,0.03991227018874594,0.012633180205998996,0.03988765469708833,0.012661600210235293,0.04633923816784225,0.020025258774439295,0.038726527430702755,0.014806490316902569,0.04438667967137219,0.025157533510957137,0.03961784611956887,-1430.513647925337,0.028498866892713522,0.4442956418682115,0.04153739101678055,0.012543498421335472,0.028772563371099586
1,4,5,0.04560145292482671,-0.06171040266779755,0.045520462625914186,-0.06170356280069382,0.052405084434718,-0.02697661230899689,0.04885505583762952,-0.041316353397973786,0.07766669224905368,-0.017099620153635444,0.04316601527401014,-1399.1921961727344,0.30723811335742723,0.4304646966428511,0.04557286024372175,-0.06171591672157399,0.026276547578580767
2,5,5,0.003528442818389799,-0.0047095137073455366,0.0035457169849351126,-0.004703098017022285,0.08572979190222998,0.0569280151406756,0.05986948373979304,0.035562199953962134,0.10872556380964678,0.06838122215271869,0.007701138555285523,-1441.9855517066126,0.32244024372923447,0.45127271334167834,0.0035412986002135998,-0.004716225522142281,0.0007195352740786971
3,7,5,0.0015282551118380493,-0.054625519948083595,0.0015104991185516405,-0.05460190471158853,0.0015314344617259972,-0.05454417436564074,0.13374511552389773,0.10766414672697237,0.18662730651997783,0.1674350735553994,0.001606444699939498,-1423.1791193800252,0.8735077986533161,0.5160796921299877,0.0015319631074021379,-0.05462557253379146,1.195577792769194e-10
0,3,50,0.17888415320740778,0.08249346155493253,0.17887928188842672,0.08249480900029335,0.19295690926099462,0.09950074336358375,0.1887935057994304,0.10607283902908876,0.18831554046431037,0.10596583640701215,0.18217185257789761,-1523.48135393862,0.4622743134348298,0.6445672803947439,0.17888472190682023,0.08247955246779475,0.17698771326440702
1,4,50,0.12021328438631171,0.06460956431977638,0.12004534943253577,0.06464256550234768,0.15186225377955534,0.07426269695732458,0.14585256959193998,0.14174022405903794,0.13274142369099345,0.15023707510418036,0.09529756927998084,-1593.1482351683712,0.7792786518580711,0.9132447934338843,0.12010763769819709,0.06459864987445507,0.07932722333748365
2,5,50,0.051810051749323696,0.033835803975636285,0.052777957534091535,0.03284140238602731,0.08386672674440258,0.053150252460038246,0.1359311051629489,0.18582727949798847,0.13151840315116042,0.18767885163417056,0.050139665835644616,-1610.5348649723326,1.636597095283888,1.1152339198999421,0.05280972807226664,0.03269174130795886,0.032853533701739
3,7,50,0.008277580405361815,0.046166026574526994,0.00809644223105319,0.04612709605183659,0.006511353660240122,0.05201499836979042,0.35425894576790457,0.3456246209900387,1.8115529507428487,1.736611743858532,0.007032126059970769,-1641.6074266588248,4.375995147552266,1.2973677342262873,0.008057658970229465,0.04612478525346887,5.234989192495842e-07
0,3,50,0.15675607245466558,0.16915259628541707,0.15645721479381114,0.16883867611219286,0.1798631703452197,0.1853580166902475,0.1565416558126432,0.1692476572271603,0.15678651457854165,0.16916476795161633,0.15431654141194978,-1558.5487446500438,0.5360090864872064,0.6612790730559459,0.15675945403433053,0.16913717834375439,0.1454617494622777
1,4,50,0.09476130030938547,0.04163271521958813,0.09485877863410784,0.041624900834017584,0.11900973519553322,0.05340688921690458,0.1374732263506936,0.0991943088258331,0.1374344880393389,0.09905857550537121,0.09089316944889887,-1582.1639785081882,1.071414589349005,0.9139851738256873,0.09579929092531231,0.040924268197657286,0.08849369942953485
2,5,50,0.006616606518873588,-0.04177047496970579,0.0057564621532955025,-0.041837824048973286,0.04128798917547894,-0.007598653471632816,0.13670557525348645,0.09548461503006138,0.13685723123638427,0.09528893516485096,0.0038449777085830038,-1582.9452194147025,1.4150939366783737,1.050950837785143,0.0034265716021263364,-0.04144867624391895,0.0013152341297339516
