mu,k,SURE_pi_B100_MSE,SURE_pi_B500_MSE
3,5,0.058062976383894696,0.0023378175848163636
5,5,0.021607538594254065,0.029367401394216133
7,5,0.016627396321754157,0.0027811702765637284
3,5,0.021342615348188793,0.04626019278484553
5,5,0.0033347110797027663,0.020375766535605265
7,5,0.0026941952786421093,0.0057207081971043195
3,5,0.04848936286217342,0.04185858709616604
5,5,0.032252545017439606,0.06508604662355633
7,5,0.02354907017992571,0.03229969031781685
3,5,0.04066404658407534,0.010682401606855855
5,5,0.024901229117562203,0.03169512497017502
7,5,0.0283907792781874,0.03620848371670721
3,5,0.031944296629140154,0.026582190217401224
5,5,0.03659831768411705,0.0309289651645865
7,5,0.033924970586060435,0.006163202332320443
3,5,0.034801605288689134,0.045581527300061396
5,5,0.02403791197211582,0.0034120913542470023
7,5,0.004406305547949014,0.04124098571842197
3,5,0.027877677682979916,0.03726623554144758
5,5,0.009837246904505685,0.014542136218267542
7,5,0.049876293833137735,0.009919703767228621
3,5,0.02790473731893815,0.059748235516449
5,5,0.025829092118967115,0.05845097787983931
7,5,0.0026542523080977094,0.0013934943534164928
3,5,0.030131132710764855,0.022420742326364075
5,5,0.07902655073185717,0.013778228319720552
7,5,0.016698538726779556,0.012610926691363114
3,5,0.012546348685137881,0.04224462991631578
5,5,0.002751053634667454,0.022895302717236384
7,5,0.011962284432635022,0.006674379183026239
3,5,0.03581764735296255,0.037952211010212324
5,5,0.00919487902330879,0.00907643414827864
7,5,0.00850554696578971,0.06606982493672098
3,5,0.021606193455579407,0.024622065333700382
5,5,0.02864364999832111,0.024275555968863848
7,5,0.004211641949326979,0.04758495583452947
3,5,0.04007200213035712,0.04840380801001801
5,5,0.014330631317110012,0.01424150348262622
7,5,0.07997091911868105,0.004397946322814852
3,5,0.03494978810113314,0.026066736593932747
5,5,0.04575613239391435,0.05463500197801042
7,5,0.0429698457744929,0.02182263560142673
3,5,0.03783405528644166,0.03409167272387918
5,5,0.010703877136908714,0.015374754741323675
7,5,0.06564479600295886,0.0553164230624144
3,5,0.061764782800462215,0.0469369312897254
5,5,0.009939291505595626,0.011755067394287222
7,5,0.004486766766831256,0.0012633440429568909
3,5,0.019668489256290042,0.04815290001379208
5,5,0.06755322175186489,0.026902892520752605
7,5,0.026822672403938198,0.00418417852892191
3,5,0.05023073111317485,0.029566091275294783
5,5,0.0022223170083991626,0.02381393339489945
7,5,0.03252399584876104,0.006806175953546742
3,5,0.028559423496373734,0.0475409914232609
5,5,0.001952566009710577,0.006591799495509671
7,5,0.02552059110446782,0.004060463988897006
3,5,0.04271850215092813,0.019004582981520732
5,5,0.04241540634722093,0.028770879906042233
7,5,0.00780498826695732,0.048086447846747836
3,5,0.02695377795713419,0.031504087105015725
5,5,0.06535657131172733,0.00867354345905911
7,5,0.06970622769001662,0.009923662810681577
3,5,0.03039364253408609,0.06780517591687527
5,5,0.012688306818647768,0.0012074173251506006
7,5,0.043271630221462375,0.041019959528739526
3,5,0.046857291238477254,0.04581717658053934
5,5,0.007625474092811933,0.008593801959376752
7,5,0.004713068987661169,0.0196081568284764
3,5,0.042737662408786035,0.025791428835466836
5,5,0.009097565366477583,0.017806451675332072
7,5,0.02199112714120664,0.031950450592331474
3,5,0.039114804967597054,0.03470871346726979
5,5,0.025126610497025234,0.006259942600783506
7,5,0.016197944385915108,0.03125227378587979
3,5,0.0435134050635311,0.03261205981661497
5,5,0.0034555813289129556,0.006378858775605118
7,5,0.0102250083417594,0.0060912425832332275
3,5,0.04756533905584793,0.04129762115255986
5,5,0.023672297145727498,0.0035882862342865728
7,5,0.009694175395555825,0.040425592839022556
3,5,0.04685259257372015,0.03380837046065525
5,5,0.011788274552223732,0.044865955393038545
7,5,0.02369401718066105,0.0034497374909940167
3,5,0.02137534176607857,0.047488394781051844
5,5,0.020147539363205104,0.01727653146042664
7,5,0.007167540751747724,0.0010727913381135355
3,5,0.0961846447810827,0.03255258481501138
5,5,0.032585084695448026,0.026066990707911495
7,5,0.07088516539717404,0.007117436845861326
3,5,0.0286171741155926,0.061843822504032996
5,5,0.0034059806165296037,0.02792366153627641
7,5,0.005324601670691308,0.03065979743719605
3,5,0.030201615830420223,0.04627010970542156
5,5,0.041446045068203645,0.023453008358839317
7,5,0.0007186651433842279,0.040129570535388896
3,5,0.027362338661128104,0.012568856797420914
5,5,0.04737233696845931,0.004623653232855453
7,5,0.016268215519061616,0.004690883799465765
3,5,0.00964130653020406,0.015382580187720818
5,5,0.036310100560765377,0.025288111805851856
7,5,0.06566044501453666,0.06123283546628272
3,5,0.057299926583434684,0.048653015247608754
5,5,0.004650495146295746,0.005122378425288681
7,5,0.02669282009063719,0.031719039939634916
3,5,0.017533307463044302,0.045088625299489746
5,5,0.0017945490488944095,0.025709757392779194
7,5,0.001672443066658013,0.040891478588287795
3,5,0.027610954579795823,0.007600053606195911
5,5,0.02055301918345774,0.0009777124718509723
7,5,0.004006223984741616,0.006002111777148742
3,5,0.0319686977211147,0.04002716710910248
5,5,0.033811609563863934,0.021471170278192946
7,5,0.054618305684825105,0.006072838828651249
3,5,0.041385298772329354,0.033912281353585226
5,5,0.0531212650328831,0.0048081766733350205
7,5,0.025774463037439212,0.009248164365113394
3,5,0.04144570120565433,0.04436978728494399
5,5,0.0694719109896918,0.023611184311507275
7,5,0.015468979563289546,0.004697543838999145
3,5,0.05560511691198245,0.020743001253908176
5,5,0.05046879870356552,0.03847408136300726
7,5,0.003732270690857269,0.037291230668913204
3,5,0.014144195764874369,0.0355860310921505
5,5,0.007505053960770158,0.0056807547169956596
7,5,0.02950205301457601,0.007660004183990252
3,5,0.04208468976650195,0.0382667449210032
5,5,0.01699824175100275,0.03084376520825457
7,5,0.047913126159946265,0.0136327876364763
3,5,0.07286159397472794,0.006420753523825009
5,5,0.05432467229686302,0.016746076484342443
7,5,0.03528635686781889,0.013440120839010314
3,5,0.0318362258308269,0.026853115377051397
5,5,0.04681091223509057,0.031219362371203797
7,5,0.005601642708089747,0.02675137897909226
3,5,0.060127485783614064,0.07592994555021555
5,5,0.026021299401775545,0.02135642395576103
7,5,0.01959073023616116,0.04225301427892077
3,5,0.04851956438180953,0.061797606053257084
5,5,0.02930788709042836,0.07603903188030758
7,5,0.009939613382994155,0.010294313597015435
3,5,0.017563459089732662,0.02674391759461569
5,5,0.0010283621992495371,0.03907589433432082
7,5,0.027380048839500133,0.06245597210299183
3,5,0.03446344160611097,0.03639159204635218
5,5,0.009051271423127012,0.02149887074471571
7,5,0.022638595107148086,0.02355719755137894
3,5,0.030575397288201873,0.03887560526537515
5,5,0.0036136328735664864,0.026378687200802713
7,5,0.05463548740418687,0.026008938452722875
3,50,0.19443676252714595,0.12129655299237643
5,50,0.02468813739248554,0.037554657391711994
7,50,0.024854478337281688,0.00588314535476083
3,50,0.15372349867173343,0.18528369681397375
5,50,0.10722811703603206,0.07176690178879316
7,50,0.0006428869966876475,0.014443595989185824
3,50,0.15985762638557774,0.1859725556504036
5,50,0.08300882145951381,0.0662408995675709
7,50,0.03702991696816397,0.03501506998665835
3,50,0.20239933585225214,0.17426839768033153
5,50,0.042776385336049695,0.07884964410672421
7,50,0.03609822245852702,0.02402796996440497
3,50,0.1036363327829899,0.1771083282885498
5,50,0.07174644583319376,0.1117207775298864
7,50,0.006805086763659326,0.03557517797816641
3,50,0.21771880726487203,0.16701628250951916
5,50,0.04218639144129314,0.10581815157700675
7,50,0.0027659124414202607,0.05311528419877567
3,50,0.16669512315103846,0.14047125128665122
5,50,0.01085910182505823,0.08057000746248358
7,50,0.002499095639595829,0.002311987869039584
3,50,0.12241365723712702,0.19875998212178478
5,50,0.05277494446591449,0.0821528754403831
7,50,0.05538892183194067,0.020494934991382243
3,50,0.1790753029415292,0.15301172135344476
5,50,0.1445581145354222,0.04327647476920051
7,50,0.018825112166536342,0.033859608753495946
3,50,0.1314455764468085,0.1619918935620189
5,50,0.0266957918676691,0.030900803368368594
7,50,0.07129885284768063,0.012265134750739004
3,50,0.15386167312237792,0.13374606807442754
5,50,0.06844696131475074,0.004747059672164111
7,50,0.015920485620917284,0.011562819932723449
3,50,0.19132854505740846,0.2373470798514722
5,50,0.03801802214638432,0.027488159986763693
7,50,0.010062898951313041,0.014470008250848945
3,50,0.11453921256971797,0.1374642507171902
5,50,0.08870882864132847,0.04941794319991202
7,50,0.0022844107697849664,0.011543879655523798
3,50,0.14935082266335203,0.15967785296108072
5,50,0.03557930865417661,0.027679111773277164
7,50,0.002968470236055166,0.018309794746130547
3,50,0.0963552007369279,0.14796688420265924
5,50,0.12325766999739146,0.0784287722215883
7,50,0.01424163879277299,0.014631687127781366
3,50,0.24441193832803784,0.15061242915046913
5,50,0.10313571540671107,0.012016998723695977
7,50,0.002270160945188985,0.008266670017527957
3,50,0.19327422764180413,0.16227090632958072
5,50,0.07565679407037525,0.03654339652786497
7,50,0.015446808324580208,0.008149779418373117
3,50,0.1727770926779079,0.1573025765138655
5,50,0.06382900486485238,0.07757986689014838
7,50,0.007155882448352013,0.039486458789829725
3,50,0.15129791735154471,0.15841804228779674
5,50,0.07893664019771741,0.038639579571649506
7,50,0.008706468038370345,0.007083358059767873
3,50,0.10391951125388582,0.14900879263938138
5,50,0.06191363842084724,0.08471916724490033
7,50,0.009955173124632311,0.004138058156488294
3,50,0.11382896363158955,0.24388598576304832
5,50,0.02758562438995545,0.04654900907638791
7,50,0.048493323853287904,0.005921368185812647
3,50,0.16385374262935898,0.17951855380116663
5,50,0.05552105302400984,0.040788722006812266
7,50,0.01877557853236527,0.005601895409984352
3,50,0.16881611187321702,0.12743571580214552
5,50,0.032402545492033114,0.0580070499461207
7,50,0.009351030844398329,0.023654605983633323
3,50,0.13831709303710923,0.13655768804385107
5,50,0.06678793498671398,0.07938769628773844
7,50,0.01083638851905816,0.032285983658156096
3,50,0.13516801613744908,0.1428832737850386
5,50,0.05126255014823118,0.053807627910908123
7,50,0.010524841977652483,0.06033198818113977
3,50,0.20411933175785527,0.15250720482186345
5,50,0.0957621512559647,0.12903305840323004
7,50,0.06996117424431773,0.007795161887738559
3,50,0.2098730082113943,0.10527119385229577
5,50,0.07784379524316182,0.04703544276407094
7,50,0.006843653945993367,0.03857852273888872
3,50,0.10531346590026848,0.15354874180725983
5,50,0.05071517270505401,0.025222252758434954
