mu,k,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
3,5,0.055614786,0.050960394,0.053206438,0.051999118,0.046339647,0.095912911,0.048937296,0.058829739,0.059707102,0.067545177,0.054516286,-1437.059669,0.052366574,0.962208873,0.055124993,0.05072413,0.041207063
5,5,0.022395911,-5.99E-05,0.013919848,-0.000111505,0.069970935,0.054460529,0.011741347,-4.57E-05,0.090543155,0.096829052,0.003894458,-1400.785131,-0.003249251,0.984538276,0.01415891,-0.006916515,0.002557809
7,5,0.085297052,-0.000505312,0.049934021,-0.000387053,0.166254664,0.055104715,0.042252236,-0.000217053,0.124832419,0.083304504,0.001758131,-1373.873825,-0.030009213,1.086768893,0.002080499,-0.027481923,0.001801029
3,5,0.009508321,-2.30E-05,0.009388226,-4.57E-05,0.025710566,0.033572848,0.011703672,0.004948923,0.015502622,0.005842174,0.009409161,-1400.281341,-0.000143677,0.938173932,0.009962256,0.000301802,0.007578809
5,5,0.054005621,-0.000924235,0.038861622,-0.00069139,0.068993914,0.008454262,0.036359434,-0.000359012,0.03694181,-0.002110931,0.00019464,-1360.380713,-0.055030359,1.012850683,0.000668586,-0.053300825,0.000882442
7,5,0.077148331,-0.001154073,0.067552223,-0.000945732,0.094051025,0.011771001,0.065787026,-0.00063009,0.045917498,-0.00913279,0.005156789,-1396.711838,-0.06769687,1.084030853,0.007942058,-0.066504284,0.000239623
3,5,0.003522641,-8.48E-05,0.006081766,-6.09E-05,0.015305908,0.02862409,0.006571204,0.000962473,0.010616791,0.000800479,0.003931093,-1392.836194,-0.002430466,0.832479083,0.007442986,-0.00282825,0.00122472
5,5,0.054048155,0.035979135,0.052147589,0.036937618,0.068268753,0.061017371,0.051755341,0.043528474,0.138627219,0.115386312,0.060410459,-1426.842896,0.040769945,0.964717563,0.052072533,0.035596972,0.045620656
7,5,0.056890456,-0.000385794,0.044353298,-0.000185826,0.090422876,0.028255498,0.040367619,-4.64E-05,0.050182623,-0.001280203,0.02506878,-1403.282019,0.000960638,1.034772128,0.030336901,-0.000116636,0.018719577
3,5,0.023025559,0.042120624,0.022391185,0.042386652,0.033976036,0.079361831,0.024850952,0.05000832,0.022670162,0.041971987,0.02027945,-1416.329105,0.042239132,0.855515088,0.022945512,0.041753016,0.018832427
5,5,0.04981569,-0.000313436,0.027762359,-0.00033113,0.083922816,0.018779724,0.028679369,-0.000163744,0.059458942,0.012829711,0.00584424,-1377.040412,-0.027546536,1.037931388,0.020479526,-0.029146194,0.001487928
7,5,0.174422788,0.024279007,0.11051182,0.026689661,0.256836749,0.079228542,0.098974962,0.038649168,0.172464998,0.024830787,0.070869434,-1428.282962,0.049898595,1.088565072,0.173047041,0.024352175,0.049482199
3,5,0.048753755,0.008860144,0.051264507,0.009219901,0.053720231,0.03663533,0.049836574,0.014931672,0.052976444,0.008974351,0.05384746,-1398.128675,0.008953275,0.880337242,0.04995759,0.008439859,0.043846407
5,5,0.089994807,-0.001211447,0.054300371,-0.000791806,0.10458112,0.006035473,0.048549797,-0.000249662,0.049266898,-0.006504998,0.007086581,-1394.861042,-0.053373633,0.974632816,0.01276943,-0.053991189,0.006122545
7,5,0.003311397,0.029466654,0.000774435,0.03084422,0.110592117,0.073245098,0.013310311,0.038542522,0.005635744,0.033066593,0.001885346,-1422.621167,0.029606544,1.043203036,0.002279028,0.028823512,6.27E-05
3,5,0.033812179,0.034018925,0.026740565,0.034732743,0.077655694,0.063329144,0.031188411,0.040418013,0.027677513,0.033545006,0.03205901,-1400.276455,0.034641289,0.974801251,0.028295508,0.033120794,0.025789805
5,5,0.024076694,0.062560598,0.024816052,0.063888136,0.045058839,0.134347548,0.0306867,0.068205892,0.022941007,0.069388418,0.018696135,-1442.458142,0.064365482,1.016257818,0.023640979,0.062196429,0.014047912
7,5,0.008225627,0.011705586,0.004553276,0.014711354,0.021670918,0.051753394,0.010045706,0.022661337,0.00765413,0.013990031,0.010266192,-1440.834941,0.018131624,1.004015279,0.008204219,0.011276763,0.000492514
3,5,0.04857204,0.064835376,0.046414124,0.06603888,0.117635076,0.09160832,0.047077269,0.076397241,0.053774501,0.111632809,0.023492034,-1417.864503,0.082702188,0.993544294,0.048469291,0.064556287,0.02634318
5,5,0.029431359,0.018009849,0.015320809,0.017926235,0.113912415,0.090536265,0.019061276,0.02646746,0.067397241,0.120959959,0.012499248,-1415.110971,0.0226164,1.073792068,0.014589496,0.021355258,0.009618323
7,5,0.091908289,-0.000953151,0.076841603,-0.000478449,0.106127179,0.011641235,0.069242438,-0.000186486,0.06685489,-0.001508793,0.024728403,-1394.521081,-0.028286258,1.004627019,0.031749024,-0.028324938,0.019451409
3,5,0.0693939,-0.00327182,0.072821107,-0.001481906,0.071967647,-0.000908127,0.074659337,-0.000481317,0.072045938,-0.007412963,0.039015537,-1378.733978,-0.069713162,0.872825642,0.038309852,-0.069936651,0.038302552
5,5,0.069238565,-0.000416602,0.049021499,-0.000205083,0.114219136,0.026939001,0.044771445,-0.000168249,0.042574094,-0.001624017,0.02643064,-1384.937535,-0.028199717,1.051029733,0.027000062,-0.02758741,0.02655915
7,5,0.009148135,0.044775314,0.00459413,0.046619151,0.070992047,0.099576676,0.014629222,0.054554307,0.045911804,0.088548226,0.003525656,-1422.923405,0.046437981,1.054355404,0.003244547,0.04591638,7.99E-05
3,5,0.043828296,0.022539666,0.03961022,0.023417625,0.110748153,0.078660541,0.03366362,0.030664705,0.030954599,0.06930256,0.024208105,-1406.813236,0.025359149,0.977637038,0.038072222,0.021805012,0.01432374
5,5,0.038892124,-0.000169486,0.020061965,-1.57E-05,0.066148808,0.036043543,0.020704391,0.00419596,0.044816795,0.033614231,0.011251677,-1397.944133,-0.000350444,1.026046573,0.012223461,-0.000111471,0.015323903
7,5,0.004379099,-2.83E-05,0.007238901,-5.19E-05,0.028593789,0.0168216,0.008646877,0.002104026,0.007773485,-0.000236842,0.000799132,-1432.744048,-0.003434799,1.01782049,0.003573516,-0.004266274,3.32E-05
3,5,0.062183977,0.047773988,0.061774784,0.048880264,0.064204945,0.084556688,0.060560292,0.054058495,0.075624582,0.064274853,0.054936361,-1434.651713,0.052911295,0.950132294,0.061938494,0.047548037,0.052328147
5,5,0.06018004,-4.19E-05,0.045483362,-3.37E-05,0.162840885,0.055939925,0.035022202,0.011108671,0.042368047,0.086184046,0.026278825,-1401.583874,0.004598885,1.064971057,0.036225344,-0.000163596,0.001119264
7,5,0.028427741,-0.002383475,0.029322433,-0.000989537,0.0300024,-0.000571483,0.033861893,-0.000306359,0.035054203,-0.007775275,0.003986414,-1426.991407,-0.058511409,1.003855611,0.003535771,-0.058249554,3.52E-06
3,5,0.015595247,-0.000818256,0.0233724,-0.000254897,0.019147099,0.005963718,0.02213145,-0.000191178,0.021790435,-0.002845452,0.009676901,-1358.761736,-0.029260902,0.854368268,0.009247881,-0.028229932,0.010736309
5,5,0.035148153,0.011669926,0.032591292,0.013598921,0.065016735,0.071136797,0.039648485,0.018657458,0.025222158,0.027641625,0.033984226,-1430.423431,0.016087623,1.046897018,0.033116856,0.012752096,0.022419313
7,5,0.05355859,0.094244941,0.05333802,0.095282147,0.129694177,0.126497627,0.059340561,0.100690733,0.056016272,0.094440525,0.042854703,-1455.284691,0.110168297,1.042305211,0.05641366,0.093963191,0.039603896
3,5,0.033456849,0.047765114,0.032866066,0.05001512,0.054415589,0.079968118,0.034682972,0.055153518,0.035478334,0.049742834,0.036117363,-1401.362094,0.050678666,0.954952599,0.035746105,0.050481631,0.02911382
5,5,0.017512285,0.052906356,0.016951933,0.05420671,0.047733349,0.102310855,0.029113108,0.058077965,0.113824275,0.126640485,0.022789668,-1435.809662,0.057708738,1.006153792,0.015310278,0.053304953,0.011622064
7,5,0.054817489,-0.000344403,0.040729695,-0.000329436,0.104606901,0.039769409,0.037394613,-0.000123552,0.19533498,0.163078844,0.010749119,-1410.076104,-0.014482127,1.066002647,0.011047298,-0.01333637,0.00097767
3,5,0.03175638,0.057716024,0.030101522,0.059646874,0.099681401,0.102461362,0.028530559,0.067828168,0.034136714,0.097578926,0.017653858,-1437.210165,0.061625233,0.946947495,0.031624146,0.057244856,0.008502795
5,5,0.0321476,-2.87E-05,0.017159167,-6.00E-05,0.091256998,0.050814433,0.020066716,0.004233179,0.029038583,-2.77E-06,0.020670872,-1395.138609,-0.005589027,1.010453345,0.018494517,-0.003882246,0.01304765
7,5,0.024676706,0.044421545,0.023561282,0.04554982,0.096423706,0.077022189,0.029273341,0.052640912,0.030681927,0.055755011,0.015081868,-1450.95453,0.052722134,1.014072374,0.024692743,0.044102629,0.008650886
3,5,0.052969079,0.006958469,0.045636631,0.008575291,0.110516716,0.041192675,0.040171366,0.014358445,0.035806482,0.012609487,0.035914699,-1378.09289,0.012358942,1.011020705,0.036271272,0.012239979,0.028887889
5,5,0.042722771,0.012478917,0.041434216,0.01394512,0.100022918,0.078829671,0.04331107,0.021221596,0.1255939,0.0784285,0.038687549,-1425.434661,0.013424061,0.981942634,0.042581142,0.01208948,0.036164639
7,5,0.051419635,0.05007316,0.048825866,0.050937035,0.122703933,0.110267474,0.040047185,0.057879584,0.019891706,0.062373677,0.018331551,-1448.088397,0.060790649,1.029384219,0.050049968,0.049560584,0.004038154
3,5,0.043266966,-0.000550402,0.039987982,-0.000178558,0.045995392,0.015417725,0.040277704,-7.80E-05,0.047192741,0.003851077,0.033398788,-1390.688301,-0.015823656,0.862586818,0.033069049,-0.015322928,0.033405244
5,5,0.096271079,0.030869241,0.090616229,0.032527237,0.19115211,0.059396039,0.088277152,0.04014389,0.091108262,0.036284761,0.043409333,-1424.772541,0.047493073,1.039874818,0.094493117,0.030653662,0.028348486
7,5,0.011238478,0.038609722,0.010035947,0.040435075,0.024557851,0.074284713,0.018001726,0.049627101,0.299134906,0.363286448,0.003458934,-1448.995502,0.046010517,1.035016858,0.010907198,0.038303679,9.95E-06
3,5,0.047072831,0.088421031,0.046378722,0.091314274,0.062876266,0.108840628,0.048878093,0.099981383,0.063295173,0.123193873,0.045060135,-1442.786861,0.090444663,0.987227224,0.048956573,0.088724832,0.033977129
5,5,0.015918388,0.033027051,0.014504041,0.035563057,0.05926454,0.075965832,0.019800351,0.041503434,0.007152421,0.040192649,0.011795757,-1425.879367,0.033594778,1.024201002,0.013324161,0.032637897,0.005645139
7,5,0.050963822,0.035305484,0.050702935,0.036276324,0.131737626,0.111492716,0.042336346,0.045498993,0.035115659,0.050163678,0.017111266,-1406.991612,0.050260381,1.094723518,0.050510658,0.034727922,0.001143757
3,5,0.059126586,-0.002860687,0.059107472,-0.001349081,0.061592595,-0.000519307,0.059061164,-0.000725855,0.049362035,-0.009719388,0.010043364,-1368.310098,-0.076781779,0.942423539,0.011694589,-0.0765263,0.009777228
5,5,0.053926551,-0.000894541,0.063920726,-0.000638662,0.064269826,0.012248496,0.066591616,-0.000489891,0.103172404,-0.002235128,0.039689363,-1395.326889,-0.05378317,0.938797215,0.041586166,-0.05457523,0.04014572
