mu,k,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
3,5,0.03676838,-0.001496867,0.036249691,-0.00071081,0.040478885,-0.000226001,0.035371939,-0.000328249,0.033400499,-0.00237147,0.024243337,-1373.688867,-0.027947109,0.928867088,0.021218156,-0.023904399,0.019439529
5,5,0.045223106,-0.00220015,0.032366578,-0.000396089,0.063066502,0.042550694,0.030040821,-0.00014072,0.114220278,0.074309361,0.019384901,-1402.218228,-0.007285603,1.075874525,0.019479802,0.001015691,0.017420877
7,5,0.008668378,0.070859779,0.008616427,0.070907906,0.042035154,0.096582242,0.008518765,0.071571293,0.010615953,0.073786964,0.000472349,-1446.326138,0.076505005,1.038398263,0.008645425,0.070842671,7.48E-05
3,5,0.027250897,0.113517313,0.026942217,0.113739754,0.156574374,0.191777545,0.030676082,0.114927397,0.023334905,0.140552349,0.015771149,-1428.340994,0.120367986,1.004029959,0.027233108,0.113497732,0.013216495
5,5,0.010033298,0.006398262,0.01011443,0.006389439,0.059998843,0.051502386,0.010503834,0.007190324,0.140272778,0.091532158,0.017304866,-1420.895338,0.010467318,1.001410914,0.010057795,0.006351716,0.012543501
7,5,0.012288287,0.066309869,0.012221169,0.066342671,0.033995125,0.121032879,0.011829627,0.067248731,0.13891006,0.159026474,0.013802647,-1457.663741,0.067524353,1.017872654,0.012261101,0.066262813,7.68E-05
3,5,0.052531437,-0.006693828,0.060032006,-0.002134402,0.057364423,-0.001568694,0.06526403,-0.001434492,0.072829285,-0.016267133,0.029885943,-1385.414394,-0.072974281,0.86334199,0.036350927,-0.071998082,0.018274752
5,5,0.04286173,-0.000732602,0.03022159,-0.000287551,0.104352735,0.034336892,0.022281121,-0.000197566,0.062205231,0.069573862,0.005213745,-1375.530614,-0.018679457,1.038708014,0.010991672,-0.01634696,0.008981705
7,5,0.027350671,-0.000469732,0.032228032,-0.000234923,0.020594648,0.053178377,0.042043042,-0.000195646,0.093788629,0.033988173,0.048698699,-1385.057871,-0.019530374,0.970420679,0.051469291,-0.015830226,0.043111887
3,5,0.048257386,0.130598519,0.048727808,0.131071117,0.097678806,0.156269776,0.049140712,0.131477854,0.046436584,0.131692174,0.042734427,-1436.803108,0.133921149,1.029656039,0.048869285,0.130998144,0.035154727
5,5,0.064557613,0.078071108,0.084418443,0.076229831,0.122968954,0.141534529,0.079436011,0.077660238,0.101360798,0.171917904,0.059315987,-1454.735278,0.081406981,1.094597562,0.084726791,0.076039168,0.022431863
7,5,0.066959498,-0.003678776,0.052041121,-0.001577566,0.065612959,-0.001152446,0.048834069,-0.000719396,0.05165243,-0.003379842,0.004054606,-1422.79749,-0.05557667,1.008388368,0.009687426,-0.050447002,0.000303735
3,5,0.1177681,-0.000969342,0.064545219,-0.001626848,0.122495736,0.003487669,0.057888692,-0.000586264,0.043376997,0.004550299,0.028186471,-1381.515931,-0.042522273,0.980166928,0.028808303,-0.041261823,0.020003778
5,5,0.021887034,0.01996631,0.021749011,0.020053911,0.076824742,0.071886357,0.019818915,0.020895597,0.117747086,0.105744966,0.012364428,-1431.067339,0.022085756,1.012830294,0.021555115,0.019935771,0.007731211
7,5,0.001226688,0.006772062,0.000276486,0.00715974,0.074022012,0.056725411,0.000621187,0.007750355,0.180941156,0.200362209,0.000914677,-1412.753259,0.00850009,0.999999805,0.001175964,0.006744246,3.04E-05
3,5,0.05718782,-0.00262105,0.04422812,-0.000444441,0.065165228,0.019846023,0.04473059,-0.000173719,0.04750865,0.022711158,0.036242725,-1391.704954,-0.012182884,1.026591177,0.03807293,-0.00882591,0.02739109
5,5,0.066006628,0.043318163,0.065797032,0.043546293,0.107168948,0.06982221,0.066238422,0.044551969,0.09273675,0.12212328,0.06056907,-1440.736956,0.047610622,1.004170385,0.061033416,0.045542948,0.054276166
7,5,0.034407952,-0.000494394,0.027409781,-0.000271809,0.067845673,0.034720496,0.026672679,-0.000110596,0.035827842,-0.000369606,0.009498748,-1421.899049,-0.013612367,1.005309774,0.011998294,-0.003704185,8.36E-05
3,5,0.029328973,0.088669144,0.028228066,0.08803781,0.052530621,0.108189713,0.025867577,0.089238983,0.030491858,0.100299031,0.021447312,-1425.039185,0.092585674,0.966633833,0.028260938,0.087982432,0.01971765
5,5,0.07837246,0.10178256,0.078155065,0.102281683,0.187276107,0.143591909,0.077591452,0.102896799,0.139833803,0.192988833,0.053673043,-1449.730798,0.109514694,1.028764196,0.078282849,0.101743447,0.048147366
7,5,0.076100385,-0.002236026,0.063827994,-0.001998734,0.079511422,-0.000233165,0.062663895,-0.000992164,0.084538356,0.022545439,0.006731612,-1396.299314,-0.057254701,0.962537836,0.00382907,-0.055976994,0.001679847
3,5,0.015716345,0.07660635,0.0157995,0.07664175,0.043042124,0.099209798,0.015536567,0.077011053,0.033689275,0.100842284,0.01356412,-1412.850103,0.077939532,0.983180065,0.015674422,0.076578972,0.012105614
5,5,0.045359053,0.0366157,0.044637856,0.036898129,0.043345304,0.07045295,0.044700047,0.03733003,0.109253847,0.075061959,0.04109427,-1408.444551,0.037197015,0.993016576,0.045362828,0.036570127,0.038208118
7,5,0.001409095,0.0537037,0.001502782,0.053842939,0.018791799,0.100097629,0.00172969,0.054560849,0.168025069,0.212273388,0.003257349,-1429.775152,0.054472946,1.005731087,0.00159649,0.053651746,1.27E-05
3,5,0.065042545,0.028595959,0.056659137,0.023359987,0.064974369,0.049718707,0.055360039,0.024310249,0.059920778,0.040829894,0.053281186,-1394.345898,0.025482608,0.955950252,0.056603664,0.023253337,0.043127619
5,5,0.019515027,-0.000121419,0.015012918,-0.00012065,0.067104422,0.039110804,0.012558087,-2.75E-05,0.096290353,0.129086352,0.009525638,-1428.715738,-0.005841534,1.026251583,0.01096637,-0.003737,0.003180991
7,5,0.047410722,0.111685813,0.047292908,0.111775767,0.122179054,0.174205397,0.050825662,0.112658775,0.200746544,0.307989995,0.009059632,-1463.548895,0.134713828,1.037661203,0.047371071,0.111650589,0.001057989
3,5,0.13410144,-0.001398048,0.061282855,-0.000370833,0.131151633,-2.83E-05,0.049130026,-0.000219996,0.034399372,-1.57E-05,0.022567066,-1370.122848,-0.02150529,1.007449757,0.02242021,-0.016297008,0.022641073
5,5,0.048944289,-0.001384806,0.039847348,-0.000378514,0.068571432,0.024812444,0.041859856,-0.00018734,0.12161504,0.105565608,0.028034111,-1408.754338,-0.023526637,1.035358812,0.028048928,-0.015017317,0.025661558
7,5,0.034857249,-0.001962906,0.014330973,-0.000435143,0.049715584,0.00668159,0.013309841,-0.000155556,0.015262576,-0.001088921,0.001209358,-1396.433401,-0.020583471,1.008828733,0.000498403,-0.012101829,3.40E-06
3,5,0.038301854,-0.003351328,0.04109981,-0.000444706,0.039933946,0.001752772,0.039348545,-0.000193909,0.046380379,-0.001274577,0.027332999,-1371.768972,-0.025865475,0.941127228,0.029198249,-0.021543643,0.026409201
5,5,0.000919109,-0.000287734,0.00410978,-0.000188139,0.016492602,0.055503682,0.005047709,-6.89E-05,0.044693059,0.029089803,0.000251863,-1393.565137,-0.009943408,1.018934864,0.001576331,-0.003475042,3.75E-05
7,5,0.042437006,-0.001140109,0.016348076,-0.000207226,0.066078623,0.02914187,0.014305802,-0.000122027,0.090033253,0.100626282,0.000918359,-1386.778134,-0.009059943,1.066418361,0.003595971,-0.000416485,1.76E-05
3,5,0.062140802,0.039068653,0.062031734,0.039279312,0.148670553,0.072701205,0.060218114,0.039992457,0.049782638,0.053723018,0.042222427,-1410.47068,0.045354128,0.996395254,0.04457874,0.042873838,0.037214584
5,5,0.033777111,0.000546246,0.03359288,0.00059833,0.096330574,0.070955939,0.033358933,0.000831307,0.132345138,0.085495344,0.037188607,-1418.97369,0.005544173,0.986573076,0.033727219,0.000494544,0.0372421
7,5,0.049062958,-0.003325417,0.042671549,-0.000668507,0.065934298,0.008428896,0.039904837,-0.000464801,0.020759727,-0.002399036,0.001066561,-1408.315371,-0.030817683,1.056289146,0.002808738,-0.020605977,0.000320531
3,5,0.037410868,-0.000496613,0.025157457,-0.000268909,0.107744598,0.055856255,0.024904615,-0.000133434,0.036984319,0.019235998,0.018760143,-1373.474698,-0.012400052,0.932553291,0.025097514,-0.013105009,0.017089586
5,5,0.047267159,-4.95E-05,0.03647872,-0.00035312,0.126789212,0.034235076,0.03088627,-0.000156866,0.067269926,0.040877431,0.025184005,-1395.209595,-0.01762006,0.978990893,0.025519595,-0.011447089,0.01406447
7,5,0.013137805,-0.000659549,0.028529606,-0.000539676,0.043014083,0.037764237,0.035831627,-0.000187287,0.089570037,0.037117693,0.030831747,-1420.422808,-0.003658706,0.967133808,0.037245719,-0.000111388,0.002933988
