sigma_theta,SURE_pi_B100_MSE,SURE_pi_B500_MSE
0.1,0.05780009678120397,0.010605315207631014
1.0,0.486740235198886,0.5112769411345471
5.0,1.0461059961950108,1.063043769793243
0.1,0.027012233025546964,0.009749545469341512
1.0,0.5310394680074899,0.5115459219738313
5.0,0.9048532981027795,1.0317363663172319
0.1,0.013515194383601593,0.05219323449148864
1.0,0.5089787637973885,0.5122529834270337
5.0,1.0255904447609119,1.0034015604894968
0.1,0.010170415822180891,0.03807201563643422
1.0,0.5012261900766738,0.5366863237779299
5.0,1.0183247738597736,0.9725685732596905
0.1,0.015748806647180643,0.019364915163052582
1.0,0.5075291444785811,0.50432738126136
5.0,1.060728395987653,0.9610230561962656
0.1,0.02584902180897308,0.021623488640204434
1.0,0.526779840428685,0.5027493138688476
5.0,0.959160340715649,1.0127078393842859
0.1,0.023024952339044884,0.009892144723122517
1.0,0.47288774743098905,0.524843810364982
5.0,1.019613105631405,1.0066781495044517
0.1,0.026866145595111766,0.014069050743286269
1.0,0.4992036557373239,0.5308689146870194
5.0,0.9952506069085706,0.9904874714990539
0.1,0.05641274807168826,0.010107357418231521
1.0,0.5048284856780352,0.5116840780147109
5.0,1.026323851273399,0.9748718738817904
0.1,0.015511117268696945,0.04397746831441512
1.0,0.47780455779935516,0.4546867472091252
5.0,0.998688642217547,1.0101319483185576
0.1,0.01663377948735962,0.01198795110127647
1.0,0.5139686023329538,0.5361858836806878
5.0,1.0262798855840067,0.9506520914479536
0.1,0.03367402819857458,0.06601277220041336
1.0,0.512454818460887,0.5231878953808046
5.0,0.9492751302633392,1.0016687944355092
0.1,0.03239749120664442,0.02278715290978159
1.0,0.5365099152013185,0.5455507883580446
5.0,0.9972893425932524,0.9610735405762774
0.1,0.013005555270806988,0.010573880198075125
1.0,0.4832555070372901,0.4996642431071801
5.0,1.0418047196987559,0.9981868282034084
0.1,0.01021944695369102,0.031417822005675645
1.0,0.5334860623981803,0.5046139006187255
5.0,1.0565800403970498,0.9541952629078854
0.1,0.009529488192630046,0.011620315156383643
