sigma_theta,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
0.1,0.03559612,0.059571968,0.03216295,0.060025731,0.099167767,0.099579014,0.030906948,0.066220524,0.010920852,0.072190838,0.013400553,-1379.769031,0.069908146,0.896596271,0.031351127,0.058759035,0.010055277
1,0.515646729,0.46970166,0.514600889,0.471223616,0.525177018,0.488439013,0.514209836,0.475833625,0.509250953,0.474289924,0.506231941,-1754.515194,0.474294231,0.980977367,0.51593225,0.469118272,0.492463914
5,1.019592884,0.934400263,1.019594808,0.936101834,1.0398957,0.973588132,1.017115012,0.937444006,1.056447496,0.973490789,1.003427315,-3061.120334,0.970671962,1.049658147,1.019565136,0.93439329,0.981239151
0.1,0.010660372,-2.14E-05,0.010747424,-1.24E-05,0.020465704,0.030814673,0.012990425,0.005793671,0.011350938,-2.18E-05,0.012906316,-1351.088596,-0.001285065,0.878348581,0.010601762,-0.002593079,0.010370046
1,0.472813505,0.469696718,0.470999267,0.471017247,0.483442223,0.49446,0.471855849,0.47751553,0.467208004,0.486635835,0.467052852,-1765.229195,0.479229385,0.945391659,0.472746663,0.46918896,0.46164646
5,1.054552273,0.944527191,1.053441234,0.946298499,1.089034728,0.977261217,1.054169164,0.947126775,1.148962984,1.045325523,1.043938889,-3039.268703,0.965956874,1.052062066,1.054839542,0.944534827,1.030882683
0.1,0.011359769,0.010330231,0.010747219,0.010926235,0.022536441,0.041360988,0.014951151,0.01785855,0.011253093,0.010098585,0.012170711,-1377.580882,0.010148915,0.876144675,0.011264849,0.01004209,0.009718302
1,0.442069055,0.43847292,0.442336404,0.439439385,0.469490245,0.468000972,0.437405787,0.444273393,0.441645456,0.44312768,0.433402006,-1740.595068,0.443072585,0.975277595,0.436741728,0.440686478,0.428265471
5,0.982326485,0.938073089,0.981782259,0.939054392,1.013444622,0.974758496,0.981574853,0.940070295,1.036122898,0.994208459,0.96440424,-3012.884049,0.962009769,1.047260217,0.979090286,0.940891055,0.945485393
0.1,0.009764728,0.02098587,0.00971315,0.020976787,0.021965275,0.050103566,0.012132258,0.028959108,0.009694658,0.020946144,0.009829705,-1355.959914,0.021049123,0.880114877,0.009754172,0.020689775,0.009637074
1,0.497845483,0.489991773,0.494945601,0.490954373,0.544299741,0.524015323,0.492720001,0.497297535,0.484894308,0.515326515,0.490811741,-1808.032897,0.498394986,0.96427564,0.497160381,0.488928851,0.471554635
5,1.134969738,0.944495662,1.134043329,0.945395734,1.176158268,0.96673139,1.131951626,0.946788495,1.338853033,1.167296089,1.090358088,-3053.614671,0.984194614,1.042495264,1.134408756,0.944564879,1.056430776
0.1,0.07344634,-0.002813741,0.057179851,-0.001764995,0.076162895,-0.000450552,0.056843486,-0.000553034,0.044544849,-0.011584619,0.011777943,-1318.167032,-0.089773496,0.959708109,0.010443063,-0.090357809,0.010101878
1,0.481534685,0.437670716,0.479909624,0.43835483,0.500125215,0.463281519,0.479724684,0.442975582,0.479330631,0.444174671,0.478537264,-1767.363646,0.445119132,0.959381336,0.480901959,0.43731309,0.468746081
5,1.072513436,0.940411287,1.072527813,0.94096747,1.080861346,0.974603314,1.070488501,0.942739605,1.070949713,0.964373781,1.062972941,-3029.419883,0.963597079,1.051606032,1.070246053,0.941931135,1.047039084
0.1,0.052171271,-0.000486245,0.031472163,-0.000207438,0.077467407,0.032635171,0.029249869,-9.93E-05,0.023679406,-0.001480993,0.010263561,-1370.626819,-0.015035503,0.920114411,0.010214337,-0.013866508,0.00973265
1,0.474844991,0.472751906,0.47386505,0.473655059,0.478570791,0.498258727,0.473865677,0.477679944,0.480510538,0.479528918,0.473924872,-1760.189666,0.474409135,0.93122573,0.475118715,0.472270956,0.47092468
5,1.065979183,0.939181124,1.065929686,0.941062201,1.097987517,0.968678352,1.061285559,0.942193725,1.16541375,1.068607334,1.037220252,-3020.097256,0.96130883,1.049567407,1.065033081,0.939148138,1.021400218
0.1,0.05626495,0.060547334,0.052906885,0.061588198,0.159142444,0.11016237,0.046896812,0.07169278,0.013825435,0.079616984,0.012906393,-1387.318323,0.078161409,0.930776174,0.055790893,0.060124883,0.009799239
1,0.488310446,0.460289502,0.487842681,0.461755723,0.499848545,0.476574952,0.488910579,0.46462255,0.490454018,0.462838607,0.492051258,-1730.66183,0.462335441,0.934179789,0.488499116,0.460028125,0.488316408
5,0.98600419,0.935249829,0.985074956,0.936142493,1.023008561,0.974146868,0.982918723,0.938031304,1.021129071,0.977830101,0.976844383,-3001.151531,0.960631123,1.050607053,0.988026628,0.935678988,0.965293326
0.1,0.020761141,-0.00055841,0.030073857,-0.00045923,0.021407547,-5.33E-06,0.031241261,-0.000268932,0.031468912,-0.006266841,0.010644021,-1363.694643,-0.032617657,0.8011027,0.010633377,-0.03188179,0.00948554
1,0.481152849,0.437009321,0.479886341,0.43776781,0.486750174,0.458522063,0.479469115,0.439671603,0.48549345,0.447831225,0.481609069,-1761.396885,0.439130966,0.965442491,0.480787807,0.43634902,0.475910167
5,1.042706899,0.937272364,1.042621026,0.938901348,1.080975195,0.970569569,1.042232466,0.941861806,1.103549469,1.019924974,1.030271004,-3044.897752,0.963682297,1.048481173,1.04242866,0.937160872,1.012213113
0.1,0.05861541,-0.001951163,0.044561858,-0.000930538,0.063247909,0.010443559,0.045443091,-0.000242391,0.035190235,-0.004748644,0.012273757,-1329.127941,-0.045570947,0.924892604,0.021690872,-0.046320392,0.009024479
1,0.455587292,0.461839099,0.454085401,0.463559278,0.471151476,0.480783535,0.455868656,0.469016668,0.452986598,0.465818481,0.455813087,-1744.127829,0.463125191,0.965965681,0.455598907,0.46114575,0.445964904
5,1.005464964,0.955127855,1.004407538,0.956037418,1.043829173,0.985181102,1.003940038,0.956590201,1.082788781,1.038158356,1.008742787,-3032.448887,0.974442615,1.046259546,1.007327353,0.95489059,0.989122779
0.1,0.016124143,0.057769956,0.015238206,0.058597385,0.0371087,0.082187912,0.02129096,0.064759396,0.015823921,0.057688637,0.017539417,-1388.616748,0.058643197,0.905966115,0.016358562,0.057589818,0.010456819
1,0.490320715,0.453482047,0.489718401,0.455036909,0.497447792,0.478980427,0.490290533,0.46075813,0.494797185,0.461948864,0.484225421,-1745.839292,0.457540401,0.931913992,0.490363707,0.453062986,0.482908978
5,1.032537384,0.943488152,1.036221827,0.94673651,1.060886714,0.980200611,1.029455269,0.946881705,1.175082018,1.13330382,1.034514995,-3007.483321,0.97111253,1.052274133,1.031721494,0.943376881,1.004998722
0.1,0.02619636,0.014857163,0.022698082,0.016691767,0.047211723,0.036879428,0.025593823,0.025662569,0.01129017,0.021929416,0.016378982,-1373.695851,0.017449557,0.914404963,0.026074537,0.0146379,0.009734137
1,0.494579784,0.454730175,0.492936679,0.456740672,0.55839105,0.498791689,0.492385913,0.461876916,0.471716041,0.478430756,0.487966786,-1767.876437,0.457847712,0.964101247,0.494084239,0.454038564,0.466690783
5,0.991471345,0.950026784,0.99204259,0.951145695,0.999020425,0.974827795,0.990065492,0.952308681,1.049759639,0.999993344,0.984280115,-3034.881865,0.965417058,1.045215536,0.993767687,0.950248594,0.968579059
0.1,0.048294849,0.032434678,0.043269895,0.034663347,0.08894561,0.058599226,0.034775033,0.043866813,0.010746411,0.051226371,0.016485018,-1381.13526,0.044616678,0.969616785,0.047193265,0.032295855,0.009734666
1,0.544908449,0.510549257,0.544635017,0.511126152,0.558105752,0.537399467,0.544142552,0.516394922,0.5454337,0.510589997,0.535298528,-1765.362983,0.516037134,0.948227186,0.543256403,0.510288728,0.532941611
5,1.086178404,0.924472582,1.08739282,0.926894993,1.125339764,0.958027565,1.08220222,0.928348323,1.10626728,0.947911638,1.054667759,-3081.154038,0.945735325,1.049237593,1.08555561,0.924318044,1.020310932
0.1,0.013479467,0.013341158,0.012966071,0.0138749,0.026294492,0.04174667,0.017508429,0.021089666,0.01329004,0.013355938,0.011555506,-1370.574371,0.013466529,0.867995708,0.013466959,0.013038379,0.009632602
1,0.48960823,0.471284595,0.485559805,0.469455117,0.510191694,0.485552193,0.488420476,0.47310337,0.486493636,0.484680046,0.495051193,-1743.890096,0.472182836,0.969804574,0.485857775,0.467492046,0.480335359
5,1.030679123,0.923695795,1.031473299,0.924411589,1.060975459,0.956906831,1.029812844,0.9265543,1.04800304,0.936237829,1.016869021,-3043.07954,0.948952632,1.050268756,1.03148534,0.924010519,0.99233919
0.1,0.023971832,0.061491085,0.021019003,0.062751929,0.049792052,0.091947422,0.025974443,0.070069335,0.015485781,0.065027772,0.017022826,-1398.73847,0.063254798,0.904305473,0.023536618,0.061172689,0.009703005
1,0.493753977,0.504793657,0.48958958,0.505593238,0.50559771,0.52323023,0.487044535,0.508012005,0.489891972,0.50723303,0.480247213,-1777.368287,0.512662152,0.94768487,0.491428603,0.504174536,0.470293324
5,1.152401744,0.924773668,1.155005616,0.927852244,1.18504005,0.956697775,1.151841018,0.927480395,1.181012966,0.966775168,1.112602967,-3013.971792,0.957050177,1.052520576,1.155814834,0.924494901,1.086519092
0.1,0.017109255,0.036371727,0.014982316,0.037799378,0.042674006,0.059124795,0.021162527,0.044117206,0.011577212,0.039865085,0.012987222,-1376.881378,0.037982091,0.926954191,0.017015024,0.036141548,0.010564212
1,0.508982852,0.451307666,0.507987944,0.453030118,0.522504791,0.472268456,0.510599522,0.458126844,0.514854793,0.467200767,0.495856133,-1745.203045,0.460637507,0.989996746,0.508861696,0.450914242,0.493992897
5,1.004020184,0.943940203,1.006829284,0.945978549,1.031918492,0.980238593,1.002206974,0.946947946,1.040369062,0.996880694,0.988200809,-3006.822225,0.970615262,1.053903013,1.003770867,0.943926005,0.974053588
0.1,0.034501168,0.011149465,0.029550532,0.012276651,0.05829982,0.060986642,0.025909165,0.019665095,0.010868145,0.025348212,0.01591637,-1366.160761,0.019116814,0.956934358,0.030192768,0.010940785,0.008869425
1,0.486272991,0.461357925,0.485419188,0.462733459,0.513513741,0.475412609,0.490589434,0.465392732,0.476229388,0.483033509,0.481620886,-1743.419009,0.465780848,1.006919266,0.485200837,0.46108702,0.469322899
5,1.082460396,0.924024116,1.077302076,0.926572601,1.091567628,0.95956923,1.073194034,0.928233906,1.216749901,1.100392992,1.047127305,-2996.448744,0.95002301,1.048290775,1.082174206,0.923753659,1.022820199
0.1,0.088023828,0.015426704,0.085769427,0.016479401,0.191940329,0.060315826,0.085005803,0.028418711,0.013131805,0.063558698,0.041438694,-1376.76979,0.026776512,0.930874467,0.087457958,0.014952208,0.009630822
1,0.480993551,0.494217947,0.479268667,0.495429877,0.480172137,0.515581629,0.475444861,0.501327497,0.481095329,0.501668242,0.478021395,-1770.155911,0.496598149,0.952327518,0.48036807,0.493685307,0.472941862
5,0.981371686,0.948977395,0.979921432,0.950541994,1.000340426,0.978841844,0.980641627,0.951735689,1.287876574,1.215986754,0.971696534,-3047.238014,0.987243209,1.050205546,0.981857514,0.949060916,0.941229313
0.1,0.031510382,-0.00030513,0.031931747,-0.000214848,0.051327866,0.023645822,0.031560029,-9.42E-05,0.019720822,-0.000560113,0.015953527,-1379.300526,-0.010357282,0.878900003,0.020120549,-0.010894391,0.009677982
1,0.508960036,0.405163752,0.508858693,0.40687829,0.533890302,0.435464784,0.506038799,0.410258782,0.503970545,0.414048336,0.497463012,-1705.74701,0.409410695,0.977313716,0.501449859,0.406511538,0.495245696
5,1.109721934,0.952809297,1.109644314,0.95331257,1.124850311,0.984163097,1.106412418,0.954753805,1.211546338,1.066599418,1.081758138,-3065.066176,0.978157707,1.047141581,1.109264111,0.952579992,1.07098702
0.1,0.017257148,0.025874922,0.010726354,0.02737527,0.063742246,0.056188612,0.017499658,0.032231354,0.010549205,0.026688844,0.01118367,-1368.834374,0.026085644,0.979918767,0.011706016,0.025653697,0.010201603
1,0.505901871,0.459575165,0.506009656,0.46102965,0.527604709,0.479483168,0.505386354,0.46699758,0.488005548,0.476417137,0.491293524,-1757.748527,0.463071707,0.970857002,0.5060268,0.458934149,0.475318889
5,1.005477546,0.940594255,1.005315518,0.942684471,1.059084326,0.976263017,1.005551567,0.943132098,1.453696047,1.455367659,0.972056825,-3014.297056,0.968918693,1.049958858,1.005226029,0.940512798,0.969310322
0.1,0.026445027,-1.62E-06,0.02529037,0.001072735,0.0562928,0.046396328,0.025457897,0.00668755,0.013570683,0.006829228,0.013258514,-1388.412868,0.007223034,0.913159924,0.025240268,-3.58E-06,0.00968353
1,0.514845028,0.435046423,0.51301488,0.437276382,0.531081855,0.460544122,0.513973094,0.439916368,0.521253242,0.451009091,0.511633531,-1749.20644,0.443464961,0.943245589,0.514231237,0.434469838,0.511374389
5,1.053235684,0.925934707,1.053724202,0.92784975,1.076200432,0.95577375,1.056508819,0.928669955,1.24411039,1.11001429,1.052332431,-3040.350823,0.956136599,1.050345493,1.057238943,0.92668789,1.006759207
0.1,0.062854219,0.017528119,0.060587694,0.018276032,0.10030869,0.065494563,0.047977647,0.030467673,0.010630279,0.041295127,0.010563464,-1360.936788,0.041683304,0.945694365,0.010627221,0.041111231,0.01040777
1,0.522531853,0.446288656,0.522135063,0.447226075,0.538731853,0.460978375,0.519085078,0.449721088,0.527453795,0.460825212,0.516548259,-1747.395497,0.452525198,1.002355309,0.520127866,0.446347643,0.514957479
5,1.073752253,0.933396995,1.073551168,0.934947578,1.106069511,0.964311543,1.072071655,0.936349963,1.262690673,1.117210484,1.036187975,-3022.444007,0.959685953,1.051479793,1.075217187,0.933341704,1.029478738
0.1,0.040608673,-0.000771953,0.032802151,-0.000258864,0.051752218,0.0126064,0.032913266,-0.000135109,0.02866275,-0.002604246,0.011157424,-1354.13038,-0.02840335,0.964306766,0.015620631,-0.029522153,0.009992883
1,0.450653444,0.469067764,0.448350428,0.470491194,0.465347718,0.483568525,0.448269407,0.473950777,0.446396979,0.474479462,0.447965339,-1746.267245,0.47385765,1.001767782,0.450418063,0.468190904,0.440969615
5,0.938056762,0.936913915,0.938592384,0.937925025,0.971365108,0.970950756,0.937966216,0.940558645,0.972411815,0.980154199,0.893539644,-3066.148963,0.97643389,1.050774787,0.937995015,0.936526072,0.88146503
0.1,0.100608744,-0.000821188,0.06096697,-0.000347211,0.118469732,0.019455784,0.058273096,-0.000176168,0.021774755,-0.000897951,0.017005964,-1368.634468,-0.019113835,0.988545125,0.01720056,-0.017776307,0.010522087
1,0.479441761,0.438323149,0.47801725,0.440523503,0.48490015,0.462620776,0.47866988,0.44591377,0.480828304,0.440898227,0.480852668,-1733.706623,0.438707673,0.917213371,0.478980159,0.43783277,0.469606487
5,1.026641493,0.948339336,1.026462214,0.950007085,1.080176827,0.98804886,1.02609913,0.951791193,1.113095159,1.053363737,1.01984831,-3048.627695,0.97096045,1.0520018,1.032096172,0.94970396,0.989482611
0.1,0.044791207,-0.002527542,0.049714256,-0.000814999,0.046790933,-0.000760114,0.048348961,-0.000466361,0.042757695,-0.007277709,0.012061315,-1342.28356,-0.058286469,0.890477545,0.020170863,-0.059304226,0.009673618
1,0.519226476,0.492102051,0.519031137,0.492494717,0.562058918,0.509846407,0.508926761,0.497900355,0.478333752,0.524837418,0.46862917,-1773.997351,0.518748985,0.969263991,0.516270055,0.490721189,0.462881049
5,1.058734426,0.893576596,1.059196387,0.896086965,1.119910559,0.931378985,1.058173866,0.896861729,1.103904739,0.941844166,1.005834684,-3059.687627,0.936721242,1.050438468,1.059371565,0.893376133,0.974979425
0.1,0.013236589,0.039547949,0.011096769,0.04011643,0.044071296,0.067359412,0.018098262,0.046068825,0.011244944,0.039371528,0.010156171,-1382.404273,0.039630016,0.895883522,0.01144101,0.039288357,0.009460761
1,0.497728434,0.412266101,0.498092221,0.413321758,0.498157249,0.441071846,0.493730989,0.418557525,0.508534423,0.416928165,0.493887381,-1741.355236,0.420201929,0.916911168,0.498056501,0.411768597,0.492432391
5,1.124658393,0.946000341,1.1237626,0.947428937,1.152115717,0.972866634,1.122016077,0.948212693,1.148229537,0.962208165,1.114629382,-3061.315385,0.978008702,1.048620092,1.125487379,0.945912498,1.072267985
0.1,0.028540913,-0.000683444,0.035194824,-0.000516763,0.027460153,-2.03E-05,0.036067399,-0.000230242,0.039302911,-0.003937991,0.01042835,-1360.591534,-0.037298832,0.901493757,0.01680329,-0.039564344,0.009293988
1,0.495673264,0.453771982,0.49434017,0.454368402,0.500733725,0.478030918,0.488521404,0.460205865,0.49055148,0.467137874,0.486468426,-1770.425124,0.463746406,0.974102923,0.487947704,0.45989841,0.483008225
5,1.017359523,0.947147358,1.015960544,0.948681658,1.033240667,0.97655826,1.016979706,0.949303696,1.115535999,1.059480563,1.006977489,-3033.40927,0.977910935,1.044463897,1.018419182,0.947097289,0.986691437
0.1,0.041223092,-0.002144132,0.043694389,-0.000910943,0.043159993,-0.000396318,0.042820599,-0.000442009,0.036991241,-0.006465997,0.012305911,-1339.901513,-0.058147295,0.913604388,0.012174152,-0.057452267,0.010672947
1,0.5393369,0.406683759,0.538198144,0.408785142,0.58903504,0.448853665,0.528256348,0.417458997,0.556416788,0.41464132,0.484738178,-1759.076796,0.434453079,1.047078129,0.538744615,0.406436417,0.456060356
5,1.027903945,0.948218716,1.025205554,0.949957076,1.049773711,0.974881683,1.024521189,0.950375487,1.235410456,1.157850816,1.008307666,-2999.024527,0.969052371,1.051849537,1.026429213,0.949415805,0.99555749
0.1,0.012207662,0.025292873,0.011432001,0.026161239,0.037720786,0.053627118,0.017663801,0.032104954,0.012066973,0.025174083,0.013910193,-1396.095604,0.025401622,0.882213236,0.012158041,0.024997798,0.009575141
1,0.480556829,0.466201377,0.475033421,0.46401572,0.482572825,0.485987105,0.469768273,0.469685582,0.470025535,0.466963921,0.468630162,-1747.012558,0.464757305,0.96829234,0.474215933,0.461706083,0.460559594
5,1.08053163,0.958327354,1.082359864,0.95918731,1.107927931,0.988693679,1.079703997,0.960083319,1.120034363,1.035445286,1.071301988,-3043.515561,0.970468815,1.0479102,1.079959297,0.95815161,1.039537333
