sigma_theta,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
0.1,0.025822265,0.066698076,0.025947874,0.066831567,0.052088756,0.095904712,0.027226731,0.067751862,0.019292971,0.069204319,0.016699883,-1421.567917,0.068671418,0.906835097,0.025722133,0.066663178,0.009534014
1,0.457210039,0.482522297,0.456165185,0.481478076,0.47453208,0.499632524,0.455695859,0.482166959,0.453935929,0.490891151,0.455474549,-1780.833379,0.486716939,0.982090282,0.455813793,0.481307841,0.446140524
5,1.111110098,0.963210469,1.111544247,0.963535896,1.132514004,0.991006462,1.112223519,0.963923028,2.118877658,2.015063712,1.067483508,-3020.747895,0.996304916,1.08512622,1.109920247,0.963357423,1.048795447
0.1,0.059768644,-0.002437294,0.036818778,-0.000613012,0.07616421,0.015593228,0.033629236,-0.000291194,0.023580135,-0.002519251,0.009883274,-1356.428876,-0.030382506,1.007328211,0.010358497,-0.022678955,0.009860616
1,0.482355558,0.540937277,0.482041608,0.541169272,0.51648103,0.558097228,0.483567232,0.541475563,0.458285096,0.556112019,0.459637808,-1776.514345,0.549889465,1.010369254,0.481520133,0.540966508,0.450525395
5,1.153316045,0.958706002,1.153276941,0.958834219,1.208365786,0.984676993,1.151046761,0.959798678,1.318990447,1.15982414,1.122168742,-3039.87313,0.993649272,1.087046137,1.154356384,0.958986106,1.099349921
0.1,0.011497901,-0.001022764,0.013875446,-0.000228648,0.017321407,0.01561037,0.015122816,-0.000115862,0.018891892,-0.001623141,0.010600521,-1367.449861,-0.015684757,0.932974765,0.011054014,-0.014672498,0.009895346
1,0.499356064,0.511366869,0.499252471,0.51148301,0.506937486,0.536948615,0.499182579,0.511973819,0.505714025,0.514765005,0.494638691,-1796.493349,0.518136354,0.942277025,0.499316114,0.511274459,0.488863403
5,1.034897465,0.959075879,1.035116643,0.959087322,1.054504723,0.994199953,1.03596854,0.960186979,2.071135609,1.877999096,1.001465276,-3022.90771,0.995341776,1.089211771,1.034712573,0.959206868,0.976446218
0.1,0.074935841,-0.000137651,0.036411214,-6.69E-05,0.13472135,0.020751168,0.031162364,-4.67E-05,0.009216544,0.001473721,0.009315048,-1387.79685,0.001723943,0.992054334,0.009229575,0.0014762,0.009030821
1,0.542605507,0.494917339,0.543088047,0.495087028,0.572218217,0.529939173,0.543504671,0.495667985,0.512569471,0.537752715,0.52017195,-1787.63551,0.501053625,1.040068765,0.540942398,0.49482297,0.50416212
5,1.04044808,0.970405574,1.040416773,0.970421606,1.052230616,0.998183537,1.037597476,0.971496877,1.297780107,1.166549465,1.007551257,-3027.212263,0.991292313,1.075773836,1.040337157,0.970359529,0.960931491
