sigma_theta,n,SURE_MSE,SURE_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
0.1,1000,0.048309722,0.006578075,0.009772274,-1366.753742,0.021244254,0.932137039,0.053092529,0.004954966,0.009098428
1,1000,0.479851769,0.537169954,0.473790493,-1809.057266,0.550220161,0.97330817,0.480001142,0.535775147,0.455354264
5,1000,1.094954531,0.968062475,1.063059889,-3009.561085,0.998417153,1.074422212,1.090322997,0.965488921,1.031908554
0.1,2500,0.040117765,-0.000633937,0.009952344,-3389.448689,-0.041236745,0.996341841,0.012905382,-0.041174666,0.009676795
1,2500,0.482358317,0.480317776,0.479086765,-4457.688501,0.481885039,1.031811739,0.482849138,0.478303507,0.474415769
5,2500,1.074372338,0.97861405,1.054412557,-7573.900946,0.996791271,1.07289924,1.073245764,0.977413319,1.04926157
0.1,5000,0.010490209,0.001091401,0.010366945,-6857.388331,0.000615501,0.973961384,0.010435753,0.000572932,0.010306973
1,5000,0.491609622,0.468637672,0.491781677,-8803.299766,0.468413506,1.03809877,0.49131464,0.467584945,0.488912709
5,5000,0.991914338,1.004545994,0.981731044,-15259.0255,1.012283325,1.07766698,0.991929654,1.003474606,0.972558392
0.1,1000,0.023631782,0.015146562,0.01855494,-1383.739462,0.016778195,0.944113341,0.020789715,0.015516163,0.009892672
1,1000,0.506518868,0.493906965,0.494573697,-1783.025032,0.496117508,1.032577014,0.506862114,0.49105873,0.486256492
5,1000,1.087394419,0.96200821,1.035030897,-3035.746704,1.003877389,1.092227282,1.085634339,0.961159483,1.010896394
0.1,2500,0.02747654,-0.000292173,0.012939623,-3431.484487,-0.020480639,0.950994957,0.013951964,-0.019401269,0.010121605
1,2500,0.490886602,0.47289743,0.489905872,-4398.841005,0.478228245,1.019661885,0.491054918,0.471733908,0.487550512
5,2500,1.017041091,0.997949007,0.999066871,-7615.574273,1.016226437,1.092693462,1.016288486,0.997127299,0.984308792
0.1,5000,0.017825275,-0.000137082,0.010394295,-6877.15367,-0.006425989,1.039049955,0.010382325,-0.004768032,0.009661761
1,5000,0.493238421,0.491807723,0.491545907,-8839.713327,0.491601994,1.054607833,0.494258637,0.490748709,0.490394607
5,5000,1.076676364,1.016599216,1.066623221,-15258.45096,1.025244663,1.087581107,1.075150859,1.015897642,1.062389538
0.1,1000,0.010069978,0.037933643,0.009950473,-1386.519697,0.03791708,0.923937294,0.010835342,0.036977583,0.009856089
1,1000,0.483250591,0.499764698,0.483605566,-1761.835447,0.500283915,1.037580746,0.484852381,0.497250569,0.480975738
5,1000,1.001923917,0.974449263,0.98556319,-3050.902996,0.994426609,1.08048097,1.000907784,0.972780608,0.972587777
0.1,2500,0.019936993,0.064569982,0.010251173,-3485.007096,0.068794979,1.00618384,0.015105604,0.066612759,0.009967451
1,2500,0.47974994,0.449682289,0.478868574,-4362.52166,0.449980756,1.055074274,0.480263062,0.447829405,0.469226416
5,2500,1.124439959,0.989910068,1.107171581,-7577.202561,1.009964043,1.083902749,1.124157827,0.989157193,1.091601878
0.1,5000,0.050988344,-0.001058488,0.009946842,-6798.94063,-0.070692583,0.993525026,0.01017972,-0.069165523,0.009834991
1,5000,0.502806198,0.474029104,0.504021826,-8810.536736,0.474878718,1.033221734,0.503221245,0.473196769,0.50184543
5,5000,1.031306094,1.006725771,1.024991116,-15191.501,1.015222756,1.085075344,1.030562862,1.006179271,1.019937001
0.1,1000,0.026323985,0.05695697,0.011417796,-1416.905424,0.057899929,1.005476223,0.016835006,0.056294565,0.009346753
1,1000,0.502157389,0.463881283,0.502230779,-1740.531822,0.463658878,0.97910417,0.50297289,0.461858017,0.500227724
5,1000,1.109013716,0.992854814,1.079973175,-3059.61319,1.02130552,1.096033594,1.109743542,0.99173705,1.062669682
0.1,2500,0.028379384,-0.000194624,0.015210207,-3424.356966,-0.0191092,1.027411149,0.014961598,-0.017365133,0.009656489
1,2500,0.47075143,0.4702915,0.472148244,-4427.715491,0.470066399,1.004856754,0.469979743,0.469365399,0.467408327
5,2500,0.980998114,0.993900844,0.969626443,-7586.1404,1.010623727,1.076166914,0.98040833,0.993036788,0.961179082
0.1,5000,0.010504019,0.029049326,0.010157475,-6935.927162,0.028401661,1.030159635,0.010248964,0.028359222,0.009928602
1,5000,0.49106757,0.496409723,0.491237767,-8861.23666,0.495416205,1.031624707,0.491536203,0.49491613,0.48968357
5,5000,1.044138757,1.018706021,1.039497024,-15211.71173,1.024366129,1.090536303,1.04519932,1.017712745,1.032239615
0.1,1000,0.028647306,0.049375142,0.020155988,-1390.639068,0.050878956,0.976987652,0.021124296,0.049544242,0.009706907
1,1000,0.468823689,0.455386658,0.447236684,-1763.39626,0.461881849,0.961868246,0.46933545,0.453146717,0.436558646
5,1000,1.077640278,0.956301639,1.062025316,-3047.892817,0.986474303,1.052067063,1.080296095,0.954523425,1.044582879
0.1,2500,0.015068391,-0.00013861,0.010066168,-3395.264972,-0.013648076,0.997923846,0.009705039,-0.011722037,0.009613583
1,2500,0.49165482,0.471947625,0.488336518,-4416.364019,0.473263275,1.011633126,0.492669223,0.470705388,0.482377142
5,2500,0.962366471,0.985574649,0.949572035,-7608.861339,0.999802044,1.076432791,0.960077771,0.985238151,0.938921672
0.1,5000,0.010344795,0.035486855,0.010491159,-6942.340485,0.034390572,1.026383306,0.010421621,0.034362342,0.009943
1,5000,0.480107742,0.469720124,0.479175015,-8812.382329,0.469715593,1.057381553,0.479391834,0.469007759,0.478161084
5,5000,0.981041806,1.007895733,0.978710722,-15117.90827,1.011002826,1.081146361,0.981732048,1.006589644,0.974948368
0.1,1000,0.011752873,0.02662173,0.011840436,-1393.330979,0.027771484,0.883084392,0.012159441,0.025704163,0.009596036
1,1000,0.484031998,0.459425192,0.468414647,-1770.370245,0.467457005,1.041057221,0.485343121,0.457158801,0.457335536
5,1000,1.103059749,0.961577691,1.059655081,-3042.758818,0.987097484,1.070960567,1.102261711,0.960767105,1.039434113
0.1,2500,0.046134129,-0.000276367,0.009923117,-3435.877527,-0.01865892,1.041915088,0.011404033,-0.018381029,0.009840859
1,2500,0.457275897,0.443723402,0.456558986,-4363.348159,0.443407571,1.056646278,0.458836386,0.442265547,0.45308978
5,2500,1.084289507,0.989568796,1.050566055,-7589.962541,1.00563969,1.085463033,1.081408214,0.986388991,1.044240458
0.1,5000,0.014638634,0.023335733,0.010146415,-6936.788971,0.026030567,1.022171357,0.010360454,0.025515116,0.010083526
1,5000,0.47190929,0.491765415,0.471609192,-8882.516554,0.492306799,1.057554289,0.472411697,0.490873304,0.468641163
5,5000,1.027879934,1.017796184,1.020300962,-15349.93051,1.026427305,1.08646364,1.026897833,1.016893221,1.008909249
0.1,1000,0.039418911,-0.000509397,0.011708816,-1376.5109,-0.029354665,0.926116901,0.011553709,-0.029727922,0.009533016
1,1000,0.485541896,0.442443733,0.483179486,-1737.580559,0.443493845,0.987900454,0.484804267,0.440764415,0.477337789
5,1000,1.05524168,0.952441325,1.030854341,-3023.859527,0.99315198,1.07629446,1.055269379,0.951128187,0.985397885
0.1,2500,0.011677928,-1.15E-05,0.012118029,-3417.086191,-0.000863302,0.961993879,0.012925743,-0.001187572,0.010126068
1,2500,0.479616705,0.464878308,0.477772336,-4393.470865,0.467931844,1.027373107,0.479769822,0.463664416,0.472144109
5,2500,1.001430015,0.981756861,0.987194886,-7644.671269,0.989439293,1.061417878,1.002790366,0.980100512,0.974233973
0.1,5000,0.009795933,0.019588707,0.00973178,-6905.816202,0.018909394,1.005743082,0.00976057,0.018897879,0.009661447
1,5000,0.490368625,0.466436754,0.48930963,-8814.351164,0.466640654,1.047721582,0.489120455,0.465910966,0.487734623
5,5000,1.016488802,1.007295785,1.011359852,-15285.71251,1.01376539,1.077130048,1.017429655,1.006474294,1.002266304
0.1,1000,0.013245123,0.071835498,0.013382657,-1401.939635,0.07158387,0.940295029,0.013915155,0.070931149,0.010517404
1,1000,0.47996275,0.50460112,0.452113422,-1799.603426,0.515873554,1.069025315,0.479090574,0.503452716,0.447988561
5,1000,1.112446666,0.978449853,1.094714789,-3007.816467,0.99750989,1.089751744,1.115005523,0.977430533,1.081380769
0.1,2500,0.023383685,0.023337158,0.009902051,-3455.896991,0.031549447,1.062530748,0.019705347,0.023836026,0.009668045
1,2500,0.494901842,0.485239611,0.479597362,-4426.743307,0.490493145,1.056249892,0.486297676,0.487712834,0.477688284
5,2500,1.013154236,1.004702115,1.00254008,-7625.118246,1.015514198,1.084326843,1.012340757,1.003319592,0.988162106
0.1,5000,0.010739274,0.018875855,0.011296608,-6879.156184,0.017957471,1.017157072,0.011993625,0.017117938,0.010084413
1,5000,0.496768121,0.494428691,0.490864554,-8849.046277,0.497253521,1.041987712,0.491384563,0.495351925,0.488469107
