,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter,m,n,experiment
0,NPMLE,0.3501988001480156,,,,0,100,c
1,SURE-PM uniform,0.004833860931196341,0.005220018742048964,0.004878804792842999,0.004845210078277517,0,100,c
2,SURE-PM NPMLEinit,0.004823298863161299,0.0048311451984810105,0.004825493193330743,0.004823930307344142,0,100,c
3,SURE-PM random,0.004831003796862347,0.005292221903359575,0.004869731038479372,0.004840733822721575,0,100,c
4,SURE-PM random,0.00483353129032686,0.005281254589965769,0.004878543190005473,0.004844692893682989,0,100,c
5,SURE-PM random,0.0048351205617427695,0.00525276022699245,0.00488538237104386,0.00484780297842427,0,100,c
6,SURE-PM random,0.004835062995005899,0.005258795569754824,0.004884619972512567,0.004847585652020569,0,100,c
7,SURE-PM random,0.0048335159833751366,0.005158740418683721,0.0048761060643435885,0.004844432931678711,0,100,c
8,SURE-PM random,0.004832607233166755,0.005191212056446872,0.004872533265869165,0.004842671983452646,0,100,c
9,SURE-PM random,0.004833858943476983,0.005214071430574876,0.004880409149218608,0.004845525288673685,0,100,c
10,SURE-PM random,0.004834803991840815,0.005325660769598812,0.004885953795572604,0.004847352634347146,0,100,c
11,SURE-PM random,0.004833684327296055,0.005201075617843571,0.004878699306128027,0.0048449535372733265,0,100,c
12,SURE-PM random,0.004834956571177003,0.005233567070577792,0.004883407543979885,0.004847321278811307,0,100,c
13,NPMLE,0.7549479959055031,,,,1,100,c
14,SURE-PM uniform,0.15990233249940503,0.16041413302919666,0.16007280705621327,0.15995113886169393,1,100,c
15,SURE-PM NPMLEinit,0.1545605530919569,0.1547582314806506,0.15461512974597327,0.15457694419019133,1,100,c
16,SURE-PM random,0.15989723103945466,0.160404809608506,0.1600565289357314,0.15994157632219555,1,100,c
17,SURE-PM random,0.15990065872618145,0.16042680850247734,0.16006559821544386,0.1599478032935275,1,100,c
18,SURE-PM random,0.15990224965500788,0.16042808562524358,0.16007077248463503,0.1599497615829394,1,100,c
19,SURE-PM random,0.15990395526157145,0.16041002114863118,0.16007797188379327,0.1599542364569865,1,100,c
20,SURE-PM random,0.159903389119648,0.16037369678749117,0.160063543972486,0.15995029363792526,1,100,c
21,SURE-PM random,0.159903987424086,0.16039340550407188,0.16007441919878146,0.15995365835815734,1,100,c
22,SURE-PM random,0.15990291474609009,0.16040420128544552,0.160082121797017,0.15995541685275527,1,100,c
23,SURE-PM random,0.1599023055553792,0.16043657306003867,0.16007184865086713,0.1599503216626873,1,100,c
24,SURE-PM random,0.15990470685521857,0.16039802205775686,0.16007792814047633,0.1599553490311335,1,100,c
25,SURE-PM random,0.15990344993856426,0.16041177013280802,0.16007528792658918,0.15995348732748624,1,100,c
26,NPMLE,0.9572079989433319,,,,2,100,c
27,SURE-PM uniform,-0.03293688760334021,-0.03239312420507503,-0.032861878325066415,-0.03292109384072958,2,100,c
28,SURE-PM NPMLEinit,-0.032949875846179,-0.032942453931474276,-0.03294749338053897,-0.03294916212604328,2,100,c
29,SURE-PM random,-0.032938347643197405,-0.03250301196153345,-0.03287931505698396,-0.0329247895147617,2,100,c
30,SURE-PM random,-0.032936624188274095,-0.032421866423432914,-0.032862179537564346,-0.03291988345883496,2,100,c
31,SURE-PM random,-0.03293529668026736,-0.03233966535073705,-0.03285392630128015,-0.032917701229905984,2,100,c
32,SURE-PM random,-0.032935238977607285,-0.0323102120769434,-0.03284637329633846,-0.03291670833546114,2,100,c
33,SURE-PM random,-0.032937163680153814,-0.032434410982350385,-0.032867503972300725,-0.032921716163676396,2,100,c
34,SURE-PM random,-0.03293751749549841,-0.03239518196717938,-0.03286510849354549,-0.03292174446564061,2,100,c
35,SURE-PM random,-0.032937015595986024,-0.03239799800261323,-0.03285682916214903,-0.032920289650670044,2,100,c
36,SURE-PM random,-0.03293502002392984,-0.032298045341695454,-0.03284499308838221,-0.032915323293796345,2,100,c
37,SURE-PM random,-0.032936653312031654,-0.03234939511980258,-0.03285463486604684,-0.03291910366638362,2,100,c
38,SURE-PM random,-0.032935011023238446,-0.032361204133489994,-0.03285518031159888,-0.032916727137640434,2,100,c
39,NPMLE,0.8584128976101796,,,,3,100,c
40,SURE-PM uniform,0.122636676423014,0.12317840260067299,0.12280811734312187,0.12268196782146973,3,100,c
41,SURE-PM NPMLEinit,0.12261753238767696,0.12267195053850756,0.12263150325282596,0.12262153840049166,3,100,c
42,SURE-PM random,0.12262952363919503,0.12313432942180967,0.12277487739949791,0.12266205164086166,3,100,c
43,SURE-PM random,0.12264300196391559,0.12315008968362491,0.12280949859650711,0.12269034303141076,3,100,c
44,SURE-PM random,0.12263647555091169,0.12320270844192194,0.12281371904461678,0.12268252766506692,3,100,c
45,SURE-PM random,0.1226406521550085,0.12320680094658258,0.12282087310734234,0.12269063162994065,3,100,c
46,SURE-PM random,0.12262906229188275,0.12315970424871821,0.12278341607795433,0.12266357049518853,3,100,c
47,SURE-PM random,0.1226363720520527,0.12317954486729313,0.12281333392049902,0.12268421461732672,3,100,c
48,SURE-PM random,0.12263835939612434,0.12318061637785646,0.12280853857452734,0.12268334274343054,3,100,c
49,SURE-PM random,0.1226492177437315,0.1232042962646431,0.1228334143601409,0.12270134880967098,3,100,c
50,SURE-PM random,0.12263913584383218,0.12318262977024631,0.12281536415957355,0.12268629469195858,3,100,c
51,SURE-PM random,0.12263285519035456,0.12319163731658613,0.12279908783630318,0.12267147842622109,3,100,c
52,NPMLE,1.045527929934791,,,,4,100,c
53,SURE-PM uniform,0.10193106597850594,0.10316308873487465,0.10217559863093868,0.10198676766846199,4,100,c
54,SURE-PM NPMLEinit,0.10188459237559641,0.10188904280842735,0.10188629548866729,0.1018851369131874,4,100,c
55,SURE-PM random,0.10192806184100832,0.10306332839481527,0.10214970953878165,0.10197909539039486,4,100,c
56,SURE-PM random,0.10193034069931045,0.10314922977108779,0.10217694856838143,0.10198778524335708,4,100,c
57,SURE-PM random,0.10193082127103516,0.10317419810954562,0.10218665814628061,0.1019891324658623,4,100,c
58,SURE-PM random,0.10192950608669178,0.10317720940623111,0.10218469130460896,0.10198762996927634,4,100,c
59,SURE-PM random,0.10192994682740342,0.10310441330736353,0.10216261498911877,0.10198432682936875,4,100,c
60,SURE-PM random,0.10193028712573181,0.10316133854880988,0.1021775063709557,0.10198671299031588,4,100,c
61,SURE-PM random,0.10193141825704288,0.10320186723358361,0.1021879653694588,0.10199000444076717,4,100,c
62,SURE-PM random,0.10193112113154484,0.10321011474555107,0.10220084855035523,0.10199370889411626,4,100,c
63,SURE-PM random,0.10193134648380152,0.1031898683902228,0.10218844694672163,0.10198975410925967,4,100,c
64,SURE-PM random,0.10193013612160748,0.10314866334187514,0.10216879740570228,0.10198537238678157,4,100,c
65,NPMLE,0.5286712263215988,,,,5,100,c
66,SURE-PM uniform,0.08745879588975355,0.08892479627265047,0.08763595521688415,0.08749713087490406,5,100,c
67,SURE-PM NPMLEinit,0.0874293817325956,0.08743792029198233,0.08743211902786456,0.08743020068785995,5,100,c
68,SURE-PM random,0.08746423849215176,0.08893911962438139,0.0876333964458945,0.08750520473067425,5,100,c
69,SURE-PM random,0.08745970641697114,0.0888359662586184,0.08762949862779834,0.087499482819603,5,100,c
70,SURE-PM random,0.08746093288039575,0.08885920999193005,0.08763307107598095,0.08750136151030859,5,100,c
71,SURE-PM random,0.08746066194464162,0.0888888101924978,0.08764008740243014,0.0875008372951153,5,100,c
72,SURE-PM random,0.08747653475114049,0.08896772068858595,0.0876804189700431,0.08752570449891707,5,100,c
73,SURE-PM random,0.08746048795837481,0.08891852055022696,0.08763920767469514,0.08750072449634118,5,100,c
74,SURE-PM random,0.08746033484384014,0.0890359438173006,0.087649623729301,0.087501388721994,5,100,c
75,SURE-PM random,0.0874547182626705,0.0889163257744444,0.08761996278974593,0.08749079457908991,5,100,c
76,SURE-PM random,0.08746158543512522,0.08900552041009746,0.08765964352499864,0.08750486922215614,5,100,c
77,SURE-PM random,0.0874617356624141,0.08899510506476929,0.08765287150558734,0.08750510796361838,5,100,c
78,NPMLE,1.1460607273248495,,,,6,100,c
79,SURE-PM uniform,0.033926858050988926,0.034621509965058694,0.03402478881770008,0.03395072734310396,6,100,c
80,SURE-PM NPMLEinit,0.036839736405095067,0.03690081964937804,0.03685562528859038,0.03684424341726,6,100,c
81,SURE-PM random,0.033925957786915074,0.03459792819154053,0.034019934817743264,0.03394957605970568,6,100,c
82,SURE-PM random,0.033938464091763404,0.03476975358301445,0.03403988935443678,0.03395643979762206,6,100,c
83,SURE-PM random,0.03393279894341589,0.03460214223080186,0.034025717997547104,0.03395180624786036,6,100,c
84,SURE-PM random,0.0339267227653076,0.03457200438768368,0.034017206922035755,0.03394988929003233,6,100,c
