,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter
0,NPMLE,0.23077029990296566,,,
1,SURE-PM uniform,-0.0383823142940988,-0.036893294030875406,-0.03812488717398459,-0.03833845767835882
2,SURE-PM NPMLEinit,-0.0384095336232074,-0.03840627502494229,-0.03840873766750697,-0.03840931366326565
3,SURE-PM random,-0.03837796704654075,-0.03700183971172613,-0.0381388617115072,-0.03833167452749223
4,SURE-PM random,-0.038381162523842535,-0.03690368162419013,-0.038101974267961934,-0.03833280438267082
5,SURE-PM random,-0.038386323691969725,-0.03685950699795768,-0.038126640870816714,-0.038341512429300194
6,SURE-PM random,-0.03838433543796924,-0.036861891123252236,-0.03812344451853008,-0.038337521118295685
7,SURE-PM random,-0.03838351484195002,-0.03695332952001465,-0.03814683802491665,-0.0383432201896445
8,SURE-PM random,-0.03838330804822789,-0.03690523083987245,-0.038139441353633285,-0.03833985119956822
9,SURE-PM random,-0.038380877905486555,-0.036926081685114694,-0.0381234793714458,-0.03833542019415574
10,SURE-PM random,-0.038383378340034045,-0.03684582961863661,-0.038102568863344004,-0.0383347346938816
11,SURE-PM random,-0.03838207414434422,-0.036885637385904176,-0.038127349656057206,-0.03833787984908731
12,SURE-PM random,-0.03838664752562579,-0.03688541077642071,-0.038120148048646316,-0.03834244029629275
13,NPMLE,0.46901862893446133,,,
14,SURE-PM uniform,0.0704765916047529,0.07114843019670673,0.07058727618549825,0.07049952743041786
15,SURE-PM NPMLEinit,0.07046599580113337,0.07049594790705654,0.07047356592794969,0.07046812431844046
16,SURE-PM random,0.07047123137933341,0.07104579098516722,0.07055057797223867,0.07048356445705735
17,SURE-PM random,0.07047216057716355,0.07114907995624761,0.0705770077979436,0.07048961998793814
18,SURE-PM random,0.07047567169471733,0.07114690594108637,0.07058450301294272,0.07049812399311861
19,SURE-PM random,0.07047564301411001,0.07115954241337122,0.07058113115062582,0.07049656715164375
20,SURE-PM random,0.07047574447537272,0.07110076745790153,0.07057888038606464,0.07049730559554789
21,SURE-PM random,0.0704751615618234,0.07113524092915455,0.0705820390615932,0.07049667265028291
22,SURE-PM random,0.0704761660907515,0.0711695099198269,0.07059043939989991,0.07049926032573196
23,SURE-PM random,0.07047650829322862,0.07120454759856486,0.07059604725833282,0.07050029984560893
24,SURE-PM random,0.07047617120247338,0.07115740074173516,0.07058652348711889,0.07049815773411595
25,SURE-PM random,0.0704765776398247,0.07114919844568661,0.07058874170154468,0.07049989733121918
26,NPMLE,0.7644703533886548,,,
27,SURE-PM uniform,0.05216643873815514,0.05272727604443297,0.05234366610391177,0.052223307511790364
28,SURE-PM NPMLEinit,0.05211739079181179,0.05211748225216837,0.05211745874918883,0.05211742681022386
29,SURE-PM random,0.052166196894981524,0.052729655267469866,0.05234221311231572,0.052223976689541235
30,SURE-PM random,0.05216661774491342,0.0527302001849143,0.05234578691752219,0.05222449482470367
31,SURE-PM random,0.05216660857015242,0.052724289935512446,0.05234258055989024,0.05222313603453358
32,SURE-PM random,0.05216535666478201,0.05272336615153279,0.052339821294211435,0.05222032860777958
33,SURE-PM random,0.052166134520370167,0.05269421579222957,0.05233601141929831,0.05222198396592106
34,SURE-PM random,0.05216597445067208,0.05271581529015549,0.05233740358455513,0.052220539422233044
35,SURE-PM random,0.05216502374303296,0.05272896225498954,0.052337962770906826,0.05221900875898335
36,SURE-PM random,0.05216712659213172,0.05273784506586658,0.05234582698320572,0.05222362495524756
37,SURE-PM random,0.052167855831461336,0.05273154267805936,0.05234716798924062,0.05222517194302853
38,SURE-PM random,0.05216529141426698,0.05271546468664475,0.052338117201054926,0.052220997928409216
39,NPMLE,0.3124768190987362,,,
40,SURE-PM uniform,-0.023291286078644405,-0.02302030312304524,-0.023266386905934622,-0.02328593420923035
41,SURE-PM NPMLEinit,-0.023295662173495726,-0.02328938479585361,-0.023294092517035736,-0.023295226196916586
42,SURE-PM random,-0.02329319086027887,-0.023159837329463286,-0.02327591009434542,-0.02328999645991111
43,SURE-PM random,-0.02329279830681095,-0.02314044149124193,-0.023276856341344257,-0.023288998140739352
44,SURE-PM random,-0.023292795587095582,-0.022975288489909432,-0.02326750459311363,-0.02328835731443064
45,SURE-PM random,-0.023292564927300176,-0.02292639348183137,-0.023254296693373037,-0.02328632145540439
46,SURE-PM random,-0.02329348817754919,-0.02313424650267521,-0.023280675427353115,-0.023290680790698844
47,SURE-PM random,-0.023293448184277282,-0.02302994986696518,-0.023277260040178688,-0.023290315347707348
48,SURE-PM random,-0.023293335937228293,-0.02301111153239084,-0.023276045849947236,-0.023290018437088805
49,SURE-PM random,-0.02329334033269802,-0.022922511457033893,-0.023268921382178148,-0.023289416061127284
50,SURE-PM random,-0.023291799681619096,-0.022971656911597763,-0.023259178571938436,-0.023284977727856884
51,SURE-PM random,-0.023292971365240972,-0.023001198474697872,-0.02327375292695564,-0.023288359335211766
52,NPMLE,0.43409308569227933,,,
53,SURE-PM uniform,0.05420238955476535,0.055601322103636976,0.054520807460877375,0.05429868621627065
54,SURE-PM NPMLEinit,0.05388475231893942,0.0667123080612793,0.06646625382676795,0.0540668632356828
55,SURE-PM random,0.054193300535887515,0.05535256384328818,0.05449210441240524,0.05428305790918664
56,SURE-PM random,0.05419858128276516,0.05530171776878298,0.05449174811102424,0.05428965525773819
57,SURE-PM random,0.05420552482600996,0.05561459962377149,0.05453026808720893,0.054303921996648796
58,SURE-PM random,0.05421001437282811,0.05589095606167433,0.054564406977022056,0.054315937802570956
59,SURE-PM random,0.05420046776918426,0.05532455068609039,0.05449651286242499,0.05429153429427757
60,SURE-PM random,0.05420365740042257,0.05560553734782268,0.05451927431935559,0.054299056396882435
61,SURE-PM random,0.05419905303878551,0.055689005730833185,0.05452575548805932,0.0542941703023849
62,SURE-PM random,0.05420933988406872,0.05585537763657797,0.05455405306301067,0.0543123771948072
63,SURE-PM random,0.05420390734395156,0.05575999099514746,0.05453852484945799,0.05430372959088856
64,SURE-PM random,0.05419993131322123,0.05560970311090571,0.05452202209495482,0.05429525532031249
65,NPMLE,0.7698636017550817,,,
66,SURE-PM uniform,0.02792311640626423,0.028455585473678296,0.02814330805271638,0.02798249027403358
67,SURE-PM NPMLEinit,0.02787421441874983,0.027876801296753583,0.027874700893463996,0.0278743752921325
68,SURE-PM random,0.027916283646375318,0.02844119777977838,0.02812256578005112,0.02796732226647741
69,SURE-PM random,0.02791971914262767,0.02844985076438064,0.028134771797280963,0.02797598953214475
70,SURE-PM random,0.02792243630107528,0.028467897171754117,0.02814008315654263,0.027979561007470437
71,SURE-PM random,0.0279248928231425,0.028476796481263732,0.028152009801227465,0.027988044637238262
72,SURE-PM random,0.027916572571965618,0.028417771705727263,0.028117340381922488,0.027968024490414932
73,SURE-PM random,0.027923588214565954,0.028447205015498724,0.028148488626470822,0.027984567281724965
74,SURE-PM random,0.027926519002015766,0.028463865214135423,0.028155615842927872,0.02799298528810958
75,SURE-PM random,0.027927974721362433,0.028478452022922127,0.0281574468144953,0.02799327782207257
76,SURE-PM random,0.02792730962631488,0.028456594472505828,0.028152220523027155,0.027990878940196636
77,SURE-PM random,0.027921703189041695,0.028445719750852305,0.02813412253449748,0.027977833885111707
78,NPMLE,0.24344900717378976,,,
79,SURE-PM uniform,0.07197603068542918,0.07279607579783075,0.0720953093772441,0.0720025372756615
80,SURE-PM NPMLEinit,0.0717835684009468,0.07181323809370013,0.07179244495299784,0.07178631025695502
81,SURE-PM random,0.0719740185192812,0.0726930361103058,0.07207535470235825,0.07199681732305699
82,SURE-PM random,0.07197426224203987,0.07267279402553604,0.07206412661663186,0.07199528333262094
83,SURE-PM random,0.07197714173814206,0.07280891295931959,0.07210631450503058,0.07200570518669196
84,SURE-PM random,0.07197753693135808,0.07285057162390267,0.07211364041851581,0.07200707510178525
85,SURE-PM random,0.07197369477397117,0.07270949781090216,0.07207534308909097,0.071996275266237
86,SURE-PM random,0.0719749701809944,0.07279476885776055,0.07209254798616328,0.07199970981450221
87,SURE-PM random,0.07197659537671612,0.07280010230503209,0.07209126520457744,0.07199998759535298
88,SURE-PM random,0.07197836015549086,0.07284751703979751,0.07211051617260508,0.07200705850609751
89,SURE-PM random,0.07197641889443958,0.07282883470989368,0.07211056710184231,0.07200569520976231
90,SURE-PM random,0.07197670654452565,0.0728124949798292,0.07210343210883849,0.0720039523618226
91,NPMLE,0.4371089596445654,,,
92,SURE-PM uniform,0.05396827626639045,0.054650245911640596,0.054065325177896424,0.053988106785945005
93,SURE-PM NPMLEinit,0.05394671758240655,0.05394671812415126,0.05394671790713573,0.053946717723631396
94,SURE-PM random,0.05396676205590808,0.054587302794310094,0.05404390134987949,0.05398381828292024
95,SURE-PM random,0.05396964712336924,0.05461639350992982,0.05405993461682911,0.053989660545792045
96,SURE-PM random,0.05396603769379233,0.05468323508628984,0.05406478150342508,0.053985332694268424
97,SURE-PM random,0.053968859326941614,0.054691044495129265,0.05407853448002925,0.053991368912877036
98,SURE-PM random,0.05396909916719416,0.05459081319493059,0.05405266806215749,0.05398500288202804
