,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter
0,NPMLE,0.23077036247889324,,,
1,SURE-PM uniform,-0.03838224214607266,-0.036893294827781066,-0.03812488641202414,-0.03833846061321061
2,SURE-PM NPMLEinit,-0.03840953357642384,-0.0384062749338883,-0.03840873761567117,-0.03840931361422321
3,SURE-PM random,-0.03837787483805265,-0.03700183925382142,-0.03813886135924335,-0.038331678446688285
4,SURE-PM random,-0.038381236358543944,-0.03690368271102507,-0.03810197382132259,-0.038332854485116814
5,SURE-PM random,-0.03838514908087064,-0.036859506469175685,-0.038126640229118464,-0.0383415124774919
6,SURE-PM random,-0.03838433937275802,-0.036861889850121586,-0.03812344463130522,-0.03833752106315437
7,SURE-PM random,-0.03838353413039172,-0.03695332991903975,-0.03814683804169626,-0.03834325493292752
8,SURE-PM random,-0.03838340508311909,-0.03690523167918748,-0.03813944151596722,-0.03834184678816129
9,SURE-PM random,-0.038380963927443265,-0.03692608134258343,-0.038123479477252926,-0.0383353495694913
10,SURE-PM random,-0.03838324505077402,-0.036845828824206,-0.03810256889953131,-0.038334734473369284
11,SURE-PM random,-0.03838209311234614,-0.03688563817724436,-0.03812735049104951,-0.03833788435490099
12,SURE-PM random,-0.03838673840600855,-0.03688541149120418,-0.038120147906409656,-0.03834244037335097
13,NPMLE,0.4690181197365959,,,
14,SURE-PM uniform,0.07047656765005073,0.07114843042900618,0.07058727627658896,0.07049952689625201
15,SURE-PM NPMLEinit,0.07046599458014413,0.07049594585737054,0.07047356420027341,0.07046812290421628
16,SURE-PM random,0.07047121845683706,0.0710457913184824,0.07055057810794893,0.07048356440899355
17,SURE-PM random,0.0704721450569275,0.07114907958896012,0.0705770077409315,0.07048962074789984
18,SURE-PM random,0.07047567683095139,0.07114690671266004,0.07058450323536107,0.0704981238962472
19,SURE-PM random,0.07047563015672864,0.07115954225409027,0.07058113128337908,0.0704965667112505
20,SURE-PM random,0.07047575189416563,0.0711007671300979,0.07057888038847523,0.07049730587998837
21,SURE-PM random,0.07047515380941391,0.07113524000651623,0.07058203883807238,0.07049667221021196
22,SURE-PM random,0.07047616609387192,0.07116950987736004,0.07059043854639839,0.07049925953492818
23,SURE-PM random,0.07047639844029022,0.07120454805091442,0.07059604716107856,0.07050029986264676
24,SURE-PM random,0.0704761676873727,0.07115739935927906,0.07058652275871823,0.07049815700205429
25,SURE-PM random,0.07047659678775531,0.0711491981768829,0.07058874179045517,0.07049989788714556
26,NPMLE,0.7644712827346367,,,
27,SURE-PM uniform,0.05216643455393467,0.05272727603260933,0.052343665983062095,0.05222330755709507
28,SURE-PM NPMLEinit,0.05211739129135964,0.052117482859086975,0.052117459327265296,0.052117427348403286
29,SURE-PM random,0.05216618625081637,0.05272965523863889,0.05234221306673746,0.05222397668023923
30,SURE-PM random,0.05216661204858177,0.05273020040362624,0.052345786979121275,0.05222449478323782
31,SURE-PM random,0.052166608603825895,0.05272428969671928,0.05234258067694228,0.052223136209201895
32,SURE-PM random,0.05216535664479295,0.05272336635303575,0.052339821189733446,0.052220328637414756
33,SURE-PM random,0.05216612032121717,0.05269421598156526,0.05233601152021109,0.05222198430505465
34,SURE-PM random,0.052165964507883376,0.05271581512703946,0.05233740357114371,0.05222053934622722
35,SURE-PM random,0.052165023594851694,0.05272896187470899,0.052337962752584705,0.052219008849669
36,SURE-PM random,0.05216712256112871,0.05273784496907993,0.052345827102982696,0.052223625039152566
37,SURE-PM random,0.05216785270812985,0.05273154271916056,0.05234716813199,0.0522251721819719
38,SURE-PM random,0.052165291419277365,0.052715465146973485,0.05233811711524425,0.05222099805354617
39,NPMLE,0.3124767775385493,,,
40,SURE-PM uniform,-0.023291288657664565,-0.023020303251857898,-0.02326638696572239,-0.023285936584022053
41,SURE-PM NPMLEinit,-0.023295662137759975,-0.0232893845633717,-0.023294092443721583,-0.02329522614177101
42,SURE-PM random,-0.023293191611960466,-0.02315983659284079,-0.0232790280986746,-0.023290083542876802
43,SURE-PM random,-0.023292612020376496,-0.02314044206416611,-0.02327691835773415,-0.023289207236784508
44,SURE-PM random,-0.023292814881034546,-0.02297528863391861,-0.0232675044441752,-0.02328835704730601
45,SURE-PM random,-0.023292565729241092,-0.022926393552568102,-0.02325429656836583,-0.023286313687804993
46,SURE-PM random,-0.02329350013495649,-0.023134247545294997,-0.023280675419091495,-0.023290668485609345
47,SURE-PM random,-0.02329345732846619,-0.02302995076208724,-0.02327726005735272,-0.023290317761757964
48,SURE-PM random,-0.023293335039624382,-0.02301111106006097,-0.023276045943237664,-0.023290017637356684
49,SURE-PM random,-0.02329329281699266,-0.02292251165963016,-0.023268921494960893,-0.02328821659402209
50,SURE-PM random,-0.02329180182073692,-0.022971658823375235,-0.023259178484821137,-0.023284668464803603
