,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter,m,n,experiment
0,NPMLE,0.12397891523670904,,,,0,1600,d
1,SURE-PM uniform,0.009787558493393203,0.010006691328199029,0.009797933423377075,0.009788184109636049,0,1600,d
2,SURE-PM NPMLEinit,0.009787122654916533,0.009787485837629183,0.009787214136880423,0.009787148206548633,0,1600,d
3,SURE-PM random,0.009787452434162187,0.010007956404675493,0.009802261698620515,0.009788011920201196,0,1600,d
4,SURE-PM random,0.009787633965312405,0.010005715680813232,0.009804030273088245,0.00978841814224552,0,1600,d
5,SURE-PM random,0.009787561589965037,0.010007106047586695,0.009797306467324135,0.009788180671773504,0,1600,d
6,SURE-PM random,0.009787555582836642,0.010006685959388974,0.009796191218281099,0.009788193732996237,0,1600,d
7,SURE-PM random,0.009787534890265874,0.010006707413123444,0.009796104741969333,0.009788124278256144,0,1600,d
8,SURE-PM random,0.009787507724549194,0.010007931054687837,0.00979758665669607,0.009788104732913699,0,1600,d
9,SURE-PM random,0.009787495272810549,0.01000805037649748,0.009798111178514616,0.009788097031933436,0,1600,d
10,SURE-PM random,0.009787664520299976,0.010005580049609665,0.009800576127504427,0.009788482729786665,0,1600,d
11,SURE-PM random,0.009787582857007671,0.010009332551972427,0.009797763701060412,0.009788221261195034,0,1600,d
12,SURE-PM random,0.009787484137031104,0.010006729132852214,0.00979730955536727,0.009788087541794912,0,1600,d
13,NPMLE,0.09719074390019507,,,,1,1600,d
14,SURE-PM uniform,-0.006110164016547142,-0.006073661475613044,-0.006077560713275556,-0.006088012646030414,1,1600,d
15,SURE-PM NPMLEinit,-0.006121570412077837,-0.006120737297603309,-0.00612134713608425,-0.006121488327589421,1,1600,d
16,SURE-PM random,-0.006110364436807103,-0.006074036561240721,-0.00607830945535099,-0.00608924094348339,1,1600,d
17,SURE-PM random,-0.006109431898997748,-0.006073176899528683,-0.0060766260116179,-0.006086592233637731,1,1600,d
18,SURE-PM random,-0.006110650346392426,-0.006073766117197614,-0.006077780805120483,-0.006088545983815124,1,1600,d
19,SURE-PM random,-0.006111520117812539,-0.006073757603506352,-0.006077650179348399,-0.006088872603924926,1,1600,d
20,SURE-PM random,-0.00610970424792205,-0.006073576895038429,-0.006077235338603763,-0.006087438736530508,1,1600,d
21,SURE-PM random,-0.006110238223092193,-0.006073605565339033,-0.006077478856754368,-0.006087924734265222,1,1600,d
22,SURE-PM random,-0.006110501356145139,-0.006073695146243647,-0.006077621128725213,-0.0060883030878307485,1,1600,d
23,SURE-PM random,-0.0061117032247208596,-0.006073376701019093,-0.006077347685685694,-0.0060883667534799455,1,1600,d
24,SURE-PM random,-0.006110362000292575,-0.006073360855850609,-0.00607720971150945,-0.006087490271594707,1,1600,d
25,SURE-PM random,-0.0061104756518872705,-0.00607411084719331,-0.006078049079269494,-0.0060888265016720315,1,1600,d
26,NPMLE,0.04147937856634357,,,,2,1600,d
27,SURE-PM uniform,0.01055492418464512,0.010577142226811543,0.010557419000176331,0.010555384453899244,2,1600,d
28,SURE-PM NPMLEinit,0.010554703358941068,0.010555741958539927,0.010555020295723985,0.010554795964067196,2,1600,d
29,SURE-PM random,0.0105549705710032,0.010577627285092034,0.01055748709574999,0.010555456430565133,2,1600,d
30,SURE-PM random,0.01055489885557865,0.01057920044616626,0.01055725063276615,0.010555316099589334,2,1600,d
31,SURE-PM random,0.010554855777216545,0.01057592922520632,0.010556519912806674,0.010555188499254431,2,1600,d
32,SURE-PM random,0.01055487092732779,0.010573370586892956,0.010556518968052622,0.010555213812338237,2,1600,d
33,SURE-PM random,0.010554974018735362,0.010577741134354071,0.010557302536299815,0.010555442545165317,2,1600,d
34,SURE-PM random,0.010555007242694127,0.010579159195036532,0.010558104779793923,0.010555596236636725,2,1600,d
35,SURE-PM random,0.010554877660420238,0.01057535915139633,0.010556693046611052,0.010555238163172014,2,1600,d
36,SURE-PM random,0.010554937959018176,0.01057649590656819,0.010557111611793459,0.010555373838349081,2,1600,d
37,SURE-PM random,0.010554854663892197,0.010574858648215653,0.010556446547440678,0.010555182324563149,2,1600,d
38,SURE-PM random,0.010554983056748686,0.010577069838633798,0.010557925537963815,0.010555528791521347,2,1600,d
39,NPMLE,0.06025073153005828,,,,3,1600,d
40,SURE-PM uniform,0.0026452622576907457,0.002661645351413089,0.0026534678421720236,0.002647438868383958,3,1600,d
41,SURE-PM NPMLEinit,0.0026446766810349054,0.0026448949456113267,0.0026447738987891434,0.0026447565345293,3,1600,d
42,SURE-PM random,0.002645293560886124,0.0026617213149043905,0.002653343901670997,0.002647370259518169,3,1600,d
43,SURE-PM random,0.0026455554206303235,0.0026608628937499646,0.0026535542616182893,0.00264833060512796,3,1600,d
44,SURE-PM random,0.0026452857417388386,0.0026620444909334394,0.0026536398653273174,0.0026474685499843532,3,1600,d
45,SURE-PM random,0.002645198671487137,0.002662006836374502,0.0026534743744159608,0.0026470340826500838,3,1600,d
46,SURE-PM random,0.0026454624164222906,0.002661911993399979,0.0026536096860543344,0.0026480516317444725,3,1600,d
47,SURE-PM random,0.0026453843199157846,0.0026615934727498925,0.002653526124003047,0.0026479575078987238,3,1600,d
48,SURE-PM random,0.0026454826129401,0.002661757402420015,0.0026535277989180985,0.0026479088956662265,3,1600,d
49,SURE-PM random,0.0026454460602419695,0.0026610594290109547,0.002653574028859502,0.0026479691146985827,3,1600,d
50,SURE-PM random,0.002645404623725476,0.0026616840252910736,0.002653352204469588,0.0026476543106491945,3,1600,d
51,SURE-PM random,0.002645302409119381,0.002662087504383397,0.0026537026844278876,0.0026478233587888945,3,1600,d
52,NPMLE,0.04796772605734155,,,,4,1600,d
53,SURE-PM uniform,0.011847163828791895,0.0118898392509265,0.011848607693811797,0.011847456770996204,4,1600,d
54,SURE-PM NPMLEinit,0.011829502190372878,0.011829660790922781,0.011829539732496262,0.011829519019478206,4,1600,d
55,SURE-PM random,0.011847190124870437,0.011890598423898897,0.011848791314521918,0.01184751536116906,4,1600,d
56,SURE-PM random,0.01184710853523626,0.011897772919370837,0.01184928267222725,0.011847508920664503,4,1600,d
57,SURE-PM random,0.011847179970934487,0.011884975847625512,0.011848402324408197,0.011847447114252993,4,1600,d
58,SURE-PM random,0.01184719908048791,0.011875408910588376,0.011848511303142023,0.011847493074460296,4,1600,d
59,SURE-PM random,0.011847182412173201,0.011885379904574833,0.011848678154505396,0.011847502184025114,4,1600,d
60,SURE-PM random,0.01184714979421738,0.011888241902418582,0.011848857505572354,0.011847504986872402,4,1600,d
61,SURE-PM random,0.011847182418695859,0.011882589646884352,0.011848790297948088,0.01184752516977019,4,1600,d
62,SURE-PM random,0.011847178816380328,0.011882606365034576,0.011848544157387729,0.011847476409922706,4,1600,d
63,SURE-PM random,0.01184708269721174,0.011886864937339538,0.011848702486254368,0.011847446886350319,4,1600,d
64,SURE-PM random,0.011847242847699242,0.011885105887779872,0.011848956740784473,0.011847609031955936,4,1600,d
65,NPMLE,0.2581803101848445,,,,5,1600,d
66,SURE-PM uniform,0.025137451460158788,0.025247657794366756,0.025166060081173766,0.02514029935093763,5,1600,d
67,SURE-PM NPMLEinit,0.022551668342088948,0.02255166678278014,0.022551666783687044,0.022551666784745895,5,1600,d
68,SURE-PM random,0.025137251220281466,0.02524732476317981,0.025167017812649045,0.02513976193573761,5,1600,d
69,SURE-PM random,0.025137547466169342,0.02524499724082366,0.025165815637505737,0.025140703960432286,5,1600,d
70,SURE-PM random,0.025137563549706046,0.025249731799492546,0.02516899146387269,0.02514059794962341,5,1600,d
71,SURE-PM random,0.02513765582726027,0.02524741828998364,0.02516661313752806,0.02514112743584624,5,1600,d
72,SURE-PM random,0.025137358534119816,0.025244227419765633,0.025164604034262742,0.025140113861644622,5,1600,d
