,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter
0,NPMLE,0.02476959927878511,,,
1,SURE-PM uniform,0.008960530367630533,0.009009454252311623,0.008966942057293483,0.008962167885204425
2,SURE-PM NPMLEinit,0.008942215892752969,0.00895926313118359,0.008942156848427488,0.008942156853268627
3,SURE-PM random,0.00895951686896165,0.0090111977662273,0.008965624206085624,0.00896076155363179
4,SURE-PM random,0.008960647045114883,0.009015112795647156,0.008967904188687186,0.008962447411859635
5,SURE-PM random,0.008960450087342444,0.009009476859172683,0.0089666574166219,0.008962020348371241
6,SURE-PM random,0.008960430908711068,0.009006774836970185,0.008966495104980083,0.008961976877043067
7,SURE-PM random,0.008959778234521867,0.009007782615780613,0.008965383808776633,0.008961190598543585
8,SURE-PM random,0.008960530596067749,0.009004314711032713,0.008966113876453718,0.008961957809719295
9,SURE-PM random,0.00896076067721964,0.009012826243312731,0.008967406179765085,0.008962442042657327
10,SURE-PM random,0.008963605188649453,0.009008370694337273,0.008966707405615146,0.008962124013979871
11,SURE-PM random,0.008960633160071936,0.009010942604001749,0.00896694412901855,0.008962224927631813
12,SURE-PM random,0.008960405672543813,0.009008243333786919,0.00896620154256997,0.00896187964485561
13,NPMLE,0.0490456421556601,,,
14,SURE-PM uniform,-0.019887417836217,-0.019785841850547728,-0.01987950434575664,-0.019886044081579134
15,SURE-PM NPMLEinit,-0.019870493044627596,-0.01986565209652911,-0.01986917330855663,-0.01987008266671756
16,SURE-PM random,-0.019887642766952443,-0.019849398962882354,-0.019883498203503044,-0.019886210606452952
17,SURE-PM random,-0.01988769522884976,-0.019862706890397614,-0.01988459377583359,-0.01988690027424816
18,SURE-PM random,-0.01988712478428349,-0.019772288090058154,-0.01987689891385994,-0.019885554159314475
19,SURE-PM random,-0.019887011229125645,-0.01975840210313665,-0.01987350134935918,-0.01988470833709382
20,SURE-PM random,-0.019887641639764288,-0.01986514610873929,-0.019884545200713095,-0.01988683491703851
21,SURE-PM random,-0.019887271551116505,-0.019762609514213825,-0.019875866126429234,-0.01988554342273863
22,SURE-PM random,-0.019887195200726477,-0.019759967550085255,-0.019876788827864953,-0.019885504628092986
23,SURE-PM random,-0.019887074151181725,-0.019754805879473255,-0.019876745846694188,-0.019885321229083618
24,SURE-PM random,-0.019887017640651816,-0.01976795654878277,-0.019875384273311293,-0.019885063979539323
25,SURE-PM random,-0.019887662253357502,-0.019802958316122242,-0.01988097317053832,-0.0198865521299809
26,NPMLE,0.1047976383891587,,,
