,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter,m,n,experiment
0,NPMLE,0.3021798649952355,,,,0,1600,e
1,SURE-PM uniform,0.17458147018893136,0.17490622202813866,0.17465884103515514,0.1746006050384738,0,1600,e
2,SURE-PM NPMLEinit,0.17859255755019554,0.1786131837723245,0.17859675341689255,0.17859372721318933,0,1600,e
3,SURE-PM random,0.17458105712739205,0.17490583192742967,0.1746572035903528,0.17459989612677354,0,1600,e
4,SURE-PM random,0.17458248277728386,0.1749252647223421,0.17466583324326557,0.1746031389628118,0,1600,e
5,SURE-PM random,0.17458187636006423,0.17491259372602636,0.17466064821068905,0.17460121555999245,0,1600,e
6,SURE-PM random,0.17458068343112068,0.17489979008068388,0.17465453893023614,0.17459894429302736,0,1600,e
7,SURE-PM random,0.1745822470938956,0.17489551340595702,0.17465595733485728,0.1746005518662023,0,1600,e
8,SURE-PM random,0.1745811016678698,0.1749003820442568,0.17465691080324156,0.17459967427492734,0,1600,e
9,SURE-PM random,0.17458062284773931,0.1749048174134665,0.17465808757379073,0.17459937261402728,0,1600,e
10,SURE-PM random,0.17458147592536633,0.17489945047156064,0.17465947540531424,0.17460075703344877,0,1600,e
11,SURE-PM random,0.17458060983965618,0.17489660246904046,0.17465466580858574,0.1745985492573407,0,1600,e
12,SURE-PM random,0.17458330455059176,0.17490785498216715,0.17465957638723728,0.17460107369789363,0,1600,e
13,NPMLE,0.3432027503726971,,,,1,1600,e
14,SURE-PM uniform,0.16555517951860504,0.16590717899782187,0.16565982597177306,0.16558305429672285,1,1600,e
15,SURE-PM NPMLEinit,0.16451903281603644,0.16464140539934188,0.16452314268839113,0.1645202915404617,1,1600,e
16,SURE-PM random,0.16555474494011013,0.16592024148953965,0.16566276565347773,0.1655829281012701,1,1600,e
17,SURE-PM random,0.16555690561796235,0.1659165801688391,0.16566629842453143,0.16558740997755703,1,1600,e
18,SURE-PM random,0.16555506832553543,0.16591228880066825,0.16565841393718744,0.16558240523437515,1,1600,e
19,SURE-PM random,0.1655548035408562,0.16590314739422193,0.16565693552076977,0.16558204481606875,1,1600,e
20,SURE-PM random,0.16555560242643094,0.16590883214523547,0.16566056097426324,0.165584039194236,1,1600,e
21,SURE-PM random,0.16555427975772685,0.1658940528687141,0.1656547656833512,0.1655813197531742,1,1600,e
22,SURE-PM random,0.16555353095311948,0.16590044937794343,0.16565343015040715,0.16557951403060625,1,1600,e
23,SURE-PM random,0.165555910075694,0.16589254442227092,0.16565989355671956,0.16558444373140285,1,1600,e
24,SURE-PM random,0.16555512809073872,0.16589082865260163,0.16565827344004855,0.16558290159821237,1,1600,e
25,SURE-PM random,0.165555015965389,0.1659233948774634,0.16566216695645847,0.16558298696442816,1,1600,e
26,NPMLE,0.3309865103016429,,,,2,1600,e
27,SURE-PM uniform,0.16673469119689927,0.16704320470391332,0.16682962845645072,0.16675504798624152,2,1600,e
28,SURE-PM NPMLEinit,0.1669434817371988,0.16706538964692122,0.1669730908361793,0.1669519678752372,2,1600,e
29,SURE-PM random,0.1667360484387431,0.16704086193233628,0.16683085280610407,0.16675751782929446,2,1600,e
30,SURE-PM random,0.16673408964963635,0.1670607820919107,0.16683602657169835,0.1667556624141433,2,1600,e
31,SURE-PM random,0.16673483224876967,0.16704716097258362,0.16682557366387463,0.16675454263445097,2,1600,e
32,SURE-PM random,0.16673260629448003,0.16704148912403377,0.16681921119521553,0.16675078533384757,2,1600,e
33,SURE-PM random,0.16673299908839817,0.16704235203059448,0.16682499603716358,0.16675145566055755,2,1600,e
34,SURE-PM random,0.1667328506219971,0.16703912863302897,0.1668247176609188,0.16675191017277363,2,1600,e
35,SURE-PM random,0.16673532018653447,0.16703741182160223,0.16683131630326975,0.1667568273022686,2,1600,e
36,SURE-PM random,0.16673430979560686,0.16704642682596466,0.16683047152844033,0.1667544679655397,2,1600,e
37,SURE-PM random,0.16673452871816877,0.16703550298782693,0.16682876398880672,0.16675339041918633,2,1600,e
38,SURE-PM random,0.166733900570591,0.16704663098574982,0.16683280155100383,0.16675495148533634,2,1600,e
39,NPMLE,0.3530587053024585,,,,3,1600,e
40,SURE-PM uniform,0.17071680702688988,0.1714573847055994,0.17087012419263126,0.17072753241665395,3,1600,e
41,SURE-PM NPMLEinit,0.1707251584740768,0.1709058889070333,0.17084246463917885,0.17073905549698595,3,1600,e
42,SURE-PM random,0.17072276412865628,0.17146379802486755,0.17086845644020493,0.17073145174812132,3,1600,e
43,SURE-PM random,0.17071885641032133,0.17147773967188137,0.1707967361443997,0.17073177848907797,3,1600,e
44,SURE-PM random,0.17071623458691967,0.17146839567232605,0.17087276953604438,0.17072678344119155,3,1600,e
45,SURE-PM random,0.17071704086102435,0.17146895968401046,0.17087342845748246,0.17072829701300044,3,1600,e
46,SURE-PM random,0.17071557742956217,0.17143846061913123,0.17084849001893937,0.17072557486653048,3,1600,e
47,SURE-PM random,0.17071699137744886,0.1714616774805848,0.17084404500571082,0.1707286588424335,3,1600,e
48,SURE-PM random,0.17071786114178158,0.17146067776766608,0.17087634917206507,0.17072759794316547,3,1600,e
49,SURE-PM random,0.17071668937666495,0.1714704234993509,0.17084568158191588,0.1707274852371829,3,1600,e
50,SURE-PM random,0.170715904755666,0.17143146585968871,0.1708351111597063,0.1707260837289494,3,1600,e
51,SURE-PM random,0.17071658873274892,0.1714698311853774,0.1708767350203538,0.170727193655717,3,1600,e
52,NPMLE,0.43390572867561944,,,,4,1600,e
53,SURE-PM uniform,0.16659975767242216,0.16686552159574064,0.16665283298040529,0.16661348333155915,4,1600,e
54,SURE-PM NPMLEinit,0.16659185159313503,0.1666504267706216,0.16660489749948573,0.16659540460272,4,1600,e
55,SURE-PM random,0.1665992380128155,0.16687684543505868,0.16665414095413794,0.166611768990225,4,1600,e
56,SURE-PM random,0.16659966860043127,0.1668841262252169,0.16665786872163607,0.1666128978443281,4,1600,e
57,SURE-PM random,0.16660057424747357,0.16687421598760097,0.16665709090058556,0.16661430924006196,4,1600,e
58,SURE-PM random,0.16659985190914064,0.16685633506910832,0.16665164147566586,0.1666121817096269,4,1600,e
59,SURE-PM random,0.1665984845077682,0.16686782220582713,0.16664933152640388,0.16660976010302783,4,1600,e
60,SURE-PM random,0.16659877072814197,0.1668510415364031,0.16664826272257074,0.16661129810871855,4,1600,e
61,SURE-PM random,0.16660001645890118,0.1668590421029431,0.1666519473672159,0.16661227340633147,4,1600,e
62,SURE-PM random,0.16660002465368606,0.16686049478765483,0.16665356907737283,0.16661285028110945,4,1600,e
63,SURE-PM random,0.16659958104296535,0.1668521965656739,0.16665106365212218,0.16661206026576836,4,1600,e
64,SURE-PM random,0.16659891584042213,0.16687476697042705,0.16665222913736052,0.16661107253353072,4,1600,e
65,NPMLE,0.335982284756805,,,,5,1600,e
66,SURE-PM uniform,0.17271974484637048,0.1728814361512987,0.17275253121318634,0.1727273878312198,5,1600,e
67,SURE-PM NPMLEinit,0.17272196997472455,0.17284401853352072,0.17275402807916534,0.17273144689902864,5,1600,e
68,SURE-PM random,0.17271937130623413,0.1728862790234259,0.17275453364748786,0.17272792998775202,5,1600,e
69,SURE-PM random,0.1727209097625309,0.17289588197510838,0.17275686915214167,0.17272976799023923,5,1600,e
70,SURE-PM random,0.17271937025422815,0.17288132239890253,0.17275297186379399,0.17272783351639093,5,1600,e
71,SURE-PM random,0.17271924840232544,0.17287606265157174,0.17275020955998271,0.1727267590753241,5,1600,e
72,SURE-PM random,0.172718058749387,0.17287104218459845,0.17274766648243647,0.1727248452776459,5,1600,e
73,SURE-PM random,0.17271973608367283,0.172875718328752,0.1727524165646507,0.17272813774550896,5,1600,e
74,SURE-PM random,0.1727201878539588,0.1728834588248648,0.1727546835433415,0.17272889632105945,5,1600,e
