,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter
0,NPMLE,0.3936953651877903,,,
1,SURE-PM uniform,0.12642454119658414,0.12671431779202957,0.12648477220259569,0.126437596398213
2,SURE-PM NPMLEinit,0.12639417973811862,0.12640211564221782,0.12639702424888488,0.12639512035035697
3,SURE-PM random,0.12642454897078298,0.1267191047333755,0.12648959038068422,0.12643889379590664
4,SURE-PM random,0.1264235873115042,0.12672010054562852,0.12648335935353305,0.12643611064041413
5,SURE-PM random,0.12642316793990635,0.1267129633524785,0.1264799865825366,0.1264345877295153
6,SURE-PM random,0.12642366720037626,0.1267045913383323,0.12648221544537425,0.12643663612788206
7,SURE-PM random,0.12642477504776128,0.1267135881846154,0.12648599001627492,0.12643864431823157
8,SURE-PM random,0.1264242280883089,0.12671928224448162,0.12648531959709397,0.1264375841401426
9,SURE-PM random,0.12642362899390935,0.12671539287930397,0.12648447524226772,0.1264367157935408
10,SURE-PM random,0.1264227914389945,0.12671158090238582,0.12648286320796817,0.1264350453198941
11,SURE-PM random,0.1264249770831132,0.12671521386520726,0.12648920590298635,0.1264393167695751
12,SURE-PM random,0.12642497709737935,0.12673018366566804,0.12648673802132118,0.1264381050916847
13,NPMLE,0.30528126501467606,,,
14,SURE-PM uniform,0.14456070310129251,0.14465038137422379,0.1445711839872956,0.14456288410562831
15,SURE-PM NPMLEinit,0.14456310063284905,0.14464041237887768,0.1445813897978751,0.14456804578487922
16,SURE-PM random,0.14456445555842737,0.14470406690444013,0.14458314479318216,0.1445690936536448
17,SURE-PM random,0.14456162862083244,0.1446632674500108,0.1445758683147319,0.14456462988346674
18,SURE-PM random,0.1445609103969517,0.14466243934040318,0.14457383320732806,0.14456350478181487
19,SURE-PM random,0.14456076421956193,0.14464975674669392,0.14457164568151423,0.14456304871606573
20,SURE-PM random,0.14456254899316742,0.1446694119831403,0.14457973696159276,0.14456625349783078
21,SURE-PM random,0.14456077083543517,0.14465329641782415,0.14457194204247967,0.1445630465488004
22,SURE-PM random,0.14456094234038983,0.14466323883204782,0.14457540095111365,0.14456366026820913
23,SURE-PM random,0.14456060282403807,0.1446200862765374,0.1445685751948606,0.14456249455006973
24,SURE-PM random,0.14456058833424226,0.14463712904802076,0.1445699833974795,0.14456260523912948
25,SURE-PM random,0.14456066579698731,0.14465238326541968,0.1445711635979936,0.14456280720581044
26,NPMLE,0.29364915855294127,,,
27,SURE-PM uniform,0.13003200305445076,0.13045449240274437,0.13010001870842566,0.1300446316533366
28,SURE-PM NPMLEinit,0.12981109005405997,0.12981847997313564,0.12981311185818348,0.12981167636031501
29,SURE-PM random,0.1300344397037233,0.1304498444128756,0.13010003610671717,0.13004452588478854
30,SURE-PM random,0.13003316283099664,0.13047486526473626,0.13010392966294732,0.13004600346003364
31,SURE-PM random,0.13003096204453854,0.13045114111377046,0.13009128663326394,0.13004119881659676
32,SURE-PM random,0.1300318110367828,0.13043586253368247,0.13009488344602588,0.13004353599239607
33,SURE-PM random,0.13003137965228767,0.13044245240269894,0.13009234321404597,0.13004303692568628
34,SURE-PM random,0.13003194309732302,0.1304418017258051,0.13009228723981842,0.13004312243504224
35,SURE-PM random,0.1300322022922815,0.13044939766010422,0.13010012352383882,0.1300439040003299
36,SURE-PM random,0.13003263608642157,0.13045387847131848,0.13010186894815534,0.13004523587512942
37,SURE-PM random,0.13003175328717007,0.13043431588072785,0.13009474629363005,0.13004356175089504
38,SURE-PM random,0.13003280775717677,0.13045885645424854,0.1301072554015299,0.13004620280742735
39,NPMLE,0.39982487683365325,,,
40,SURE-PM uniform,0.11470446240093139,0.11522240528541197,0.11480104509516095,0.11472548733028361
41,SURE-PM NPMLEinit,0.11290344689209852,0.11292173475916804,0.11290782373265806,0.11290472481936434
42,SURE-PM random,0.11470290859059261,0.11522248386848169,0.11479899321206503,0.11472282145052631
43,SURE-PM random,0.11470586771458649,0.11523996912835897,0.11480866764930844,0.11472890820714426
44,SURE-PM random,0.11470526713158165,0.11523408337531642,0.11480760425649088,0.11472783077676013
45,SURE-PM random,0.11470368150627536,0.11521052410961787,0.11479920511358578,0.1147242670151885
46,SURE-PM random,0.11470231983364101,0.11521096481683749,0.11479001942930162,0.11472047291770786
47,SURE-PM random,0.11470394140762885,0.11522428734086063,0.11480290662556207,0.11472513277017896
48,SURE-PM random,0.11470288397124832,0.11520367618015108,0.1147952672405279,0.11472237771423081
49,SURE-PM random,0.11470444499463689,0.1152227852518324,0.11480554479601096,0.11472658664320072
50,SURE-PM random,0.11470386875581262,0.11521091053903312,0.11479725727968933,0.11472447637690805
51,SURE-PM random,0.1147056155767519,0.11524658259012562,0.11480934159960426,0.11472861855119575
52,NPMLE,0.2647101324227743,,,
53,SURE-PM uniform,0.17927766125254402,0.17943622395183703,0.1793078356505494,0.17928584541361198
54,SURE-PM NPMLEinit,0.179502544572978,0.17959411741438586,0.1795218428898326,0.17950768453769292
55,SURE-PM random,0.17927548802566107,0.17942986455912943,0.17930049378825033,0.1792819738365651
56,SURE-PM random,0.17927771775485268,0.17942982331814158,0.17930668260469113,0.179285516479908
57,SURE-PM random,0.17927736248297108,0.1794183977893502,0.17930413244716362,0.17928458990125995
58,SURE-PM random,0.17928155118907851,0.17942284855230922,0.17930278293655022,0.17928422496500077
59,SURE-PM random,0.17927602404968504,0.17942670983898856,0.17930242061450016,0.1792827577098732
60,SURE-PM random,0.17927724250145502,0.17941681774097426,0.17930334546030877,0.17928429626403783
61,SURE-PM random,0.17927705604813496,0.179427377880357,0.17930454748210337,0.17928437608338904
62,SURE-PM random,0.1792775173375513,0.17943592298743405,0.17930545166719739,0.17928506380792256
63,SURE-PM random,0.17927637509534533,0.1794312451150455,0.1793029348825909,0.17928345825534378
64,SURE-PM random,0.17927706634906748,0.17943087887876202,0.17930633489999118,0.1792847669376883
65,NPMLE,0.2975353032297136,,,
66,SURE-PM uniform,0.16693957993880187,0.1672108707562147,0.16697265823831034,0.16694754685714033
67,SURE-PM NPMLEinit,0.16691020467923612,0.16693450476637556,0.1669171364144149,0.16691222572756362
68,SURE-PM random,0.16693973953950464,0.16721707392011215,0.16697799698517987,0.16694842673275634
69,SURE-PM random,0.16693992831751078,0.1672118260068115,0.16697404766871923,0.16694820251017564
70,SURE-PM random,0.1669398051604882,0.16719863832056814,0.16697339207808579,0.16694780207427148
71,SURE-PM random,0.1669395858246222,0.16719498073948014,0.16697506876881266,0.16694797288032046
72,SURE-PM random,0.16693986707894046,0.16719779842409796,0.16698004567634836,0.16694911582943062
73,SURE-PM random,0.1669394561798544,0.16718481718841477,0.16697123980992498,0.16694723161390276
74,SURE-PM random,0.1669397897914465,0.16718548310348008,0.16697467491688134,0.16694816577142452
75,SURE-PM random,0.16693994341690033,0.1672060744274778,0.16697204015450115,0.16694800928616194
76,SURE-PM random,0.16693974339838316,0.16721329991554656,0.16697345739816571,0.16694792240471176
77,SURE-PM random,0.1669395215314223,0.1672039452651364,0.16697356470909117,0.166947553128318
78,NPMLE,0.27512925265000454,,,
79,SURE-PM uniform,0.17507871349476858,0.1752649027609938,0.17510234413305725,0.17508555945261756
80,SURE-PM NPMLEinit,0.16859350037899618,0.16860937587476826,0.1685975204758104,0.16859462397923422
81,SURE-PM random,0.17507924700759417,0.17526885231961495,0.1751052478243895,0.1750851584109347
82,SURE-PM random,0.17507895227988152,0.1752849619946686,0.17510392122807972,0.17508399217446916
83,SURE-PM random,0.17507888449827433,0.17528105865381868,0.1751037783720679,0.17508401574821433
84,SURE-PM random,0.1750785434748648,0.1752709708560181,0.17510107240647152,0.1750831705798798
85,SURE-PM random,0.17507884822215572,0.1752468991757545,0.17510105305185206,0.17508355561591793
86,SURE-PM random,0.17507833505009465,0.175272278832401,0.17509987076655875,0.17508274689987316
87,SURE-PM random,0.17507863031040963,0.17525842565630675,0.17510198195465476,0.17508333799007153
88,SURE-PM random,0.1750784788865292,0.17527032463387712,0.17510092314813527,0.17508297989983468
89,SURE-PM random,0.1750794036242806,0.17524244104697445,0.1751006406842157,0.1750831985826673
90,SURE-PM random,0.17507868402783522,0.17526838912787823,0.17510195654245458,0.17508331613163036
91,NPMLE,0.36801277573488167,,,
92,SURE-PM uniform,0.15312662251852316,0.1534645812292591,0.1531953473531879,0.15314148137120753
93,SURE-PM NPMLEinit,0.15311495176811177,0.15312951741417513,0.15311570880197714,0.15311522415082174
94,SURE-PM random,0.15312508188110713,0.15346561456920874,0.15319196030114682,0.15313859251206666
95,SURE-PM random,0.15312647299123314,0.1534582187731595,0.15319528955715228,0.15314134970329207
96,SURE-PM random,0.15312673075468675,0.15345871652428264,0.153193665493551,0.153141440673176
97,SURE-PM random,0.15312677123325244,0.15344380690663023,0.15319014075851015,0.15314229656394815
98,SURE-PM random,0.15312426129279635,0.15346437879638558,0.15317779279348584,0.15313439282262933
99,SURE-PM random,0.15312505102103152,0.1534455453304494,0.1531862621429709,0.1531378885213565
100,SURE-PM random,0.15312511224531383,0.1534503905106306,0.15318711972193555,0.1531379153443126
101,SURE-PM random,0.15312837972483734,0.15346616448266423,0.15320339778278474,0.1531458180275341
102,SURE-PM random,0.1531269722986159,0.15345221634365763,0.15319439332959853,0.15314217353219384
103,SURE-PM random,0.15312756807262773,0.1534751229597596,0.15320172056129253,0.15314388216750402
104,NPMLE,0.3548664675721984,,,
105,SURE-PM uniform,0.11086919052787315,0.11118519458345787,0.11092190660764502,0.11088016958320139
106,SURE-PM NPMLEinit,0.11086049614216911,0.11086747424866986,0.11086135437077893,0.11086073929744217
107,SURE-PM random,0.11086829342008712,0.11117643750231267,0.11091792704163694,0.11087817090596004
108,SURE-PM random,0.11086992872915033,0.11119164460047443,0.11092634146570234,0.11088221924176743
109,SURE-PM random,0.11086999259882291,0.11120692894686698,0.11092844225960534,0.1108823937002073
110,SURE-PM random,0.11086950017264144,0.11117469735462883,0.1109205198478255,0.11088060786241485
111,SURE-PM random,0.11086881674648097,0.11118142452193083,0.11091994069225258,0.1108798056442874
112,SURE-PM random,0.11086969828160748,0.11117780110705056,0.11092127384606662,0.11088098822787956
113,SURE-PM random,0.11086740832970349,0.11115827733462019,0.11090916524959148,0.11087544217489018
114,SURE-PM random,0.11087059932027885,0.11122694013266504,0.11093199677060411,0.11088381033932308
115,SURE-PM random,0.11086808903682481,0.11116479324315812,0.11091537350145757,0.11087740939939508
116,SURE-PM random,0.11086866665893737,0.11120154907271455,0.11092309158716653,0.11087944874581523
117,NPMLE,0.29716279965933434,,,
118,SURE-PM uniform,0.11322253458899023,0.11371392537161729,0.11329204507479257,0.11323727078424393
119,SURE-PM NPMLEinit,0.11321368130164938,0.11323009715336443,0.11321927026270191,0.11321540476610185
120,SURE-PM random,0.11322533392338212,0.11373684773517884,0.11328364713264673,0.11323350588567006
121,SURE-PM random,0.11322300596236122,0.11373575624399539,0.11329640944034576,0.11323772152101125
122,SURE-PM random,0.11322277852396329,0.1137137944238874,0.11328975363747762,0.11323672190026027
123,SURE-PM random,0.11322304388938317,0.11368586967703333,0.11328752112377888,0.11323677539074171
124,SURE-PM random,0.1132222331944357,0.11388951516809566,0.11327197224545468,0.11323235071547817
125,SURE-PM random,0.11322173424884223,0.11368012529772056,0.11328043998343158,0.11323334339357938
126,SURE-PM random,0.11322200404896225,0.11367300951351691,0.11328173798705218,0.11323393219984122
127,SURE-PM random,0.11322278472829485,0.11377025025408667,0.1133007827670006,0.11323778261369508
128,SURE-PM random,0.11322268683433866,0.1137385697673427,0.11328878418831767,0.11323611416660252
129,SURE-PM random,0.1132223016727637,0.1137165598968387,0.11328862745128038,0.11323561341746025
