,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter,m,n,experiment
0,NPMLE,0.682347000933254,,,,0,100,f
1,SURE-PM uniform,0.073661580469699,0.07395880987118474,0.07371046183372584,0.07367411000585534,0,100,f
2,SURE-PM NPMLEinit,0.07364944933232692,0.0736561927052388,0.07365127780348019,0.0736499689577385,0,100,f
3,SURE-PM random,0.07366016021628795,0.0739213739119225,0.0737027997171392,0.07367120510204515,0,100,f
4,SURE-PM random,0.0736613928126566,0.07394860263567118,0.0737101343639641,0.07367385488239499,0,100,f
5,SURE-PM random,0.07366286788813085,0.07400160648731294,0.07371715106935361,0.07367671879741089,0,100,f
6,SURE-PM random,0.07366276246614036,0.07401062259757438,0.07371701683100668,0.07367659976938783,0,100,f
7,SURE-PM random,0.07366065685460392,0.07395262098596803,0.07370769794376926,0.07367265908933206,0,100,f
8,SURE-PM random,0.0736601289647981,0.07395160662864292,0.07370372645148365,0.0736712315780661,0,100,f
9,SURE-PM random,0.07366124186129624,0.07396233122566123,0.07370939406416241,0.07367350684988225,0,100,f
10,SURE-PM random,0.07366269614349917,0.07399693946479459,0.07371794299603934,0.07367659828823278,0,100,f
11,SURE-PM random,0.07366132840500264,0.0739529349707226,0.07371006569907251,0.0736737551523126,0,100,f
12,SURE-PM random,0.07366240941002551,0.0739841126267295,0.07371458402002361,0.07367583113203814,0,100,f
13,NPMLE,1.0787324296582042,,,,1,100,f
14,SURE-PM uniform,0.07213055471762048,0.07242372365404137,0.07218205818228896,0.0721438826135693,1,100,f
15,SURE-PM NPMLEinit,0.0721176125137194,0.07211786342343501,0.07211778751914423,0.07211769807898577,1,100,f
16,SURE-PM random,0.07212926385398348,0.07237596566132126,0.07217319091351797,0.07214090777718354,1,100,f
17,SURE-PM random,0.07213056199415135,0.07241037562850351,0.07217982222079555,0.07214347319602624,1,100,f
18,SURE-PM random,0.07213193914876811,0.0724721970063635,0.0721898211360795,0.07214699407930013,1,100,f
19,SURE-PM random,0.07213207123082796,0.07249188488669134,0.07219134229024149,0.07214734119349402,1,100,f
20,SURE-PM random,0.07212930334733926,0.0724009444638746,0.07217685231946859,0.07214170229280156,1,100,f
21,SURE-PM random,0.07212912145507318,0.07242147283850628,0.07217549448968881,0.07214096301663275,1,100,f
22,SURE-PM random,0.07213019683612899,0.07242762678410103,0.07218059253093316,0.07214312936629114,1,100,f
23,SURE-PM random,0.07213197954141477,0.07247896594324033,0.07219043919215266,0.07214677416809608,1,100,f
24,SURE-PM random,0.07213023486602153,0.07241731899983747,0.07218083942744542,0.07214322434537991,1,100,f
25,SURE-PM random,0.07213134900753132,0.0724560831903176,0.07218664893818129,0.07214568320088943,1,100,f
26,NPMLE,0.6729356087993911,,,,2,100,f
27,SURE-PM uniform,0.020470708864506124,0.02083151704345113,0.020524741156999298,0.02048386528978071,2,100,f
28,SURE-PM NPMLEinit,0.02045830829143057,0.020463156505038212,0.020459614702730704,0.02045868035335289,2,100,f
29,SURE-PM random,0.020469534943679833,0.020821598828139828,0.020521134616915758,0.020481787677009037,2,100,f
30,SURE-PM random,0.020470546991667362,0.020843272221415816,0.02052786213425563,0.02048405737961332,2,100,f
31,SURE-PM random,0.02047201041744728,0.020866483996388182,0.020530152864009922,0.020486221600706855,2,100,f
32,SURE-PM random,0.02047182844433543,0.020860450086286023,0.02052917476909123,0.020485892745945124,2,100,f
33,SURE-PM random,0.020470287050350037,0.020810013836720175,0.02052179132429913,0.02048289474483866,2,100,f
34,SURE-PM random,0.020469240016698507,0.020822011213274934,0.020517946498475936,0.020480952458118012,2,100,f
35,SURE-PM random,0.02047023555733155,0.0208181278822704,0.020521948616603822,0.020482783397854407,2,100,f
36,SURE-PM random,0.020471784444661766,0.02086659386821232,0.020533579611671654,0.020486514464287852,2,100,f
37,SURE-PM random,0.020470356044884355,0.020803160688354652,0.020522586126634722,0.020483205611310496,2,100,f
38,SURE-PM random,0.020471805830238454,0.020855874214398114,0.020528452820094856,0.02048578953289521,2,100,f
39,NPMLE,0.9190476680768702,,,,3,100,f
40,SURE-PM uniform,0.027764105953690076,0.028499035208128447,0.028139491715081136,0.027788520887014414,3,100,f
41,SURE-PM NPMLEinit,0.02774889574174239,0.027753559471453356,0.02774999095074179,0.027749197037542004,3,100,f
42,SURE-PM random,0.02776305046994068,0.028488214425884593,0.028036244452932877,0.027784503630683518,3,100,f
43,SURE-PM random,0.027763791281557103,0.028475198704337713,0.027978344612264793,0.027785464404886114,3,100,f
44,SURE-PM random,0.027759850370707967,0.02851263732504897,0.028324623003108798,0.027789392420347454,3,100,f
45,SURE-PM random,0.02775565109100647,0.02851478007569817,0.028358087354564816,0.027779304614531243,3,100,f
46,SURE-PM random,0.02775757343073117,0.028496573926371626,0.028001331720874986,0.02777844569966902,3,100,f
47,SURE-PM random,0.027760361860299766,0.028500332749971165,0.02818584537851571,0.027781162555153144,3,100,f
48,SURE-PM random,0.027757804551580136,0.028504697245867947,0.028245202189626964,0.027780548373219815,3,100,f
49,SURE-PM random,0.027766318950720646,0.02849109854598922,0.02809989219700988,0.02779643656707698,3,100,f
