,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter
0,NPMLE,0.9371823948290818,,,
1,SURE-PM uniform,0.05302349517096438,0.05344725682167962,0.053088183522438326,0.053037470989165954
2,SURE-PM NPMLEinit,0.05301357449941527,0.05302157868123764,0.053015931774499946,0.05301426138464265
3,SURE-PM random,0.05302342221715726,0.05343609629275733,0.0530833834627272,0.05303671718963535
4,SURE-PM random,0.05302300863666794,0.05346515275535481,0.05308597047503703,0.05303637179541958
5,SURE-PM random,0.0530224206857649,0.053459301388979835,0.05308705697218862,0.053035734582919145
6,SURE-PM random,0.05302341976384341,0.0534576041319442,0.05308653034818917,0.05303739737239191
7,SURE-PM random,0.05302221216856957,0.05342176705022531,0.0530810171965183,0.053034322124402775
8,SURE-PM random,0.05302297456895019,0.05342276881384507,0.053078226267512886,0.05303510189011661
9,SURE-PM random,0.05302471487910282,0.05344938958804384,0.053088864243237666,0.05303909943510476
10,SURE-PM random,0.05302350509195861,0.05346868237377059,0.05308849518670819,0.05303765518181706
11,SURE-PM random,0.05302499225181833,0.053430183693786756,0.05309061913551055,0.05304066108491732
12,SURE-PM random,0.05302211673007939,0.05345318466275302,0.05308425175636934,0.053034900739923
13,NPMLE,0.992497346590381,,,
14,SURE-PM uniform,0.0375741117618648,0.03813259539764488,0.03767141264608327,0.03759675751724423
15,SURE-PM NPMLEinit,0.03755407107229616,0.03756183648378993,0.03755654348883688,0.03755480922311477
16,SURE-PM random,0.03757243015528736,0.03807998040992956,0.037658954939043456,0.03759235781401294
17,SURE-PM random,0.03757470083659399,0.038122803961717154,0.03767238581149783,0.03759823164117719
18,SURE-PM random,0.037575331479359875,0.038171721677731654,0.03767747363768287,0.037599258337818
19,SURE-PM random,0.03757587805537845,0.03818483757496551,0.03768096700949215,0.03760125186533337
20,SURE-PM random,0.037573634771027355,0.03810739211824867,0.03766698698357452,0.03759586543011835
21,SURE-PM random,0.03757304127683248,0.03811279026915649,0.03766332862666943,0.0375943118763378
22,SURE-PM random,0.03757437590780633,0.0381419818057843,0.03767461930507061,0.037598232107274185
23,SURE-PM random,0.03757499384078706,0.03816848563373789,0.0376781606997902,0.03759924546864575
24,SURE-PM random,0.037573524284793366,0.03813405700495011,0.03767044831158778,0.03759592373612548
25,SURE-PM random,0.037575707279951305,0.03815921655610843,0.0376760640195576,0.03759971268019953
26,NPMLE,0.6880413013019916,,,
27,SURE-PM uniform,0.02813237156884256,0.028651365679091826,0.028223750464393262,0.028152675872851064
28,SURE-PM NPMLEinit,0.028120947386155067,0.0281210357021245,0.02812100186512552,0.0281209708887382
29,SURE-PM random,0.028132666925390452,0.028625761523317264,0.02822037943495005,0.028152338190161004
30,SURE-PM random,0.02813428955197182,0.028657332273641315,0.028229095324261166,0.02815574361443318
31,SURE-PM random,0.028132036651932424,0.02865505443896879,0.028219995306399993,0.028150598033723356
32,SURE-PM random,0.02813309094970876,0.028655769650619903,0.028222555914958817,0.028152425661093616
33,SURE-PM random,0.028130289003778727,0.028618951158801947,0.02821219246681352,0.02814756272221189
34,SURE-PM random,0.028131012729579935,0.028651031310716776,0.02822079685809463,0.028150358398360283
35,SURE-PM random,0.028133285674063303,0.02866415167267647,0.028223231764712083,0.028152326194385964
36,SURE-PM random,0.028133075704709895,0.028677864450697896,0.02823044203510861,0.028154686540650432
37,SURE-PM random,0.02813262463630167,0.028646436782163463,0.028223569858996243,0.028152563967041574
38,SURE-PM random,0.028131060944598617,0.028644797989661727,0.028218409979005515,0.028149832236099924
39,NPMLE,0.8064326905311028,,,
40,SURE-PM uniform,-0.022077467076666933,-0.021463419587375653,-0.02188237794152606,-0.022027413484944417
41,SURE-PM NPMLEinit,-0.022119467617045245,-0.022116194795820263,-0.02211823432110606,-0.022119079155889523
42,SURE-PM random,-0.022081597497417532,-0.02150189692234349,-0.02191459263323182,-0.022038337489707942
43,SURE-PM random,-0.02207912054500909,-0.021485781113111387,-0.02189554290590344,-0.022031473911036912
44,SURE-PM random,-0.022077809612180702,-0.021447466696885586,-0.02187966339004248,-0.02202750458840022
45,SURE-PM random,-0.022076695308823988,-0.02143313015496915,-0.021865289581770496,-0.022022981410151275
46,SURE-PM random,-0.022079965587585803,-0.021488914618602594,-0.02189883629553705,-0.022032913242272655
47,SURE-PM random,-0.02207666149677486,-0.02146319886909417,-0.021876185777391442,-0.022025685457111876
48,SURE-PM random,-0.022075458828498498,-0.021444015635190466,-0.021866921777937306,-0.022021468100800662
49,SURE-PM random,-0.022075980059974826,-0.021448205975836885,-0.021869396085090073,-0.022023255770370866
50,SURE-PM random,-0.02207581594817782,-0.021459315021819306,-0.02187267140086476,-0.02202382067241004
51,SURE-PM random,-0.02207934882417753,-0.021461284155716312,-0.021887291084442494,-0.02203089715291142
52,NPMLE,0.6467470567454001,,,
53,SURE-PM uniform,-0.010941032600987484,-0.009978595960820584,-0.010811148319669357,-0.010917335578442006
54,SURE-PM NPMLEinit,-0.010953127221797629,-0.010948083444468466,-0.010951721208037953,-0.0109527248481983
55,SURE-PM random,-0.010939385489732558,-0.010109690052209288,-0.01081310973158466,-0.010913615961195404
56,SURE-PM random,-0.010940028521153878,-0.0100007539984432,-0.010801649702669138,-0.010913782519815386
57,SURE-PM random,-0.010942332897135287,-0.00995653493088767,-0.010815240721071434,-0.01092077147836605
58,SURE-PM random,-0.010941661197949912,-0.009903539787860752,-0.010811379091089535,-0.010919274071110863
59,SURE-PM random,-0.010942943069870665,-0.010044297639070478,-0.01082371332525149,-0.010922784351663281
60,SURE-PM random,-0.010940867943460119,-0.009961770587780165,-0.010824821418271569,-0.010918907358430872
61,SURE-PM random,-0.01094095812635736,-0.009926439714094926,-0.01081643419088266,-0.010919548138110287
62,SURE-PM random,-0.010940159036389048,-0.009923710444976308,-0.01080498821420278,-0.010914934353126071
63,SURE-PM random,-0.010940822130769873,-0.009956210775312115,-0.010811594774200302,-0.010918826345804718
64,SURE-PM random,-0.010941433818475446,-0.009995470126490175,-0.01081625716238662,-0.01091867719708226
65,NPMLE,0.8968181165923335,,,
66,SURE-PM uniform,0.055150210824609476,0.05570814582377295,0.05523925341167285,0.055170647351290895
67,SURE-PM NPMLEinit,0.055133085872934376,0.0551364557445865,0.05513394469236154,0.05513332670961873
68,SURE-PM random,0.055149022964620896,0.05568353938032267,0.05523643986038934,0.05516899497976553
69,SURE-PM random,0.0551489059070461,0.05572540473071385,0.05524130287413925,0.05516938676892948
70,SURE-PM random,0.05515071316609266,0.055738712446126895,0.05524617906303931,0.05517292323364103
71,SURE-PM random,0.055151900277122225,0.05573102486602167,0.05524628952092108,0.05517465627747356
72,SURE-PM random,0.05514818447943839,0.05565755583036776,0.05522696929046646,0.05516611306510136
73,SURE-PM random,0.05514910103718137,0.05568601345273095,0.05522968317694598,0.05516700561930172
74,SURE-PM random,0.055150419679888145,0.05569874813298007,0.055233236121608374,0.05516942394057956
75,SURE-PM random,0.05515253165855796,0.05576620705329745,0.05525188321842812,0.05517624512665137
76,SURE-PM random,0.05515055411330337,0.05569478771254822,0.0552381810752005,0.05517079267721954
77,SURE-PM random,0.05514967924838942,0.05572944629163203,0.05523891091465366,0.05516978136314542
78,NPMLE,0.8414251300323913,,,
79,SURE-PM uniform,-0.000852969610858878,9.186348023035862e-06,-0.0006556209835403593,-0.0008033087788317061
80,SURE-PM NPMLEinit,-0.0008870202594046361,-0.0008858688028960415,-0.0008865933825423156,-0.0008868865683380278
81,SURE-PM random,-0.0008543777045073853,-8.358105495872792e-05,-0.000675616538033239,-0.000808536047938091
82,SURE-PM random,-0.0008531102338886143,-3.069825777430424e-05,-0.0006630674417328208,-0.0008048197539153535
83,SURE-PM random,-0.0008539493173013569,3.2316333210644644e-05,-0.0006535630511993418,-0.0008042654550368411
84,SURE-PM random,-0.0008533871673500215,6.474038044473218e-05,-0.0006498362208144215,-0.0008033009083372633
85,SURE-PM random,-0.0008562188429951334,-2.7612495205247e-05,-0.0006692847661518187,-0.0008098405227377725
86,SURE-PM random,-0.0008530485364744323,2.6514231034795445e-05,-0.0006529933853465764,-0.0008031029152278534
87,SURE-PM random,-0.0008526226132588022,5.477991646252178e-05,-0.0006466683670127793,-0.0008023669598881611
88,SURE-PM random,-0.0008498892384728407,4.2769269318796434e-05,-0.0006421322315142675,-0.0007971390102233045
89,SURE-PM random,-0.0008508874476439132,3.0191453170402838e-05,-0.0006512157819191344,-0.000801058827395309
