,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter,m,n,experiment
0,NPMLE,1.520079977758032,,,,0,200,g
1,SURE-PM uniform,0.13166941956337136,0.1321820396625466,0.1317665271606219,0.13169606904904488,0,200,g
2,SURE-PM NPMLEinit,0.1316377371823732,0.13165026482577796,0.13164095491028288,0.13163860647890244,0,200,g
3,SURE-PM random,0.13167006842919488,0.13221187155325442,0.13177062913807303,0.13169566430490076,0,200,g
4,SURE-PM random,0.13166875940935152,0.13217893715413812,0.13176599407124345,0.13169335328530818,0,200,g
5,SURE-PM random,0.13167218978990786,0.13216729716189515,0.13177021337922948,0.13170373479979627,0,200,g
6,SURE-PM random,0.13167135210795,0.13220423458808672,0.13177436544537255,0.1316985509110685,0,200,g
7,SURE-PM random,0.13167278066836408,0.13217704442622252,0.13177286772219593,0.13169703289662063,0,200,g
8,SURE-PM random,0.1316659251676587,0.132128537215757,0.13174950791005824,0.1316877004928256,0,200,g
9,SURE-PM random,0.1316667781792552,0.1321263330384579,0.13175817189370276,0.1316895945967877,0,200,g
10,SURE-PM random,0.13166787541307653,0.13216020804045525,0.13175962812319267,0.13169509919540898,0,200,g
11,SURE-PM random,0.13166939421763568,0.1321433906791516,0.13176274647635491,0.13169439686432302,0,200,g
12,SURE-PM random,0.1316694710432996,0.1322218050719999,0.1317699914841597,0.1316945921386397,0,200,g
13,NPMLE,1.502341486757552,,,,1,200,g
14,SURE-PM uniform,0.11422231241193061,0.11450613644475219,0.11430252536924485,0.11424009551010678,1,200,g
15,SURE-PM NPMLEinit,0.11419647653963388,0.114200390580773,0.114197488115379,0.11419676065307804,1,200,g
16,SURE-PM random,0.1142243433721135,0.11456425428993405,0.11429396516528925,0.11424410295547034,1,200,g
17,SURE-PM random,0.11422362965067513,0.11455033215766505,0.11429347811531024,0.11424345268105647,1,200,g
18,SURE-PM random,0.1142226349524519,0.11451315790924589,0.11428461767290336,0.11424059806170575,1,200,g
19,SURE-PM random,0.11422185755596125,0.11448489322175,0.1142796664405072,0.1142388044056279,1,200,g
20,SURE-PM random,0.11422460700594378,0.11454933040601503,0.11429548275768987,0.11424491245107682,1,200,g
21,SURE-PM random,0.11422074693292067,0.114458145589182,0.1142760344371991,0.11423729437933523,1,200,g
22,SURE-PM random,0.1142224242856829,0.11451296846556352,0.11429134960281637,0.11424096737847328,1,200,g
23,SURE-PM random,0.11422213535566904,0.11449944278161617,0.11428166544607692,0.11423962860096495,1,200,g
24,SURE-PM random,0.11422296561040376,0.1145153648059695,0.11428697491123081,0.11424149971217112,1,200,g
25,SURE-PM random,0.11422305187969535,0.11452228525698978,0.11428519627345715,0.11424122797658988,1,200,g
26,NPMLE,1.45459492251181,,,,2,200,g
27,SURE-PM uniform,0.108847353958694,0.10920582423025409,0.10890567702066235,0.10885241323788036,2,200,g
28,SURE-PM NPMLEinit,0.11350216013111109,0.1135069790018592,0.11350343865171617,0.11350271380250639,2,200,g
