,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter,m,n,experiment
0,NPMLE,0.9404974417550767,,,,0,200,h
1,SURE-PM uniform,0.3054587942637639,0.30600385835343613,0.30556243024498897,0.30548757803277055,0,200,h
2,SURE-PM NPMLEinit,0.30542105223251,0.30542479161133046,0.3054220847060809,0.30542134815038735,0,200,h
3,SURE-PM random,0.3054605372560823,0.3060479654267489,0.30557341716270414,0.30549252616100886,0,200,h
4,SURE-PM random,0.3054601950273181,0.30601277373539276,0.3055661420091351,0.30549074065625814,0,200,h
5,SURE-PM random,0.3054572154971973,0.3060254336131746,0.3055592032346112,0.3054847245355448,0,200,h
6,SURE-PM random,0.3054568654160084,0.30599830482815404,0.305552975314589,0.3054837681836595,0,200,h
7,SURE-PM random,0.30545193144367916,0.3059758618892701,0.30555858542479714,0.3054812226891707,0,200,h
8,SURE-PM random,0.3054613850940268,0.3060102107943507,0.3055675132734919,0.30548969384207436,0,200,h
9,SURE-PM random,0.30546101782086027,0.3059574369514958,0.3055680291953452,0.30549255708056366,0,200,h
10,SURE-PM random,0.305458325489798,0.3060723093111173,0.3055688938048243,0.305488319397209,0,200,h
11,SURE-PM random,0.30545803837463426,0.306000950237121,0.30556184318563195,0.3054868426597872,0,200,h
12,SURE-PM random,0.30545763974643564,0.30611757258903294,0.30556470506184524,0.3054869154914462,0,200,h
13,NPMLE,1.114949609178973,,,,1,200,h
14,SURE-PM uniform,0.2852618139221751,0.285485876404055,0.28531425747844025,0.285277311359995,1,200,h
15,SURE-PM NPMLEinit,0.2852383252512813,0.2852405286412839,0.28523897243653934,0.28523851867553673,1,200,h
16,SURE-PM random,0.28526229508767853,0.2854983452813106,0.2853189169370889,0.28527870227507535,1,200,h
17,SURE-PM random,0.2852614017376142,0.2854816495470389,0.28531482573363914,0.28527661481053185,1,200,h
18,SURE-PM random,0.28526169326362694,0.2854869636099299,0.28531325656388346,0.28528024542110303,1,200,h
19,SURE-PM random,0.2852604050577486,0.28545444638440826,0.28530629768537963,0.2852747201149184,1,200,h
20,SURE-PM random,0.28525989115729106,0.2854645748962693,0.2853075881798269,0.2852736357821912,1,200,h
21,SURE-PM random,0.28526067977251257,0.28545705574683383,0.2853076141043344,0.2852783420181514,1,200,h
22,SURE-PM random,0.2852600374854167,0.2854539768778422,0.28530521891106647,0.28527340691111036,1,200,h
23,SURE-PM random,0.28526215904139024,0.2854874946198606,0.285315900845939,0.285280178238484,1,200,h
24,SURE-PM random,0.2852611278073016,0.2854934391030953,0.285312751008217,0.2852758503516857,1,200,h
25,SURE-PM random,0.28526341585327214,0.2854959685337953,0.2853153235325266,0.28527701949093315,1,200,h
26,NPMLE,1.0492947483011046,,,,2,200,h
27,SURE-PM uniform,0.33194524967927985,0.3324979215654708,0.33204788616830677,0.33197074849605607,2,200,h
28,SURE-PM NPMLEinit,0.3346433343605609,0.33471548980049254,0.3346635693509868,0.3346492515832512,2,200,h
29,SURE-PM random,0.3319473612484465,0.33253730306245693,0.3320616703990147,0.3319764840191102,2,200,h
30,SURE-PM random,0.3319443884389272,0.33247474429393614,0.33204078006483906,0.3319688737861424,2,200,h
31,SURE-PM random,0.33194454829547787,0.3324612849635303,0.332039460134339,0.3319690448091124,2,200,h
32,SURE-PM random,0.3319446874470325,0.33245776838068275,0.33203669862046475,0.3319692426468658,2,200,h
33,SURE-PM random,0.33194559092830284,0.33247271052070326,0.33204806215398813,0.3319714223222926,2,200,h
34,SURE-PM random,0.3319447205247845,0.3324847433365782,0.33204308706585245,0.33196966679307655,2,200,h
