,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter,m,n,experiment
0,NPMLE,0.9404974438002867,,,,0,200,h
1,SURE-PM uniform,0.33891553066721686,0.5059505009001991,0.44729031903403965,0.40462028976286973,0,200,h
2,SURE-PM NPMLEinit,0.30551944356611005,0.3139820855976737,0.31090134337092507,0.3085812562564905,0,200,h
3,SURE-PM random,0.3377547152949401,0.5034038607218833,0.44543421091114,0.4031574412541812,0,200,h
4,SURE-PM random,0.3391937298462013,0.5051612706445334,0.44716426711290697,0.40465496609669316,0,200,h
5,SURE-PM random,0.33775770278428624,0.5068452873826991,0.4474514547392305,0.4042220652660072,0,200,h
6,SURE-PM random,0.3387395035400854,0.5056476100694474,0.44628943594767406,0.40345349707595957,0,200,h
7,SURE-PM random,0.33746589893751205,0.4990966777391006,0.44156521144279554,0.39992373668680076,0,200,h
8,SURE-PM random,0.3380503448149592,0.503614767823914,0.44575336881116895,0.40354963344710215,0,200,h
9,SURE-PM random,0.3393790613630995,0.5051021938854494,0.4475616681471331,0.4052821197348882,0,200,h
10,SURE-PM random,0.339427980914965,0.5116567542284594,0.4515414056991598,0.40764465676960443,0,200,h
11,SURE-PM random,0.3377348845113133,0.5054797669437385,0.44617071625052757,0.4031564279102548,0,200,h
12,SURE-PM random,0.33853169234759034,0.5088852178375309,0.44922628723846375,0.40584497275285003,0,200,h
13,NPMLE,1.1149454657018263,,,,1,200,h
14,SURE-PM uniform,0.3398188731693632,0.5949670317506333,0.5228789993828878,0.4646038952611069,1,200,h
15,SURE-PM NPMLEinit,0.28527214535820733,0.29459896129948204,0.2902584153023177,0.287635102887088,1,200,h
16,SURE-PM random,0.3370389143873727,0.589191594220017,0.5180469864937105,0.4604726228816993,1,200,h
17,SURE-PM random,0.339627648797687,0.5941367572125036,0.5229747892608443,0.46512486504900397,1,200,h
18,SURE-PM random,0.33901041978009144,0.5967326906740261,0.5239618120706757,0.4650645854161111,1,200,h
19,SURE-PM random,0.34054102318528917,0.5967280649071065,0.5241588180498339,0.4657059948839465,1,200,h
20,SURE-PM random,0.33846613937939823,0.588796174608106,0.5174219429788154,0.45997302781166327,1,200,h
21,SURE-PM random,0.33949453086449394,0.5946749130280993,0.5227924678691369,0.46466221155867443,1,200,h
22,SURE-PM random,0.3413901506110446,0.596373757207673,0.524912583003773,0.467199433933435,1,200,h
23,SURE-PM random,0.34041282620708,0.5996428341785829,0.5265943672395794,0.4672386065378154,1,200,h
24,SURE-PM random,0.33886260277836344,0.5945530227323594,0.5219886158326227,0.4634848644988837,1,200,h
25,SURE-PM random,0.33847722370691913,0.5969185446493871,0.5240962403588363,0.4651589849059923,1,200,h
26,NPMLE,1.049298511650366,,,,2,200,h
27,SURE-PM uniform,0.3869784304854468,0.5352918285824885,0.4763399151146337,0.4423916446422108,2,200,h
28,SURE-PM NPMLEinit,0.33530740516809976,0.34241013790599406,0.33979735457261845,0.3382336318020527,2,200,h
29,SURE-PM random,0.38568238282366557,0.5305038096957719,0.4726033321941956,0.4392879843992177,2,200,h
30,SURE-PM random,0.3878343421700557,0.5314175485274982,0.4743991496261815,0.44213153491004126,2,200,h
31,SURE-PM random,0.3864441509914915,0.5376038613776959,0.4769175696218027,0.44185068920403403,2,200,h
32,SURE-PM random,0.3870221779351028,0.5377751632052575,0.4773822976892361,0.4426525849453609,2,200,h
33,SURE-PM random,0.3854382534960525,0.5337068441248713,0.4747960339584386,0.4405449180995611,2,200,h
34,SURE-PM random,0.38607512144145156,0.5338795441098061,0.4755012123590499,0.44207921385191845,2,200,h
35,SURE-PM random,0.3873990180176184,0.5349398036405173,0.47736060024211446,0.4445949861875665,2,200,h
36,SURE-PM random,0.3871708143491782,0.539049670830121,0.478754254401376,0.4436969759476171,2,200,h
37,SURE-PM random,0.386189504140393,0.5364405256959093,0.47710173967393876,0.44240111984214514,2,200,h
38,SURE-PM random,0.38642309673276154,0.5398025171601234,0.4785572170072917,0.44293936576748955,2,200,h
39,NPMLE,1.1959095502680612,,,,3,200,h
40,SURE-PM uniform,0.3434045217397842,0.4956485019041706,0.45017887641953125,0.41973403403401277,3,200,h
41,SURE-PM NPMLEinit,0.30882496428491835,0.33337145973177557,0.32812639410118905,0.32267326193532525,3,200,h
42,SURE-PM random,0.34319416741956077,0.4893259310891973,0.4461034589424021,0.41760255834348625,3,200,h
43,SURE-PM random,0.34431824869268696,0.49308924875132065,0.45003156803801303,0.4210330469240445,3,200,h
44,SURE-PM random,0.34262806525618417,0.49708482270979704,0.4503470261384362,0.4193862392242677,3,200,h
45,SURE-PM random,0.34341220322247423,0.4986642039368077,0.4517749012240722,0.4204135075834891,3,200,h
46,SURE-PM random,0.3422001961563005,0.49416581905085266,0.44880652644191044,0.4184263834868153,3,200,h
47,SURE-PM random,0.3437250144607148,0.49596906233171867,0.45027731466750837,0.4198121294798359,3,200,h
48,SURE-PM random,0.3452350719353959,0.4980338867161862,0.45275922001235885,0.4222098012691656,3,200,h
49,SURE-PM random,0.3438079523437193,0.4983335273157111,0.45152151999262047,0.4203921152224149,3,200,h
50,SURE-PM random,0.3431475267732854,0.49682267680491804,0.45053701871717905,0.41964706549523273,3,200,h
51,SURE-PM random,0.34405690342391665,0.4987571705720623,0.45201471420554484,0.4210698566777482,3,200,h
52,NPMLE,1.1039528662034055,,,,4,200,h
53,SURE-PM uniform,0.37373466183476817,0.5173318262193454,0.4609646312112603,0.42223177540455803,4,200,h
54,SURE-PM NPMLEinit,0.3547814750736887,0.37699775787250994,0.3699875037456068,0.36457862474875335,4,200,h
55,SURE-PM random,0.37269913473098204,0.512970530508346,0.45783263035559096,0.4198005114704903,4,200,h
