,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter,m,n,experiment
0,NPMLE,7.567114789036442,,,,0,100,i
1,SURE-PM uniform,1.2218489543498887,1.2228269517718715,1.2219872295064933,1.22188297664786,0,100,i
2,SURE-PM NPMLEinit,1.2218078844928042,1.2218199972382227,1.2218088393810573,1.2218060970586258,0,100,i
3,SURE-PM random,1.2218463946205937,1.2228020970439215,1.2219697467613988,1.2218771415000347,0,100,i
4,SURE-PM random,1.221848978397082,1.222813836073656,1.2219814776197129,1.2218822056658096,0,100,i
5,SURE-PM random,1.2218515566392663,1.222914654652333,1.2220017511838561,1.2218878388009282,0,100,i
6,SURE-PM random,1.2218473102678074,1.2226692435624673,1.2219626899268214,1.2218772102527518,0,100,i
7,SURE-PM random,1.221843377562749,1.222541477173431,1.2219458599453028,1.22187155554979,0,100,i
8,SURE-PM random,1.221848984958186,1.2228337018659332,1.2219854452863106,1.221882570425096,0,100,i
9,SURE-PM random,1.2218486165183087,1.2228256343833712,1.2219824574124718,1.2218818650958447,0,100,i
10,SURE-PM random,1.2218494536215345,1.2229535817517265,1.2219883627690038,1.221883324937289,0,100,i
11,SURE-PM random,1.2218479891090899,1.2227062150429848,1.2219696960226647,1.2218804106151888,0,100,i
12,SURE-PM random,1.2218503744398836,1.2227648019247002,1.2219714587522814,1.2218789122187368,0,100,i
13,NPMLE,5.914646609201822,,,,1,100,i
14,SURE-PM uniform,0.9392176728413998,0.9408840667721702,0.9396638425088772,0.9393527864342743,1,100,i
15,SURE-PM NPMLEinit,0.9499312937572395,0.9503091024565614,0.9500320626472936,0.949961698566631,1,100,i
16,SURE-PM random,0.9392176667071945,0.9409152803764337,0.9396719411274225,0.9394959031961512,1,100,i
17,SURE-PM random,0.939222929659999,0.9410062407001951,0.9396880782738216,0.9393624026462172,1,100,i
18,SURE-PM random,0.9392246829173743,0.9409451871745764,0.9396907360154754,0.9393651994009017,1,100,i
19,SURE-PM random,0.9392183087808914,0.9408651684717861,0.9396692601362738,0.9393547676652045,1,100,i
20,SURE-PM random,0.9392299631535233,0.9408390730434966,0.9396615399149911,0.9393504309645451,1,100,i
21,SURE-PM random,0.9394116217737352,0.9408931054937071,0.9396898217793799,0.9393624290384528,1,100,i
22,SURE-PM random,0.939225089643567,0.940965152417165,0.9396998750029891,0.9393684268620305,1,100,i
23,SURE-PM random,0.9392170108409355,0.9410544042093957,0.9397917915929682,0.9393712980536023,1,100,i
