,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter
0,NPMLE,6.898461394901942,,,
1,SURE-PM uniform,1.4454713072205254,1.4472037013491887,1.4455895460407016,1.4454944049582081
2,SURE-PM NPMLEinit,1.423179162274834,1.4232982066802158,1.4232136063809555,1.4231856637002624
3,SURE-PM random,1.44547214797795,1.4468301524394946,1.4455820359841454,1.4454954921330943
4,SURE-PM random,1.44547236490148,1.447024222957279,1.4456027224321746,1.4455064292476862
5,SURE-PM random,1.4454751968406947,1.447400930118901,1.4456237464181612,1.4455031765375879
6,SURE-PM random,1.44548431129334,1.447591536894214,1.4456439613853513,1.4455165513006285
7,SURE-PM random,1.4454694307062772,1.4473516908141153,1.4455818278232373,1.4454907288253696
8,SURE-PM random,1.4454739256141096,1.4474259030134602,1.4456070234791787,1.4455012875273718
9,SURE-PM random,1.445469404020639,1.447274410769957,1.4455709111130903,1.4454897007140444
10,SURE-PM random,1.4454755970005788,1.4472906472762934,1.4456373409738075,1.445505507773517
11,SURE-PM random,1.4454742050062885,1.447127349388416,1.4455997575951267,1.445499128971391
12,SURE-PM random,1.445474059944255,1.4472104389461493,1.4456043986283544,1.445500232523378
13,NPMLE,6.745540113865351,,,
14,SURE-PM uniform,1.682087150132436,1.6888555682821822,1.6873548484291843,1.6872286576690083
15,SURE-PM NPMLEinit,1.5137093314414631,1.5139093252235336,1.513755393811183,1.5137223472986074
16,SURE-PM random,1.6708392711404572,1.6888943406619268,1.6873388755357148,1.671346231021406
17,SURE-PM random,1.6708342535594864,1.6889038642985088,1.674444093918292,1.6709639424839515
18,SURE-PM random,1.6709898167651431,1.6888915451788205,1.6873655008762416,1.6872244208199356
19,SURE-PM random,1.670838321979254,1.68882953060243,1.6738381822858543,1.670958184422675
20,SURE-PM random,1.6708304598414236,1.688678692856537,1.6735203011102566,1.6709356191476683
21,SURE-PM random,1.670830324379079,1.6888556330728353,1.6732746177688569,1.6709298441749825
22,SURE-PM random,1.687194983910657,1.689093575236937,1.6873946724084805,1.6872446463145048
23,SURE-PM random,1.6708526875551775,1.6888995426624944,1.6873472229828905,1.6752189791580485
24,SURE-PM random,1.6708279187657995,1.6886313475653452,1.6732717521040228,1.6709270755853265
25,SURE-PM random,1.6708354410168664,1.6888735313303629,1.675091221680849,1.6709942020757802
26,NPMLE,6.498391304458353,,,
27,SURE-PM uniform,1.593154874448926,1.595891362840395,1.5932346233346515,1.5931782765928808
28,SURE-PM NPMLEinit,1.421201954193059,1.4212260521104496,1.421207968555367,1.4212036166963538
29,SURE-PM random,1.5931491777696425,1.5957188733324243,1.5932166590432388,1.593169685791721
30,SURE-PM random,1.5931537075156443,1.595691755387508,1.59322685277973,1.593175811864723
31,SURE-PM random,1.593156051020884,1.5959992108113341,1.5932333855720038,1.5931846669998264
32,SURE-PM random,1.5931558043247986,1.5960117899591404,1.5932322043438785,1.5931782589783843
33,SURE-PM random,1.5931506589832656,1.5958405969585487,1.5932196513101144,1.5931713713828948
34,SURE-PM random,1.5931561479827168,1.5958895810378737,1.5932551159312254,1.593185105891148
35,SURE-PM random,1.5931528765051508,1.5958402383948191,1.59322887811446,1.5931757272310596
36,SURE-PM random,1.593154516712217,1.5958703229686932,1.59322961503494,1.5931769563724167
37,SURE-PM random,1.59315479656933,1.5958470453094515,1.59323099404405,1.593178267981516
38,SURE-PM random,1.5931549256388087,1.5959779055020828,1.5932288407322652,1.593177253077426
39,NPMLE,8.617021547982096,,,
40,SURE-PM uniform,1.294798688965559,1.3204335860935914,1.294974345042063,1.2948505896949791
41,SURE-PM NPMLEinit,1.2842679935678394,1.2842820304997553,1.2842725077203432,1.284269166839212
42,SURE-PM random,1.2947992833682735,1.3230363312522928,1.2949792977496213,1.2948519273715096
43,SURE-PM random,1.294802417271642,1.3207495567625267,1.2949945282311877,1.2948592049126393
44,SURE-PM random,1.2948631023504538,1.319502676040591,1.2954199901067438,1.2950181380081773
