,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter,m,n,experiment
0,NPMLE,6.898461404394015,,,,0,200,i
1,SURE-PM uniform,1.510430793910874,2.575747943415314,2.2056055665797665,1.971616966866431,0,200,i
2,SURE-PM NPMLEinit,1.4248088312860334,1.4306250683097101,1.42793390770977,1.4268896697968314,0,200,i
3,SURE-PM random,1.5069417911342413,2.549002165445326,2.1891000427169884,1.9620522661176762,0,200,i
4,SURE-PM random,1.508762740726307,2.5465297364189414,2.1866453951805402,1.95765970138618,0,200,i
5,SURE-PM random,1.5081577561944386,2.598387866443998,2.217193760291638,1.9775022985965984,0,200,i
6,SURE-PM random,1.5122505518904519,2.610372012761892,2.225862075515577,1.9828951640773165,0,200,i
7,SURE-PM random,1.5083367086322768,2.5720059744925963,2.199747920347067,1.9663291996797028,0,200,i
8,SURE-PM random,1.5076351245555082,2.569109545756964,2.199152430864753,1.9648191434597795,0,200,i
9,SURE-PM random,1.5131564125553938,2.5743953243060185,2.204485830209064,1.9713266101058247,0,200,i
10,SURE-PM random,1.5097830621350647,2.5839878112745147,2.2118182520616587,1.9746958317088257,0,200,i
11,SURE-PM random,1.5089388453330894,2.5825514318778446,2.2111967675524147,1.9753830998188522,0,200,i
12,SURE-PM random,1.5102079381883897,2.599195072832942,2.218357058448659,1.9794869999133733,0,200,i
13,NPMLE,6.750094636519427,,,,1,200,i
14,SURE-PM uniform,1.6858354248252516,3.7660956821191847,3.022056198423395,2.5059527968683306,1,200,i
15,SURE-PM NPMLEinit,1.518118016800135,1.5308177686513467,1.5284309686525603,1.5262128712143055,1,200,i
16,SURE-PM random,1.6847371867219942,3.7351498464263204,3.0016094718535165,2.492903797261962,1,200,i
17,SURE-PM random,1.6821528092513944,3.732863197336832,2.9969159392096403,2.4865734680117044,1,200,i
18,SURE-PM random,1.687472004312732,3.8017000387914686,3.0461227278922705,2.521730546840831,1,200,i
19,SURE-PM random,1.6898655769070603,3.8089511054484,3.052507436653573,2.527346331032752,1,200,i
20,SURE-PM random,1.6841039740308634,3.7453961485763556,3.008507863996962,2.498237060930774,1,200,i
21,SURE-PM random,1.687966001760686,3.755560421233395,3.011472863929636,2.493951056011899,1,200,i
22,SURE-PM random,1.685560833307524,3.7557882175612347,3.0122530771017804,2.4959633810506903,1,200,i
23,SURE-PM random,1.6888687813597472,3.7799123277262106,3.0315412463942493,2.510934295416023,1,200,i
24,SURE-PM random,1.6865212392780966,3.7639038001934706,3.022894749203277,2.508908458146874,1,200,i
25,SURE-PM random,1.6874079405192004,3.7890234204326045,3.036324959369241,2.5142951058786194,1,200,i
26,NPMLE,6.4983942526573655,,,,2,200,i
27,SURE-PM uniform,1.591747192325044,3.3677316646292197,2.8052758495329,2.4462636642082294,2,200,i
28,SURE-PM NPMLEinit,1.4214410456386037,1.4263898647635431,1.4238286993916625,1.422393883979139,2,200,i
