,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter,m,n,experiment
0,NPMLE,30.997365657422804,,,,0,100,j
1,SURE-PM uniform,2.254463967955453,2.2608721337281428,2.255275466318219,2.2546481243358176,0,100,j
2,SURE-PM NPMLEinit,2.2542333662542173,2.2542603830895644,2.25424041024188,2.254235819858569,0,100,j
3,SURE-PM random,2.254465636596692,2.2617902255695594,2.2552978505233843,2.254647805267134,0,100,j
4,SURE-PM random,2.2544492279089186,2.2602424867058595,2.2551088157021435,2.254605629213962,0,100,j
5,SURE-PM random,2.254488062704722,2.260843470832567,2.2554160195998554,2.254681225253987,0,100,j
6,SURE-PM random,2.2544655432016794,2.2610812737501327,2.2552292080338803,2.254642189713767,0,100,j
7,SURE-PM random,2.254501056100223,2.261549962369776,2.2555243401325855,2.254738209599619,0,100,j
8,SURE-PM random,2.2544565012663567,2.2603352967410877,2.25517717347563,2.2546234937007896,0,100,j
9,SURE-PM random,2.2544596441242892,2.260458511848774,2.255197855571428,2.254628293932121,0,100,j
10,SURE-PM random,2.2544758033434094,2.260467446307033,2.2553536408058608,2.254677525787076,0,100,j
11,SURE-PM random,2.2544809007956315,2.261560414810484,2.2554578007987662,2.2546880721760614,0,100,j
12,SURE-PM random,2.254471170371528,2.261501702767955,2.255381696973127,2.2547598218129963,0,100,j
13,NPMLE,38.91334611788509,,,,1,100,j
14,SURE-PM uniform,2.1005700820869526,2.104256028446939,2.101285192302961,2.1007589440157144,1,100,j
15,SURE-PM NPMLEinit,2.10030546221417,2.100387645234689,2.1003253126635797,2.1003496296354056,1,100,j
16,SURE-PM random,2.1005838750111616,2.1041387258372812,2.101296581640812,2.1007834119499775,1,100,j
17,SURE-PM random,2.1005575438850257,2.1038949872993133,2.1011895876776974,2.100736517938127,1,100,j
18,SURE-PM random,2.1005646921563312,2.1038078856672953,2.1011832019265158,2.1007550676099047,1,100,j
19,SURE-PM random,2.1005752414808,2.1048914338181963,2.1013091709337575,2.1007727831950787,1,100,j
20,SURE-PM random,2.1005566882570963,2.103805223881219,2.101157149130579,2.100728070873515,1,100,j
21,SURE-PM random,2.1005794591337748,2.1061285237374965,2.1013759826884746,2.100776697426071,1,100,j
22,SURE-PM random,2.1006223559973476,2.1056015729176805,2.1015720945192085,2.1008719639166986,1,100,j
23,SURE-PM random,2.1005803497569913,2.104161523291923,2.1012821359701546,2.100781071237576,1,100,j
24,SURE-PM random,2.1006097936551473,2.1043264116984743,2.1012413746650225,2.1008122064494397,1,100,j
25,SURE-PM random,2.1006055500714718,2.105748813559195,2.1015135140963457,2.100854643515537,1,100,j
26,NPMLE,44.447152598205385,,,,2,100,j
27,SURE-PM uniform,2.4039307521392597,2.409067084477655,2.404726960420961,2.404114247185628,2,100,j
28,SURE-PM NPMLEinit,2.4037441401497723,2.4040119322063833,2.403803814842182,2.4037591843035977,2,100,j
29,SURE-PM random,2.4039336579459416,2.4086998148566603,2.4045190608319955,2.4040627857030246,2,100,j
30,SURE-PM random,2.403916069461078,2.4084467704241943,2.404483501750177,2.4040647289965933,2,100,j
31,SURE-PM random,2.4039293212828183,2.409169543393233,2.404616681686889,2.4040994454719837,2,100,j
32,SURE-PM random,2.4039509618605552,2.4101960245116243,2.4048478942308646,2.404151817664997,2,100,j
33,SURE-PM random,2.4039157916299008,2.4098037487418593,2.4045828479365796,2.4040652163567917,2,100,j
34,SURE-PM random,2.4039203275693364,2.4087559556404265,2.4045243982269517,2.404080606317441,2,100,j
35,SURE-PM random,2.4039444732493642,2.40929807389433,2.4046933573387843,2.4041019972479605,2,100,j
36,SURE-PM random,2.4039531433771035,2.410180117497089,2.40466925828845,2.4040817320996495,2,100,j
37,SURE-PM random,2.4039232040701095,2.4092730486157268,2.4046067733366634,2.4040777378562597,2,100,j
38,SURE-PM random,2.403922980323176,2.409507235203098,2.404571111696955,2.40407233525749,2,100,j
39,NPMLE,25.36031344146022,,,,3,100,j
40,SURE-PM uniform,2.421135816657059,2.424857931768916,2.4217347988597893,2.4212902928486795,3,100,j
41,SURE-PM NPMLEinit,2.4209155281095316,2.4209582836880457,2.4209262943251186,2.4209185582396713,3,100,j
42,SURE-PM random,2.421128660414833,2.4246273420531335,2.421664754125971,2.421270541306132,3,100,j
43,SURE-PM random,2.4211296124469444,2.425033867959142,2.4217014670595227,2.4212768401001195,3,100,j
44,SURE-PM random,2.421145940821493,2.4253257602107516,2.4217993050861226,2.4213104214900176,3,100,j
45,SURE-PM random,2.421144266909336,2.425553768521666,2.4217936565592,2.4213044650684385,3,100,j
46,SURE-PM random,2.42114119431941,2.4257360775964782,2.421787633990314,2.421312626830227,3,100,j
47,SURE-PM random,2.421130844623428,2.4250702999882248,2.4217168703659073,2.421282591713304,3,100,j
48,SURE-PM random,2.4211412034179323,2.4247476499589578,2.421749454081559,2.4212997442209887,3,100,j
49,SURE-PM random,2.42115063699538,2.4246854030186267,2.4217203010579222,2.4212885878732,3,100,j
50,SURE-PM random,2.4211410500506934,2.4249896251302703,2.4217559201916328,2.421299277569015,3,100,j
51,SURE-PM random,2.4211479057320098,2.425191285184365,2.421737658367213,2.4212917020802123,3,100,j
52,NPMLE,33.500576385478794,,,,4,100,j
53,SURE-PM uniform,1.9349316185060537,1.9430889653456744,1.9370545089670554,1.9355723347331888,4,100,j
54,SURE-PM NPMLEinit,1.9343877861894907,1.934496692896288,1.9344158199790025,1.9343956646352398,4,100,j
55,SURE-PM random,1.9349465709596245,1.9429057940856331,1.936987146335075,1.9355980453219388,4,100,j
56,SURE-PM random,1.9350631330548789,1.9427125576750666,1.9367891868424374,1.935490383158723,4,100,j
57,SURE-PM random,1.9348590834586263,1.9432725782382057,1.9369852677565689,1.9355457214318665,4,100,j
58,SURE-PM random,1.9351780640834841,1.9438161992368532,1.9372023605864264,1.935679901540285,4,100,j
59,SURE-PM random,1.9351620438100803,1.943649248221668,1.937236590823047,1.9357184452210605,4,100,j
60,SURE-PM random,1.9349653144690615,1.9424161535625286,1.936863114184124,1.9355961857579393,4,100,j
61,SURE-PM random,1.935051430150279,1.9423996242451234,1.9367033682973658,1.9354443064390967,4,100,j
62,SURE-PM random,1.9348887558739398,1.9430092831157924,1.9370074493954303,1.935556856505756,4,100,j
63,SURE-PM random,1.934915580391653,1.9427544571703335,1.9370046899762645,1.9355810570839436,4,100,j
64,SURE-PM random,1.9349387892635956,1.942806954135549,1.937003324234629,1.935611470326063,4,100,j
65,NPMLE,23.521727380486812,,,,5,100,j
66,SURE-PM uniform,2.032994625143329,2.0372857107354396,2.0337054842408095,2.0331838472509336,5,100,j
67,SURE-PM NPMLEinit,2.0340247763744954,2.0342838166115227,2.0340982324497605,2.0340461351925985,5,100,j
68,SURE-PM random,2.0329911700292254,2.0374159809918484,2.0337349858498164,2.033174330534719,5,100,j
69,SURE-PM random,2.0329946022957888,2.0377472229076425,2.0337655857360035,2.03321181246961,5,100,j
70,SURE-PM random,2.03300648245397,2.0382930218552477,2.033787375697875,2.033207860647936,5,100,j
71,SURE-PM random,2.033036604716934,2.0390891576547374,2.033915341979886,2.033232715376576,5,100,j
72,SURE-PM random,2.0329937950237156,2.0383507061338952,2.033747584723205,2.033187906505573,5,100,j
73,SURE-PM random,2.033006112638919,2.0391440628482367,2.033969667849819,2.0332286496341982,5,100,j
74,SURE-PM random,2.033000505665529,2.0388870539234887,2.033820291909405,2.03320534461916,5,100,j
75,SURE-PM random,2.0329996270072668,2.0378880609472,2.0337621987899555,2.0331955797048495,5,100,j
76,SURE-PM random,2.0330026947614415,2.0377060430456204,2.0337668943562623,2.0331920889851034,5,100,j
77,SURE-PM random,2.032994582696022,2.0370522672387295,2.0336579455375245,2.033175750392218,5,100,j
78,NPMLE,29.20715422715193,,,,6,100,j
79,SURE-PM uniform,2.0438155451738975,2.047374928443202,2.044413160994877,2.0439642111465743,6,100,j
