,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter
0,NPMLE,35.559624073607104,,,
1,SURE-PM uniform,2.559737080458195,3.837526863617732,2.6435582673364793,2.56012573909855
2,SURE-PM NPMLEinit,2.559511724181164,2.5595489194537167,2.55952103682034,2.559514204690461
3,SURE-PM random,2.5597348806451263,3.8386648409683555,2.6421690911694777,2.5601052199975656
4,SURE-PM random,2.5597275060449505,3.8365682998252946,2.6471567610407165,2.560098481296306
5,SURE-PM random,2.5597153068666723,3.8418577998761005,2.6469778677523577,2.5600468024051595
6,SURE-PM random,2.559745921093581,3.838970898814836,2.6505739407444566,2.560146961962674
7,SURE-PM random,2.559747079602545,3.8365217041040176,2.6474416958445586,2.560153426606992
8,SURE-PM random,2.559738151472348,3.839531263612889,2.6482804638928967,2.5601180181544994
9,SURE-PM random,2.5597243522245146,3.835401204009602,2.6375007673367628,2.560089863402033
10,SURE-PM random,2.559740566804069,3.836992265750426,2.6414689471591184,2.5601307982686645
11,SURE-PM random,2.559755766575307,3.83810439135885,2.6437881656703683,2.5601589396896323
12,SURE-PM random,2.559729719552566,3.83976185689831,2.653477480499203,2.560107347514974
13,NPMLE,40.18722146680334,,,
14,SURE-PM uniform,2.6924097945029257,3.1168407498508737,2.716409995765681,2.6938454820408104
15,SURE-PM NPMLEinit,2.6916216171091834,2.691702700209506,2.6916440256648775,2.6916280526492424
16,SURE-PM random,2.6923868905087263,3.111085395243183,2.714437477457559,2.6937175825106645
17,SURE-PM random,2.692381219246945,3.114146589516714,2.7155847396717534,2.693762141050038
18,SURE-PM random,2.692355219203281,3.1188825082762763,2.7151235265546165,2.6936775080588338
19,SURE-PM random,2.6923994051738136,3.119647475355721,2.716501735554086,2.6938453949340215
20,SURE-PM random,2.692415803288698,3.1172459441274283,2.716137958308334,2.6938498562762847
21,SURE-PM random,2.692416427281845,3.119924622725191,2.716949376691101,2.6938566924550047
22,SURE-PM random,2.692444243058742,3.1174598988552886,2.7165517481017387,2.693928378128752
23,SURE-PM random,2.6923670543371556,3.1175166914399868,2.7153874916266183,2.6937141765292676
24,SURE-PM random,2.6922891673234948,3.1133306008372985,2.7139141734497163,2.693502747735154
25,SURE-PM random,2.6922904547429507,3.1156664032654273,2.71413586311583,2.6934949537267903
26,NPMLE,43.42757099908536,,,
27,SURE-PM uniform,2.557837564663148,3.263825001178162,2.6280921672939157,2.5599717743530426
28,SURE-PM NPMLEinit,2.548913110487871,2.54918040809681,2.548961038006287,2.548925337406771
29,SURE-PM random,2.555024210828508,3.260696559886353,2.6199082557907967,2.5585338728765725
30,SURE-PM random,2.5578531490272813,3.261355582390979,2.6253038693743815,2.5597019968880748
31,SURE-PM random,2.5580009786979225,3.2750507432116125,2.627634584968338,2.559932574546002
32,SURE-PM random,2.5579605964631695,3.2581001571154014,2.625716764734184,2.5598093455951823
33,SURE-PM random,2.5580310232449177,3.262477637040066,2.6268536500015305,2.5600126367520306
34,SURE-PM random,2.5580892238188606,3.2796972678891745,2.628032150930317,2.560148173290712
35,SURE-PM random,2.555617358352971,3.2751070363891053,2.6230488727930936,2.5590742091366643
36,SURE-PM random,2.5552588132320637,3.263256620443866,2.62223627317008,2.558980825639968
37,SURE-PM random,2.557993293394176,3.2586679386557593,2.6261032050180244,2.559912081689084
38,SURE-PM random,2.558013393871889,3.2777298406948705,2.6275920233119963,2.559944241574791
39,NPMLE,49.09336259344807,,,
40,SURE-PM uniform,2.2982503325189896,3.548385224451963,2.311076768586478,2.2991912005962716
41,SURE-PM NPMLEinit,2.297481736011674,2.2975671972626173,2.2975026651443886,2.297487557107819
42,SURE-PM random,2.2981272308200436,3.528179748585562,2.3095886805560646,2.2989034431069673
43,SURE-PM random,2.298139126445652,3.5440430998533543,2.310498519026439,2.2989342695138397
44,SURE-PM random,2.298278598260546,3.552494497262828,2.311641304318164,2.2992599709837065
45,SURE-PM random,2.298198985211261,3.5440386707887694,2.310837617740566,2.299074003371584
46,SURE-PM random,2.29816950934223,3.552152017480038,2.3108792164003775,2.299018036412824
47,SURE-PM random,2.2983748633714516,3.5633879419047707,2.3127126479832625,2.2994902768216523
48,SURE-PM random,2.298283444816275,3.555231753001722,2.3118548150384606,2.29929635700738
49,SURE-PM random,2.2983355794269515,3.557922646945226,2.3120653465022794,2.299388141439781
50,SURE-PM random,2.2981568390883083,3.54150936384965,2.3102672321794673,2.2989848256563707
51,SURE-PM random,2.298265732172399,3.5491351705233387,2.311603476352268,2.299254965749318
52,NPMLE,34.80492197051821,,,
53,SURE-PM uniform,2.6345232061715502,3.0867265226410643,2.9290220873723296,2.6485582283708275
54,SURE-PM NPMLEinit,2.6333642473927146,2.633436264713921,2.6333796340496987,2.6333683148986267
55,SURE-PM random,2.6343113541899585,3.0810756656440152,2.9279045957782146,2.6411710776285395
56,SURE-PM random,2.6344074703969182,3.0834883796787222,2.928121223459934,2.6462950673260432
57,SURE-PM random,2.6346371775539557,3.089346998918411,2.9292801866451463,2.6654837970060057
58,SURE-PM random,2.634369558834355,3.0842750095804807,2.928141178578808,2.655542781356346
59,SURE-PM random,2.6346300432271708,3.0867235204645906,2.929273863093547,2.6618004516072142
60,SURE-PM random,2.6345498862438923,3.091326244420072,2.929578250134773,2.642120657195942
61,SURE-PM random,2.6347995462571374,3.0878733224788038,2.9292889795215795,2.746919779879613
62,SURE-PM random,2.634668733168921,3.0889614183398897,2.9293455062574707,2.6734954058793154
63,SURE-PM random,2.634267419459975,3.08355780121017,2.9272938739696794,2.639799255729572
64,SURE-PM random,2.634368936040042,3.0866472491403374,2.9278581567060407,2.6409424749767028
65,NPMLE,25.704772587419143,,,
66,SURE-PM uniform,2.6457979230568305,3.108447265049611,2.8049699016443927,2.708004433900773
