,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter,m,n,experiment
0,NPMLE,35.55958195466947,,,,0,200,j
1,SURE-PM uniform,3.352662672175814,13.719883229715055,10.465413191999637,7.946845636725157,0,200,j
2,SURE-PM NPMLEinit,2.7095297200771613,3.0984747006164417,3.0196499287961633,2.951116715757469,0,200,j
3,SURE-PM random,3.332155900024988,13.614690641311405,10.390402392699645,7.902154338187429,0,200,j
4,SURE-PM random,3.3297876726549775,13.539159052369401,10.319943681766588,7.8346963696691,0,200,j
5,SURE-PM random,3.3566151969195976,13.889798062773247,10.59291620901513,8.033847467256983,0,200,j
6,SURE-PM random,3.3661177360726,13.909611833907311,10.60733283681638,8.050691259785937,0,200,j
7,SURE-PM random,3.3415244542677085,13.721666643880035,10.46908519555749,7.954409620329884,0,200,j
8,SURE-PM random,3.317823164547304,13.661344715237162,10.40739622919302,7.892671830988488,0,200,j
9,SURE-PM random,3.348682409198653,13.683531295600496,10.439159520722047,7.930039534453433,0,200,j
10,SURE-PM random,3.326256948725724,13.743138624209028,10.479526968373301,7.945929340307179,0,200,j
11,SURE-PM random,3.3339379598855343,13.727818658420174,10.476753135204143,7.963578459168798,0,200,j
12,SURE-PM random,3.3410616810488665,13.895600541576204,10.599840921656623,8.042703894302559,0,200,j
13,NPMLE,40.19114648960966,,,,1,200,j
14,SURE-PM uniform,3.1332790989474133,11.79989334956202,8.833547976645606,6.679033665585328,1,200,j
15,SURE-PM NPMLEinit,2.765950724041107,3.0288953856603564,2.96415476119205,2.915660880747481,1,200,j
16,SURE-PM random,3.1207809689314514,11.68079779163257,8.74600926210874,6.6214064700733095,1,200,j
17,SURE-PM random,3.0949500579745086,11.607593636402022,8.684440185592196,6.56658365306507,1,200,j
18,SURE-PM random,3.138331028952107,11.977363467491621,8.963771351452001,6.761348932446033,1,200,j
19,SURE-PM random,3.1354104833681107,12.004768815550527,8.983119092357567,6.776813089159695,1,200,j
20,SURE-PM random,3.1462845132754764,11.825891348877745,8.861550563390876,6.7133160217441805,1,200,j
21,SURE-PM random,3.1325550595742264,11.753818339534103,8.804746126587354,6.6602760696941985,1,200,j
22,SURE-PM random,3.1388711092465904,11.764208657682792,8.809394528378345,6.663568489945008,1,200,j
23,SURE-PM random,3.134583455823615,11.824800008032224,8.851736590061675,6.689462600568629,1,200,j
24,SURE-PM random,3.145991295317353,11.816380793816977,8.850724434063029,6.701595507270597,1,200,j
25,SURE-PM random,3.1409299367086327,11.993545504222919,8.975649717916246,6.77470134368157,1,200,j
26,NPMLE,43.43066230041012,,,,2,200,j
27,SURE-PM uniform,3.1897909326001024,15.964869281836519,12.003725939895908,8.843722802250863,2,200,j
28,SURE-PM NPMLEinit,2.583599416757402,2.8968687172160674,2.8138100500645318,2.7487208911033303,2,200,j
29,SURE-PM random,3.188006476682821,15.834212672994273,11.9007767660132,8.766450363563022,2,200,j
30,SURE-PM random,3.1670322161584488,15.751196286675581,11.831540019784198,8.712119683335844,2,200,j
31,SURE-PM random,3.2044658673242417,16.173218348091183,12.171898930410153,8.97105604722467,2,200,j
32,SURE-PM random,3.210338030389863,16.193193260422987,12.180370124377404,8.975470002568956,2,200,j
33,SURE-PM random,3.198281146890247,15.92860417140224,11.967416388320084,8.821011851605567,2,200,j
34,SURE-PM random,3.172316422056489,15.900639044931545,11.954527367158125,8.806645395779746,2,200,j
35,SURE-PM random,3.180135454379364,15.927632686938322,11.980866454704028,8.830812815329038,2,200,j
36,SURE-PM random,3.1727414051913114,16.004220407106576,12.036326636516973,8.863574943581876,2,200,j
37,SURE-PM random,3.1965249677941303,15.973455956284557,12.00836593605601,8.84731426738584,2,200,j
38,SURE-PM random,3.1956345408861284,16.18045216409676,12.180663253756352,8.986871095102439,2,200,j
39,NPMLE,49.09336281023787,,,,3,200,j
40,SURE-PM uniform,3.108878304198208,15.501226357301888,12.186121451889958,9.438529411632372,3,200,j
41,SURE-PM NPMLEinit,2.3677376529454794,2.6710173807074535,2.594587538482998,2.5336895678760483,3,200,j
42,SURE-PM random,3.092902371852166,15.39147369632407,12.105038353464614,9.378832291241908,3,200,j
43,SURE-PM random,3.082105319893635,15.307658243551785,12.030688177017428,9.31687087228095,3,200,j
44,SURE-PM random,3.12524842881038,15.664779997285642,12.3098415681616,9.528386373923404,3,200,j
45,SURE-PM random,3.1254591429503282,15.701357993217005,12.340726904786948,9.556347682281425,3,200,j
46,SURE-PM random,3.115870468217347,15.508671095384443,12.180067989749993,9.429962930607775,3,200,j
47,SURE-PM random,3.0846081774076675,15.442662247397827,12.13591042525294,9.392765285344112,3,200,j
48,SURE-PM random,3.10535145900762,15.477840585731736,12.177061595425998,9.440606844603648,3,200,j
49,SURE-PM random,3.087729184802522,15.519449973293911,12.196723617638224,9.44144474709281,3,200,j
50,SURE-PM random,3.1086894555197957,15.530865155850588,12.215064318501796,9.464658306404312,3,200,j
51,SURE-PM random,3.1208098151264947,15.682916104499979,12.32643212105676,9.545850178995943,3,200,j
52,NPMLE,34.8048211144827,,,,4,200,j
53,SURE-PM uniform,3.124424607645792,13.497979727063875,10.161491766104582,7.58205305084395,4,200,j
54,SURE-PM NPMLEinit,2.684067562236894,2.982699659340319,2.9139768437754334,2.8559008575796714,4,200,j
55,SURE-PM random,3.1087946183138695,13.376886743765867,10.070808646263849,7.520291745667869,4,200,j
56,SURE-PM random,3.0912629999489423,13.307589317787153,10.01181059375198,7.464939732496828,4,200,j
57,SURE-PM random,3.132466531664445,13.67892235686536,10.298737901401177,7.676619511968292,4,200,j
58,SURE-PM random,3.129357715789703,13.708668814984787,10.3168199399734,7.686412431777107,4,200,j
59,SURE-PM random,3.1476100076668674,13.494403936141243,10.1589981843285,7.58263466472546,4,200,j
60,SURE-PM random,3.121838034357529,13.442522619746502,10.121074700349347,7.545707988143691,4,200,j
61,SURE-PM random,3.1358074369395683,13.464809327234661,10.140835848646079,7.569947122134486,4,200,j
62,SURE-PM random,3.101813423485803,13.524266842806382,10.183950689641605,7.601793206379425,4,200,j
63,SURE-PM random,3.1233081955008517,13.513863383161322,10.18232315595719,7.610279835108426,4,200,j
64,SURE-PM random,3.1375227823143486,13.681365792847476,10.299902737398487,7.683307623350502,4,200,j
65,NPMLE,25.704887547334607,,,,5,200,j
66,SURE-PM uniform,3.157274404572433,11.168025578766006,8.397309267294368,6.31630111946763,5,200,j
67,SURE-PM NPMLEinit,2.71198518971282,3.03471061695414,2.9497660330069806,2.8886787042627695,5,200,j
68,SURE-PM random,3.1467200340513437,11.067156765785246,8.32294203489387,6.263626542100972,5,200,j
69,SURE-PM random,3.136197526502834,10.992685893163344,8.261805098134095,6.2157210119880055,5,200,j
70,SURE-PM random,3.1605262805651244,11.318408621737245,8.506837794952519,6.388742106665063,5,200,j
71,SURE-PM random,3.1572900501185943,11.346938816657858,8.52891017363691,6.407537994790048,5,200,j
72,SURE-PM random,3.1698455178946183,11.175154945828428,8.399693918354892,6.321898353851464,5,200,j
73,SURE-PM random,3.154385972207603,11.12396140849293,8.366056698057216,6.291438710589052,5,200,j
74,SURE-PM random,3.1623082895056602,11.148974081209396,8.392236642768575,6.3223910224883575,5,200,j
75,SURE-PM random,3.139831274570784,11.18865231788307,8.412698195575127,6.322318564256486,5,200,j
76,SURE-PM random,3.1529223058183917,11.191411374834908,8.420153001404037,6.3372940793967105,5,200,j
77,SURE-PM random,3.1635682122098348,11.336441737973013,8.527943518571414,6.4127415858861925,5,200,j
78,NPMLE,25.80220858434593,,,,6,200,j
79,SURE-PM uniform,3.386800028109261,13.849915140455742,10.707373730981011,8.214368501291977,6,200,j
80,SURE-PM NPMLEinit,2.6225219632013146,2.9186699167658876,2.8526600215191307,2.797274658961893,6,200,j
81,SURE-PM random,3.3724801997836393,13.739609125525554,10.62441749069531,8.157317544535072,6,200,j
82,SURE-PM random,3.3565387352342317,13.668033724661859,10.560906724800066,8.097532150715343,6,200,j
83,SURE-PM random,3.384244681855877,14.015257980510905,10.833261334365334,8.303708070967893,6,200,j
84,SURE-PM random,3.3908994190114505,14.041920425215576,10.85214194554474,8.317697227381402,6,200,j
85,SURE-PM random,3.3980757594198985,13.85332194668937,10.709286502905034,8.220797166682557,6,200,j
86,SURE-PM random,3.3862429597183756,13.79895258659701,10.66449329444592,8.172677678892818,6,200,j
87,SURE-PM random,3.3880628650971913,13.817995079573034,10.685992407538484,8.201279691595722,6,200,j
88,SURE-PM random,3.3668015919374272,13.873952651402734,10.725136014860777,8.224593451115307,6,200,j
89,SURE-PM random,3.3845062254645826,13.86581170651928,10.725545009022635,8.236211077664835,6,200,j
90,SURE-PM random,3.400362862234989,14.023043822810518,10.840226648350217,8.312582657343322,6,200,j
91,NPMLE,29.095590405965922,,,,7,200,j
92,SURE-PM uniform,3.355782050831722,12.196730238802257,9.232416506095626,6.976089248744119,7,200,j
93,SURE-PM NPMLEinit,2.7881265146587784,3.0399590363144102,2.9665748187011705,2.912698750240301,7,200,j
94,SURE-PM random,3.3517185316378404,12.093188382196972,9.15001870805309,6.911898301643752,7,200,j
95,SURE-PM random,3.3556242408047625,12.024497346139556,9.094912752577947,6.869990009785775,7,200,j
