,n,experiment,MSE_misspec,MSE_NPMLEinit,MSE_NPMLE,SURE_misspec,SURE_NPMLEinit,SURE_NPMLE,data,NPMLE_lower_SURE,seed
0,100,c,0.055886224806487174,0.05576209406571281,0.08548577005616365,-0.014750457967540313,-0.014756042211355194,0.4851994839829215,train,False,1800
1,100,d,0.004055044872172605,0.004055161641876723,0.006250629676038752,-0.0006080390337199759,-0.000608151181474792,0.04617081294189159,train,False,1800
2,100,e,0.20168881171170783,0.20932988169190392,0.23424518906215464,0.11577604943517172,0.11787219543006487,0.3045548935657816,train,False,1800
3,400,c,0.06034568916821741,0.060421693946451416,0.06378782522854792,0.06064953490180251,0.06060867772440979,0.6215711153954473,train,False,1800
4,400,d,0.004444049104291927,0.004443897526018613,0.004457605010385227,-0.007362605366408026,-0.007362515597615467,0.07962162523290722,train,False,1800
5,400,e,0.2004263238327333,0.20042721622268853,0.27787379015531305,0.16346066696346392,0.1634550389998217,0.2893838931663978,train,False,1800
0,100,c,0.06828590452302526,0.06829673258807452,0.05824688252952703,0.046525498403667175,0.046504349983973584,0.7327967080971078,train,False,1801
1,100,d,0.00896039207214938,0.008960484363689607,0.004705368586098878,-0.018442529110912532,-0.01844265152537819,0.019508051378455064,train,False,1801
2,100,e,0.2507913913882866,0.2507986597356191,0.3601724418594639,0.16522868391608447,0.1652192143298442,0.26055188594630624,train,False,1801
3,400,c,0.06311170729066608,0.06311655712228693,0.0907505863118393,0.02739844469168368,0.027393342237084683,0.7124957191762517,train,False,1801
4,400,d,0.005610485411608984,0.00561893619241852,0.0040994390618238254,0.0022057253277968413,0.0022034419652619875,0.015156021794242882,train,False,1801
5,400,e,0.17808694697552852,0.1780936964916992,0.2760903680813279,0.1591500949170309,0.1591412609392765,0.3285495870860561,train,False,1801
0,100,c,0.06006879682067345,0.06007152611979782,0.054732608972213874,0.1117082514783138,0.11170345312092451,0.8495354607521608,train,False,1802
1,100,d,0.004707605287535614,0.004726219383453289,0.004795482605305548,-0.0008391198483492879,-0.0008541137022818646,0.09769198864291213,train,False,1802
2,100,e,0.18809000704160395,0.18792742789340636,0.22652037196109273,0.10305050547936852,0.10301813845422032,0.330758544024236,train,False,1802
3,400,c,0.06250148876745264,0.06585271459971277,0.09108493634917009,0.07538451073048798,0.07395079378138164,0.7887256398220928,train,False,1802
4,400,d,0.006080429942125893,0.00608069561841038,0.007079876228225845,0.0010634203332097237,0.0010631560583410327,0.0032526073620932116,train,False,1802
5,400,e,0.18339586819608605,0.18339830791863043,0.2891811557971264,0.1659747562724251,0.1659725798698065,0.2836876624240704,train,False,1802
0,100,c,0.07037199560217239,0.07040064030128215,0.07316637146354552,0.052907293598999275,0.05289222868171628,0.9022376022408816,train,False,1803
1,100,d,0.01880961570946321,0.018791925503868063,0.005304728005244102,0.015418553727266976,0.01542154910905193,0.17198027893245324,train,False,1803
2,100,e,0.25689720049585407,0.2568969137705054,0.3293475148336279,0.10968019138416402,0.10967440925905172,0.33435821534712323,train,False,1803
3,400,c,0.07396500594768393,0.07349115805681594,0.09566144954915594,0.007353554488073684,0.007344210765833595,0.33638588698935523,train,False,1803
4,400,d,0.004618326793488732,0.004625169683022188,0.004408065185673072,0.005312130896361182,0.005306522445495236,0.058699533284216156,train,False,1803
5,400,e,0.16972762312632128,0.1697259461952247,0.26147854034100976,0.17487840105954114,0.17487859903978084,0.36848606442414483,train,False,1803
0,100,c,0.06996341587866851,0.06996985300456286,0.11792290506447115,0.07453734660667066,0.07453449651779138,0.2634870389312331,train,False,1804
