,theta_grid_EB_misspec_c_location_scale,theta_grid_EB_NPMLEinit_c_location_scale,theta_grid_NPMLE_c_location_scale,pi_hat_EB_misspec_c_location_scale,pi_hat_EB_NPMLEinit_c_location_scale,pi_hat_NPMLE_c_location_scale,theta_grid_EB_misspec_c_median_scale,theta_grid_EB_NPMLEinit_c_median_scale,theta_grid_NPMLE_c_median_scale,pi_hat_EB_misspec_c_median_scale,pi_hat_EB_NPMLEinit_c_median_scale,pi_hat_NPMLE_c_median_scale,theta_grid_EB_misspec_c_location_IQR,theta_grid_EB_NPMLEinit_c_location_IQR,theta_grid_NPMLE_c_location_IQR,pi_hat_EB_misspec_c_location_IQR,pi_hat_EB_NPMLEinit_c_location_IQR,pi_hat_NPMLE_c_location_IQR,theta_grid_EB_misspec_c_median_IQR,theta_grid_EB_NPMLEinit_c_median_IQR,theta_grid_NPMLE_c_median_IQR,pi_hat_EB_misspec_c_median_IQR,pi_hat_EB_NPMLEinit_c_median_IQR,pi_hat_NPMLE_c_median_IQR,theta_grid_EB_misspec_d_location_scale,theta_grid_EB_NPMLEinit_d_location_scale,theta_grid_NPMLE_d_location_scale,pi_hat_EB_misspec_d_location_scale,pi_hat_EB_NPMLEinit_d_location_scale,pi_hat_NPMLE_d_location_scale,theta_grid_EB_misspec_d_median_scale,theta_grid_EB_NPMLEinit_d_median_scale,theta_grid_NPMLE_d_median_scale,pi_hat_EB_misspec_d_median_scale,pi_hat_EB_NPMLEinit_d_median_scale,pi_hat_NPMLE_d_median_scale,theta_grid_EB_misspec_d_location_IQR,theta_grid_EB_NPMLEinit_d_location_IQR,theta_grid_NPMLE_d_location_IQR,pi_hat_EB_misspec_d_location_IQR,pi_hat_EB_NPMLEinit_d_location_IQR,pi_hat_NPMLE_d_location_IQR,theta_grid_EB_misspec_d_median_IQR,theta_grid_EB_NPMLEinit_d_median_IQR,theta_grid_NPMLE_d_median_IQR,pi_hat_EB_misspec_d_median_IQR,pi_hat_EB_NPMLEinit_d_median_IQR,pi_hat_NPMLE_d_median_IQR,theta_grid_EB_misspec_e_location_scale,theta_grid_EB_NPMLEinit_e_location_scale,theta_grid_NPMLE_e_location_scale,pi_hat_EB_misspec_e_location_scale,pi_hat_EB_NPMLEinit_e_location_scale,pi_hat_NPMLE_e_location_scale,theta_grid_EB_misspec_e_median_scale,theta_grid_EB_NPMLEinit_e_median_scale,theta_grid_NPMLE_e_median_scale,pi_hat_EB_misspec_e_median_scale,pi_hat_EB_NPMLEinit_e_median_scale,pi_hat_NPMLE_e_median_scale,theta_grid_EB_misspec_e_location_IQR,theta_grid_EB_NPMLEinit_e_location_IQR,theta_grid_NPMLE_e_location_IQR,pi_hat_EB_misspec_e_location_IQR,pi_hat_EB_NPMLEinit_e_location_IQR,pi_hat_NPMLE_e_location_IQR,theta_grid_EB_misspec_e_median_IQR,theta_grid_EB_NPMLEinit_e_median_IQR,theta_grid_NPMLE_e_median_IQR,pi_hat_EB_misspec_e_median_IQR,pi_hat_EB_NPMLEinit_e_median_IQR,pi_hat_NPMLE_e_median_IQR,theta_grid_EB_misspec_f_location_scale,theta_grid_EB_NPMLEinit_f_location_scale,theta_grid_NPMLE_f_location_scale,pi_hat_EB_misspec_f_location_scale,pi_hat_EB_NPMLEinit_f_location_scale,pi_hat_NPMLE_f_location_scale,theta_grid_EB_misspec_f_median_scale,theta_grid_EB_NPMLEinit_f_median_scale,theta_grid_NPMLE_f_median_scale,pi_hat_EB_misspec_f_median_scale,pi_hat_EB_NPMLEinit_f_median_scale,pi_hat_NPMLE_f_median_scale,theta_grid_EB_misspec_f_location_IQR,theta_grid_EB_NPMLEinit_f_location_IQR,theta_grid_NPMLE_f_location_IQR,pi_hat_EB_misspec_f_location_IQR,pi_hat_EB_NPMLEinit_f_location_IQR,pi_hat_NPMLE_f_location_IQR,theta_grid_EB_misspec_f_median_IQR,theta_grid_EB_NPMLEinit_f_median_IQR,theta_grid_NPMLE_f_median_IQR,pi_hat_EB_misspec_f_median_IQR,pi_hat_EB_NPMLEinit_f_median_IQR,pi_hat_NPMLE_f_median_IQR
0,-0.11080408,-2.0373378,-2.4978765548991246,0.004206905,0.0,0.0,-1.3520873,-2.623273,-2.4978765548991246,1.1931538e-05,0.0,0.0,-0.28925097,-1.1282682,-2.4978765548991246,0.00026769054,0.0,0.0,-1.5557605,-1.5557605,-2.4978765548991246,1.0284454e-05,0.0,0.0,0.0046710074,-0.8760796,-1.28858661603023,0.001880941,0.0,0.0,-0.5310987,-1.1236653,-1.28858661603023,3.812764e-06,0.0,0.0,-0.27884007,-1.113247,-1.28858661603023,0.00023604682,0.0,0.0,-0.7254483,-0.7097736,-1.28858661603023,1.5249618e-06,0.0,0.0,-4.5582995,-4.555873,-4.192758426463271,0.0010541744,2.6123353e-10,4.1786255195453507e-10,-4.5637455,-4.5376716,-4.192758426463271,0.0011598967,2.424171e-10,4.1786255195453507e-10,-1.6631293,-1.6226654,-4.192758426463271,0.0344671,2.6987934e-10,4.1786255195453507e-10,-2.2113595,-2.2113595,-4.192758426463271,0.0044656955,2.8828762e-10,4.1786255195453507e-10,0.20566732,-0.8129386,-0.7470447223898116,0.0023318466,0.0,0.0,-0.9251217,-1.7477031,-0.7470447223898116,9.736648e-06,0.0,0.0,-0.33347607,-0.92898226,-0.7470447223898116,2.0411364e-05,0.0,0.0,-1.4154377,-1.4154377,-0.7470447223898116,8.831593e-06,0.0,0.0
1,-0.09183186,-1.9763056,-2.4252667572579765,0.004640179,0.0,0.0,-0.3535531,-2.5446355,-2.4252667572579765,9.471477e-05,0.0,0.0,-0.19876981,-1.094481,-2.4252667572579765,0.000672419,0.0,0.0,-0.31750643,-1.5096889,-2.4252667572579765,0.000115816154,0.0,0.0,0.01362887,-0.8692331,-1.2529018170765982,0.0019653444,0.0,0.0,-0.46114132,-1.0911709,-1.2529018170765982,4.6499076e-06,0.0,0.0,-0.14015257,-1.104771,-1.2529018170765982,0.0005295469,0.0,0.0,-0.43500334,-0.70408434,-1.2529018170765982,3.1765933e-06,0.0,0.0,-4.5079684,-4.5361776,-4.112548938962587,8.64486e-05,5.381854e-09,4.570673013053278e-09,-1.7499914,-4.526719,-4.112548938962587,4.7070822e-05,4.953165e-09,4.570673013053278e-09,-1.6519065,-1.6203177,-4.112548938962587,0.001147897,6.010227e-09,4.570673013053278e-09,-2.1394844,-2.2094114,-4.112548938962587,0.00011101243,5.79303e-09,4.570673013053278e-09,0.2060669,-0.77252805,-0.7121504473759452,0.0025943783,0.0,0.0,0.10168775,-1.6700511,-0.7121504473759452,8.407784e-05,0.0,0.0,0.12571764,-0.88396657,-0.7121504473759452,0.00011047683,0.0,0.0,-0.17828152,-1.3510815,-0.7121504473759452,1.5470954e-05,0.0,0.0
2,-0.07408303,-1.9152733,-2.3526569596168283,0.0048738318,0.0,0.0,-0.2627714,-2.4659984,-2.3526569596168283,0.00018392554,0.0,0.0,-0.16066504,-1.0606939,-2.3526569596168283,0.0011441535,0.0,0.0,-0.23497245,-1.4636171,-2.3526569596168283,0.00025056722,0.0,0.0,0.021781415,-0.8623866,-1.2172170181229665,0.0020535586,0.0,0.0,-0.40720904,-1.0586765,-1.2172170181229665,5.3745057e-06,0.0,0.0,-0.09056181,-1.0962949,-1.2172170181229665,0.00067755074,0.0,0.0,-0.34698892,-0.69839513,-1.2172170181229665,4.342087e-06,0.0,0.0,-1.5849273,-4.5164824,-4.032339451461904,0.00020582601,0.0007488084,0.0002978539148720861,-1.6303471,-4.515766,-4.032339451461904,0.00012160378,0.0007478993,0.0002978539148720861,-1.6233139,-1.61797,-4.032339451461904,0.00056239776,0.04197418,0.0002978539148720861,-1.8400215,-2.2074635,-4.032339451461904,0.00010615138,0.005250968,0.0002978539148720861,0.20640221,-0.73211753,-0.677256172362079,0.0028654046,0.0,0.0,0.14198509,-1.5923991,-0.677256172362079,0.00013169898,0.0,0.0,0.1545394,-0.8389509,-0.677256172362079,0.00016617055,0.0,0.0,0.06980784,-1.2867255,-0.677256172362079,4.280223e-05,0.0,0.0
3,-0.056796253,-1.854241,-2.28004716197568,0.004928633,0.0,0.0,-0.21664451,-2.3873608,-2.28004716197568,0.00029767465,0.0,0.0,-0.13477886,-1.0269067,-2.28004716197568,0.0016784124,0.0,0.0,-0.19376735,-1.4175454,-2.28004716197568,0.00043823212,0.0,0.0,0.029221147,-0.85554004,-1.1815322191693345,0.0021455905,0.0,0.0,-0.3622964,-1.0261819,-1.1815322191693345,6.0063508e-06,0.0,0.0,-0.05868411,-1.0878189,-1.1815322191693345,0.0007865196,0.0,0.0,-0.29332125,-0.69270587,-1.1815322191693345,5.319017e-06,0.0,0.0,-1.5157984,-4.402484,-3.9521299639612195,0.00063235324,5.1373283e-10,8.929408515757686e-10,-1.57973,-4.401793,-3.9521299639612195,0.00021325881,4.4325568e-10,8.929408515757686e-10,-1.5465224,-1.5931437,-3.9521299639612195,0.00039425015,6.2803907e-10,8.929408515757686e-10,-1.7173715,-2.1687768,-3.9521299639612195,0.00015274432,6.4383027e-10,8.929408515757686e-10,0.2066907,-0.691707,-0.6423618973482127,0.0031460873,0.0,0.0,0.15921836,-1.5147471,-0.6423618973482127,0.0001765439,0.0,0.0,0.16759962,-0.7939353,-0.6423618973482127,0.00021965054,0.0,0.0,0.12207299,-1.2223693,-0.6423618973482127,6.9481e-05,0.0,0.0
4,-0.039477706,-1.793209,-2.207437364334532,0.004850139,0.0,0.0,-0.18576796,-2.3087237,-2.207437364334532,0.0004456382,0.0,0.0,-0.11405456,-0.9931196,-2.207437364334532,0.0022371816,0.0,0.0,-0.16611548,-1.3714738,-2.207437364334532,0.00069156033,0.0,0.0,0.036025867,-0.8486935,-1.1458474202157027,0.002241502,0.0,0.0,-0.32323077,-0.9936875,-1.1458474202157027,6.565074e-06,0.0,0.0,-0.034814626,-1.0793427,-1.1458474202157027,0.0008805662,0.0,0.0,-0.25378633,-0.6870166,-1.1458474202157027,6.175183e-06,0.0,0.0,-1.4848914,-4.2884846,-3.8719204764605357,0.0012546647,0.0,0.0,-1.5477821,-4.2878175,-3.8719204764605357,0.00032708884,0.0,0.0,-1.378599,-1.5683174,-3.8719204764605357,0.0003701759,0.0,0.0,-1.6544148,-2.13009,-3.8719204764605357,0.00021045262,0.0,0.0,0.20694384,-0.6512965,-0.6074676223343465,0.0034372685,0.0,0.0,0.16928743,-1.4370953,-0.6074676223343465,0.00022146871,0.0,0.0,0.17549914,-0.7489196,-0.6074676223343465,0.00027404638,0.0,0.0,0.14559425,-1.1580132,-0.6074676223343465,9.7081174e-05,0.0,0.0
5,-0.021781147,-1.7321767,-2.1348275666933842,0.0046889847,0.0,0.0,-0.16236693,-2.2300863,-2.1348275666933842,0.00063657993,0.0,0.0,-0.09595585,-0.95933235,-2.1348275666933842,0.0027665705,0.0,0.0,-0.14487258,-1.325402,-2.1348275666933842,0.0010155186,0.0,0.0,0.042261556,-0.84184694,-1.110162621262071,0.0023413892,0.0,0.0,-0.28832406,-0.9611931,-1.110162621262071,7.068395e-06,0.0,0.0,-0.01573658,-1.0708667,-1.110162621262071,0.0009686157,0.0,0.0,-0.22200698,-0.6813274,-1.110162621262071,6.9414486e-06,0.0,0.0,-1.4642227,-4.1744843,-3.791710988959852,0.0020749276,0.0,0.0,-1.5242347,-4.173842,-3.791710988959852,0.00047047436,0.0,0.0,-1.2255101,-1.5434911,-3.791710988959852,0.00041719858,0.0,0.0,-1.6129462,-2.0914035,-3.791710988959852,0.00027598257,0.0,0.0,0.20716938,-0.610886,-0.5725733473204802,0.003739567,0.0,0.0,0.17604756,-1.3594432,-0.5725733473204802,0.00026751205,0.0,0.0,0.18092728,-0.7039039,-0.5725733473204802,0.00033037018,0.0,0.0,0.15927751,-1.0936571,-0.5725733473204802,0.00012619482,0.0,0.0
6,-0.0034566522,-1.6711446,-2.062217769052236,0.0044882577,0.0,0.0,-0.14328927,-2.151449,-2.062217769052236,0.000878495,0.0,0.0,-0.0792526,-0.9255452,-2.062217769052236,0.0032153567,0.0,0.0,-0.1271794,-1.2793304,-2.062217769052236,0.0014034058,0.0,0.0,0.047984436,-0.83500046,-1.0744778223084392,0.0024454312,0.0,0.0,-0.2565785,-0.9286986,-1.0744778223084392,7.531173e-06,0.0,0.0,5.2511692e-05,-1.0623907,-1.0744778223084392,0.001054614,0.0,0.0,-0.1951832,-0.67563814,-1.0744778223084392,7.640022e-06,0.0,0.0,-1.4480686,-4.060485,-3.7115015014591677,0.003083671,0.0,0.0,-1.5053698,-4.059867,-3.7115015014591677,0.00065303454,0.0,0.0,-1.1341059,-1.5186651,-3.7115015014591677,0.00048940076,0.0,0.0,-1.5817711,-2.0527167,-3.7115015014591677,0.00034853065,0.0,0.0,0.20737284,-0.57047546,-0.5376790723066138,0.004053465,0.0,0.0,0.18096873,-1.2817912,-0.5376790723066138,0.00031525598,0.0,0.0,0.18494171,-0.65888834,-0.5376790723066138,0.0003891218,0.0,0.0,0.1683481,-1.0293009,-0.5376790723066138,0.00015708151,0.0,0.0
7,0.01566881,-1.6101123,-1.989607971411088,0.00427931,0.0,0.0,-0.12695104,-2.0728118,-1.989607971411088,0.0011769091,0.0,0.0,-0.06323123,-0.8917581,-1.989607971411088,0.003551436,0.0,0.0,-0.11160651,-1.2332587,-1.989607971411088,0.0018336896,0.0,0.0,0.053242728,-0.8281539,-1.0387930233548073,0.002553915,0.0,0.0,-0.22735937,-0.8962042,-1.0387930233548073,7.965223e-06,0.0,0.0,0.013399333,-1.0539145,-1.0387930233548073,0.0011405621,0.0,0.0,-0.1718477,-0.6699489,-1.0387930233548073,8.288643e-06,0.0,0.0,-1.4342942,-3.9464853,-3.631292013958484,0.00425008,0.0,0.0,-1.4894413,-3.9458914,-3.631292013958484,0.00088673516,0.0,0.0,-1.0773875,-1.4938385,-3.631292013958484,0.0005756514,0.0,0.0,-1.5564241,-2.01403,-3.631292013958484,0.0004272454,0.0,0.0,0.20755833,-0.53006494,-0.5027847972927475,0.004379313,0.0,0.0,0.18475,-1.2041394,-0.5027847972927475,0.00036509367,0.0,0.0,0.18805736,-0.61387265,-0.5027847972927475,0.00045069106,0.0,0.0,0.17485784,-0.96494484,-0.5027847972927475,0.00018986211,0.0,0.0
8,0.03569573,-1.54908,-1.9169981737699398,0.004082091,0.0,0.0,-0.11243988,-1.9941742,-1.9169981737699398,0.0015317126,0.0,0.0,-0.04742253,-0.85797083,-1.9169981737699398,0.0037680916,0.0,0.0,-0.09732953,-1.187187,-1.9169981737699398,0.0022713502,0.0,0.0,0.058078095,-0.82130736,-1.0031082244011755,0.002667247,0.0,0.0,-0.20023832,-0.8637097,-1.0031082244011755,8.379834e-06,0.0,0.0,0.02483949,-1.0454385,-1.0031082244011755,0.0012276057,0.0,0.0,-0.1511402,-0.6642597,-1.0031082244011755,8.901869e-06,0.0,0.0,-1.4218323,-3.832486,-3.5510825264578,0.0054974435,0.0,0.0,-1.475491,-3.8319163,-3.5510825264578,0.0011856557,0.0,0.0,-1.0386779,-1.4690125,-3.5510825264578,0.000674653,0.0,0.0,-1.5347315,-1.9753433,-3.5510825264578,0.0005107285,0.0,0.0,0.20772892,-0.48965442,-0.4678905222788813,0.0047174073,0.0,0.0,0.18777099,-1.1264874,-0.4678905222788813,0.00041731485,0.0,0.0,0.19056034,-0.56885695,-0.4678905222788813,0.00051551417,0.0,0.0,0.17978704,-0.9005887,-0.4678905222788813,0.00022459222,0.0,0.0
9,0.056649327,-1.4880478,-1.8443883761287916,0.0039081187,0.0,0.0,-0.099175535,-1.915537,-1.8443883761287916,0.0019329988,0.0,0.0,-0.031489253,-0.8241836,-1.8443883761287916,0.0038788777,0.0,0.0,-0.08382035,-1.1411153,-1.8443883761287916,0.0026756008,0.0,0.0,0.06252651,-0.8144609,-0.9674234254475438,0.002786006,0.0,0.0,-0.17491332,-0.83121526,-0.9674234254475438,8.781705e-06,0.0,0.0,0.034738928,-1.0369624,-0.9674234254475438,0.0013165424,0.0,0.0,-0.13251418,-0.65857047,-0.9674234254475438,9.491338e-06,0.0,0.0,-1.4100204,-3.7184863,-3.4708730389571163,0.00668024,0.0,0.0,-1.462934,-3.7179406,-3.4708730389571163,0.0015647872,0.0,0.0,-1.0102255,-1.4441862,-3.4708730389571163,0.0007873946,0.0,0.0,-1.5154848,-1.9366566,-3.4708730389571163,0.0005969618,0.0,0.0,0.20788693,-0.4492439,-0.432996247265015,0.0050680293,0.0,0.0,0.1902572,-1.0488353,-0.432996247265015,0.00047211951,0.0,0.0,0.19262433,-0.52384126,-0.432996247265015,0.0005841964,0.0,0.0,0.1836664,-0.83623254,-0.432996247265015,0.0002612983,0.0,0.0
