,experiment,variance,use_location,use_scale,Z,NPMLE,thetaG,misspec,NPMLEinit,wellspec,surels,truth
0,g,0.2,False,True,148.78876808599534,0.0,5.09855077261139e-308,0.0,0.0,0.0,0.0,0.0
1,g,0.2,False,True,148.79852312019256,0.0,4.638842460698034e-308,0.0,0.0,0.0,0.0,0.0
2,g,0.2,False,True,148.8082781543898,0.0,4.2205568083423393e-308,0.0,0.0,0.0,0.0,0.0
3,g,0.2,False,True,148.818033188587,0.0,3.83996377955666e-308,0.0,0.0,0.0,0.0,0.0
4,g,0.2,False,True,148.82778822278422,0.0,3.4936690039850214e-308,0.0,0.0,0.0,0.0,0.0
5,g,0.2,False,True,148.83754325698143,0.0,3.1785835899807356e-308,0.0,0.0,0.0,0.0,0.0
6,g,0.2,False,True,148.84729829117867,0.0,2.891896650668612e-308,0.0,0.0,0.0,0.0,0.0
7,g,0.2,False,True,148.8570533253759,0.0,2.631050299330308e-308,0.0,0.0,0.0,0.0,0.0
8,g,0.2,False,True,148.8668083595731,0.0,2.3937168923210607e-308,0.0,0.0,0.0,0.0,0.0
9,g,0.2,False,True,148.8765633937703,0.0,2.177778317638891e-308,0.0,0.0,0.0,0.0,0.0
10,g,0.2,False,True,148.88631842796755,0.0,1.981307145361672e-308,0.0,0.0,0.0,0.0,0.0
11,g,0.2,False,True,148.89607346216476,0.0,1.802549472707047e-308,0.0,0.0,0.0,0.0,0.0
12,g,0.2,False,True,148.90582849636198,0.0,1.6399093114494657e-308,0.0,0.0,0.0,0.0,0.0
13,g,0.2,False,True,148.9155835305592,0.0,1.4919343791211125e-308,0.0,0.0,0.0,0.0,0.0
14,g,0.2,False,True,148.92533856475643,0.0,1.3573031678597724e-308,0.0,0.0,0.0,0.0,0.0
15,g,0.2,False,True,148.93509359895364,0.0,1.234813176094414e-308,0.0,0.0,0.0,0.0,0.0
16,g,0.2,False,True,148.94484863315085,0.0,1.123370198558607e-308,0.0,0.0,0.0,0.0,0.0
17,g,0.2,False,True,148.95460366734807,0.0,1.0219785795320007e-308,0.0,0.0,0.0,0.0,0.0
18,g,0.2,False,True,148.9643587015453,0.0,9.29732342726848e-309,0.0,0.0,0.0,0.0,0.0
19,g,0.2,False,True,148.97411373574252,0.0,8.458071190245555e-309,0.0,0.0,0.0,0.0,0.0
20,g,0.2,False,True,148.98386876993973,0.0,7.69452800344874e-309,0.0,0.0,0.0,0.0,0.0
21,g,0.2,False,True,148.99362380413694,0.0,6.999868543743424e-309,0.0,0.0,0.0,0.0,0.0
22,g,0.2,False,True,149.00337883833419,0.0,6.36788240735031e-309,0.0,0.0,0.0,0.0,0.0
23,g,0.2,False,True,149.0131338725314,0.0,5.79291874527728e-309,0.0,0.0,0.0,0.0,0.0
24,g,0.2,False,True,149.0228889067286,0.0,5.2698358802717e-309,0.0,0.0,0.0,0.0,0.0
25,g,0.2,False,True,149.03264394092585,0.0,4.793955457391665e-309,0.0,0.0,0.0,0.0,0.0
26,g,0.2,False,True,149.04239897512306,0.0,4.361020720524193e-309,0.0,0.0,0.0,0.0,0.0
27,g,0.2,False,True,149.05215400932028,0.0,3.96715854375989e-309,0.0,0.0,0.0,0.0,0.0
