,experiment,variance,use_location,use_scale,Z,NPMLE,thetaG,misspec,NPMLEinit,wellspec,surels,truth
0,j,1,False,True,830.2095637787747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,j,1,False,True,830.2313766983625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,j,1,False,True,830.2531896179504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,j,1,False,True,830.2750025375382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,j,1,False,True,830.2968154571261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,j,1,False,True,830.3186283767138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,j,1,False,True,830.3404412963016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,j,1,False,True,830.3622542158895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,j,1,False,True,830.3840671354773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,j,1,False,True,830.4058800550652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,j,1,False,True,830.4276929746529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,j,1,False,True,830.4495058942407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,j,1,False,True,830.4713188138286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,j,1,False,True,830.4931317334164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,j,1,False,True,830.5149446530042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,j,1,False,True,830.536757572592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,j,1,False,True,830.5585704921798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,j,1,False,True,830.5803834117677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,j,1,False,True,830.6021963313555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,j,1,False,True,830.6240092509432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,j,1,False,True,830.6458221705311,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,j,1,False,True,830.6676350901189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,j,1,False,True,830.6894480097068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,j,1,False,True,830.7112609292946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,j,1,False,True,830.7330738488823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,j,1,False,True,830.7548867684702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
