,theta_grid_EB_misspec_e_location_scale,theta_grid_EB_NPMLEinit_e_location_scale,theta_grid_NPMLE_e_location_scale,pi_hat_EB_misspec_e_location_scale,pi_hat_EB_NPMLEinit_e_location_scale,pi_hat_NPMLE_e_location_scale,theta_grid_EB_misspec_e_median_scale,theta_grid_EB_NPMLEinit_e_median_scale,theta_grid_NPMLE_e_median_scale,pi_hat_EB_misspec_e_median_scale,pi_hat_EB_NPMLEinit_e_median_scale,pi_hat_NPMLE_e_median_scale,theta_grid_EB_misspec_e_location_IQR,theta_grid_EB_NPMLEinit_e_location_IQR,theta_grid_NPMLE_e_location_IQR,pi_hat_EB_misspec_e_location_IQR,pi_hat_EB_NPMLEinit_e_location_IQR,pi_hat_NPMLE_e_location_IQR,theta_grid_EB_misspec_e_median_IQR,theta_grid_EB_NPMLEinit_e_median_IQR,theta_grid_NPMLE_e_median_IQR,pi_hat_EB_misspec_e_median_IQR,pi_hat_EB_NPMLEinit_e_median_IQR,pi_hat_NPMLE_e_median_IQR
0,-3.139225,-3.7638602,-3.9235320332739994,0.0009402486,0.0,0.0,-2.6637368,-3.7845922,-3.9235320332739994,0.0022755421,0.0,0.0,-1.8479013,-1.8426436,-3.9235320332739994,0.018852543,0.0,0.0,-2.1787767,-2.1787767,-3.9235320332739994,0.01072577,0.0,0.0
1,-2.8437226,-3.7395246,-3.8467596892265923,0.00042829066,0.0,0.0,-2.4694204,-3.761409,-3.8467596892265923,0.00070727075,0.0,0.0,-1.836426,-1.8420094,-3.8467596892265923,0.000406385,0.0,0.0,-2.1520467,-2.177897,-3.8467596892265923,0.0002383447,0.0,0.0
2,-2.22828,-3.7151887,-3.7699873451791857,0.00097462983,0.0,0.0,-2.284492,-3.7382262,-3.7699873451791857,0.00088163966,0.0,0.0,-1.8092413,-1.8413752,-3.7699873451791857,0.00017492392,0.0,0.0,-2.090948,-2.1770172,-3.7699873451791857,0.000113952694,0.0,0.0
3,-2.0456412,-3.690853,-3.6932150011317786,0.004780551,0.0,0.0,-2.1706927,-3.7150433,-3.6932150011317786,0.0014203651,0.0,0.0,-1.7424073,-1.840741,-3.6932150011317786,0.00010433127,0.0,0.0,-1.959973,-2.1761377,-3.6932150011317786,7.868072e-05,0.0,0.0
4,-1.9488481,-3.6665173,-3.616442657084372,0.0039600213,0.0,0.0,-2.0863507,-3.6918604,-3.616442657084372,0.0017808022,0.0,0.0,-1.5628259,-1.8401068,-3.616442657084372,8.097364e-05,0.0,0.0,-1.7316955,-2.175258,-3.616442657084372,6.9311645e-05,0.0,0.0
5,-1.8310975,-3.6421816,-3.539670313036965,0.00086208445,0.0,0.0,-2.0068088,-3.6686773,-3.539670313036965,0.0013500991,0.0,0.0,-1.2849637,-1.8394727,-3.539670313036965,8.8915185e-05,0.0,0.0,-1.4886104,-2.1743782,-3.539670313036965,7.239261e-05,0.0,0.0
6,-1.6421916,-3.617846,-3.4628979689895583,0.000381027,7.185463e-11,3.4984717983090256e-10,-1.9154351,-3.6454942,-3.4628979689895583,0.0008404689,1.4982815e-10,3.4984717983090256e-10,-1.1111954,-1.8388385,-3.4628979689895583,0.000111446585,8.778319e-11,3.4984717983090256e-10,-1.3100153,-2.1734986,-3.4628979689895583,8.164501e-05,7.876928e-11,3.4984717983090256e-10
7,-1.3933282,-3.5935102,-3.386125624942151,0.00028504553,3.0608504e-08,4.179666069292373e-08,-1.7967699,-3.6223114,-3.386125624942151,0.00054847647,8.674264e-08,4.179666069292373e-08,-1.0121306,-1.8382043,-3.386125624942151,0.00013920624,3.237614e-08,4.179666069292373e-08,-1.189,-2.1726189,-3.386125624942151,9.42525e-05,3.0553938e-08,4.179666069292373e-08
8,-1.2046468,-3.5691743,-3.3093532808947446,0.00029736565,0.0009476848,0.00042662967062573836,-1.6380076,-3.5991275,-3.3093532808947446,0.0004059456,0.00094435946,0.00042662967062573836,-0.94887125,-1.8375701,-3.3093532808947446,0.00017015006,0.0014042729,0.00042662967062573836,-1.1042343,-2.171739,-3.3093532808947446,0.0001091244,0.0027433995,0.00042662967062573836
9,-1.0880482,-3.4888685,-3.2325809368473375,0.0003432844,1.3079177e-09,4.842296483294958e-09,-1.4522622,-3.5173585,-3.2325809368473375,0.00035328954,2.990571e-09,4.842296483294958e-09,-0.90452814,-1.8369726,-3.2325809368473375,0.00020393613,1.7071337e-09,4.842296483294958e-09,-1.0418088,-2.1707685,-3.2325809368473375,0.00012585128,1.4547957e-09,4.842296483294958e-09
