,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,c,0.087554539305207,0.08512230521970547,0.008745589392184035,0.08512918196314302,0.14247993061502742,0.06977449172238868,-0.07876856132944998,0.01325172489206814,-0.012492988541258812,0.013243449256559998,0.781805852138668,0.0467988649066261,train
1,100,False,True,d,0.006394960669076996,0.006914740403499537,0.0007210829553593406,0.006914781716424493,0.007102348037117381,0.0069145319568184975,-0.015442845638411425,-0.00013708319086610743,-0.009577073138161389,-0.0001373724740160043,0.0898440732123798,0.002454019851249628,train
2,100,False,True,e,0.17945581817722375,0.1487565954469547,0.1577079887239475,0.14876660784860973,0.3456580935522423,0.2722334378018223,0.08552327655263035,0.1088485423784746,0.14843441557411988,0.10883912122042798,0.36969102355177413,0.228242397462185,train
3,100,False,True,f,0.07659997768299256,0.05876685186994682,0.003378865504252166,0.05876633133524498,0.06874776365336903,0.05863586182796566,-0.12849702989755685,-0.043333547672455806,-0.08103371922299595,-0.04334445428933876,0.4719322976004041,-0.027295703127579785,train
4,200,False,True,c,0.05603543433441223,0.059330422630687184,0.006811643250786954,0.05933062505000402,0.0631953000219388,0.05866567268791204,-0.051167926580018314,0.013840206658581308,-0.017182297863137044,0.013836032426749157,0.6304437889780549,0.020275645400303965,train
5,200,False,True,d,0.06380354714097958,0.021543231648641248,0.020209538443170295,0.02154478243493845,0.010141416720720539,0.013999270489986077,-0.016767604092575196,0.0362005197277038,0.02618685109236509,0.036199432448914416,0.07397351705583086,0.043195506557793015,train
6,200,False,True,e,0.21130981194443543,0.22528973063286709,0.20912256417241643,0.2252915030348682,0.30677266741092546,0.27497756809696855,0.1296331104446131,0.14235721087148726,0.14540139887899284,0.14235299180403557,0.34983665959766985,0.2364874617313638,train
7,200,False,True,f,0.09487516485286292,0.06456642474537956,0.005224733542285947,0.06456603041324328,0.07717433942752584,0.05328184865030141,-0.004594876993088372,0.06333102017524758,0.03090668859105672,0.06331833672207011,0.9072153184241404,0.07982194409740823,train
8,400,False,True,c,0.06758356631614007,0.0643340104638639,0.020731717505875377,0.06435557024006848,0.0771223526031621,0.05224831353923301,-0.02146562715469952,0.10116660128806715,0.026274497237208313,0.101163672276287,0.9029815504138168,0.11594591003476212,train
9,400,False,True,d,0.00729653649350593,0.004982866283920282,0.004454278039150888,0.00498210142577377,0.004606593827995875,0.004959125343286021,-0.014267294012697251,0.003944337068884032,-0.01121129760623833,0.003943824009905779,0.04877330356526716,0.004586754021755901,train
10,400,False,True,e,0.2097002598497147,0.21732374181278039,0.16527519225361545,0.21985106127606105,0.3167676501762442,0.2411632669631436,0.17081932973976238,0.15926628195193027,0.14187176373923624,0.15952576538831464,0.29661928248631175,0.23075422999646097,train
11,400,False,True,f,0.01528405377256763,0.06564778994078013,0.05827423142536416,0.0656512673745572,0.05819097841751116,0.053134733426422845,-0.02562329758783234,0.041648374352951975,0.05141483430722678,0.041634414356062875,0.9148776994037113,0.0556150307019439,train
12,800,False,True,c,0.03904133762172675,0.054938607959668796,0.001160008521239198,0.07337261254400984,0.09243945418885126,0.0573804072921483,-0.09970298955214414,0.00026668120146766227,-0.06987093656764494,-0.010800265331847926,0.8219978624794961,0.0034200881302743347,train
13,800,False,True,d,0.00851172183489257,0.008591005199669285,0.002233982126072657,0.00859292321709853,0.008283145083105637,0.006418435729282632,0.006943239295696824,0.006939311047740748,-0.0002528368589162239,0.006930884928664493,0.10536241507566346,0.00914357606810462,train
14,800,False,True,e,0.13560758104097936,0.15194128238678514,0.13377981546905535,0.15194084795693927,0.23899720796519966,0.21797082868605316,0.13172898561708396,0.14556896995286664,0.14182715033444498,0.14556306478252742,0.3032788993330048,0.22993596071721664,train
15,800,False,True,f,0.007844566386311046,0.06234388622772575,0.006765064289955384,0.06234583276839453,0.0900644249529781,0.06484941069051717,-0.009806711490524533,0.025392062722079202,-0.007125836549714264,0.025386541089946205,0.845621486873646,0.03024638962347448,train
16,1600,False,True,c,0.018479466319423255,0.053083198991125326,0.0015027177453503194,0.06069230281484408,0.07700123900062229,0.05315655072226237,-0.002784342526313507,0.06546314520229238,0.01569348417426994,0.060298171017889715,0.890658466111237,0.06976300619386167,train
17,1600,False,True,d,0.007093589572071617,0.006882387914364279,0.0005933880714394913,0.006810230308384961,0.006799308533053836,0.005620807949626074,-0.0011615535962357629,0.011564510470227845,0.005091355854253735,0.011488394280014394,0.12026694736775279,0.01244055236584242,train
18,1600,False,True,e,0.15850583862620607,0.17831881836050315,0.15204037621449087,0.1783380993917706,0.2666419991503293,0.24082952917129094,0.13125653199269732,0.14754341258414294,0.13820936953655516,0.14753590023373783,0.3667610119412623,0.23030809763155985,train
19,1600,False,True,f,0.0043106212179669446,0.05908190925510961,0.000921002823262383,0.059081511424481536,0.08030082233761515,0.05550835476325509,-0.01614020205674471,0.0351366667118171,-0.012985122151567276,0.035124789088124685,0.8464151795049442,0.046393450282165294,train
20,3200,False,True,c,0.0025715605661299806,0.053374239442138476,0.000751358720240371,0.05383911425990214,0.07849482214039742,0.05554040377733272,-0.010828935814742485,0.039631404671300816,-0.008763505568242956,0.03927258106126324,0.6132497448757186,0.0412682324532051,train
21,3200,False,True,d,0.0002133829796102357,0.005237693155237956,0.0002856948767446113,0.005247340026695985,0.00560238188776121,0.00525117085925065,-0.005012819005149335,-0.0001679226936644618,-0.004938673865082588,-0.00016089160833104187,0.14203424321791058,-8.21048502916838e-05,train
22,3200,False,True,e,0.152687156948605,0.17053836359505042,0.15068061825948345,0.1705322752739741,0.26082230272549656,0.23370345336841228,0.14691901073318206,0.1688713581604663,0.14894544576894309,0.16886094814379327,0.3657963163480759,0.23225297118661448,train
23,3200,False,True,f,0.002027774061703365,0.06254685256343305,0.001455243640147392,0.06254302147415502,0.07419579084989122,0.054378020504476876,0.0033403512823133646,0.05389488627547493,0.005741412391374048,0.05388618708507451,0.9516315633812659,0.06667712324314523,train
24,6400,False,True,c,0.0011804651387406632,0.053859772695938675,0.0011950548938484847,0.05385938315326675,0.07356040249491472,0.05484937150401843,0.00199553596508823,0.0572379865414564,0.004988291033878145,0.05724073600055562,0.7380073724605416,0.06042711941528922,train
25,6400,False,True,d,0.0003413306574091916,0.0052641380292040504,0.00029002301551965385,,,0.005225852478393819,0.0012403710270976706,0.006122664486511092,0.0016831383644988999,,,0.006190826126247342,train
26,6400,False,True,e,0.15429192416338747,0.17304780924292465,0.15198544906399586,0.17423900136933898,0.26947784346184744,0.23684163964220425,0.15059243231895594,0.1702198059001048,0.15136902938666313,0.17074783984036607,0.3969156197769594,0.233952725247977,train
27,6400,False,True,f,0.000685486390214562,0.05937455476528829,0.0005076008157635543,0.05937395061473674,0.07875941423645764,0.05456337718799335,-0.004660824280829169,0.045646174929986856,-0.004430560545650605,0.04563263746114551,0.90313411387374,0.05727554981686794,train
28,100,False,True,c,0.031491354744175665,0.05222999247172071,0.008745589392184035,0.052232032705795774,0.8570523072562026,0.07075066293526842,-0.09800557307380016,-0.07111250686679135,-0.23242787740445905,-0.07109208478596997,0.7528259164143634,-0.15135516043939434,test
29,100,False,True,d,0.008451870571022996,0.006195153102862532,0.0007210829553593406,0.006195319469069895,0.0837988739721022,0.00790062555017352,0.011280092239093579,0.010534241564184442,0.00015661122502083735,0.010534380059457718,0.060045461741604224,0.008435911057282641,test
30,100,False,True,e,0.17410752982947653,0.22094808809174882,0.1577079887239475,0.2209666218652143,0.42078885280128975,0.21575889695558137,0.15382060449635945,0.14049206880922685,0.16805031396428569,0.14045857312635524,0.506597741495609,0.23554590475903442,test
31,100,False,True,f,0.0947924763807493,0.05730431503716853,0.003378865504252166,0.05729923862342457,0.6499243361216641,0.06465438279842042,0.21024458347786038,0.15811955473033082,0.07884983862189471,0.15809973612686024,0.764919503198398,0.1445198133533926,test
32,200,False,True,c,0.05448872766430135,0.056074762626564426,0.006811643250786954,0.056074106366469534,0.6715928128495088,0.07629300021425442,0.107174134032842,0.09713071641156333,0.057346613531893874,0.09712879799647368,0.5256228242812085,0.08905044857280536,test
33,200,False,True,d,0.09590594050085186,0.017482059430958374,0.020209538443170295,0.01748337007918895,0.01712713743352625,0.005539323137397113,0.0646458843594406,0.01578377799648935,0.014196274871269864,0.015784384218147894,0.016377166538844037,0.004717528509643215,test
