,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,g,0.10547185846469176,0.18762483467668928,0.2331266619820114,0.18786159168741393,0.1853631812080373,0.2500100197768661,-0.018478421710308987,0.11206019108015142,0.23674805800805082,0.11204708716261223,1.3525781469147744,0.25487283757353485,train
1,100,False,True,h,0.567222393801436,0.4534047946944142,0.3869492884263152,0.4653671776858743,0.39176384000184195,0.3454647112059226,0.059630840510251255,0.23081297017954747,0.3450164415444372,0.27321183582615427,1.023341287089034,0.3793629249316327,train
2,100,False,True,i,2.205657646653535,1.7695772973411792,2.2503010148679827,1.797468818857034,1.724099478649285,1.5252233421416899,-1.3533686155844833,1.1167786830785031,0.30103166684908145,1.1529408916463586,4.739322586733339,1.5998017834086786,train
3,100,False,True,j,1.2734449111960122,2.5859071589179394,1.140011652649351,2.586199850149041,3.4037548842416214,3.233858715401636,0.04778109558862937,1.7538509143047332,0.2364490266322315,1.7537487201533275,29.403890431145673,3.1691320241157777,train
4,200,False,True,g,0.07703673826155809,0.20074134306259464,0.27820219496456283,0.19629805867363018,0.2289935769725944,0.29923537120642113,0.06307125546901901,0.15666953423959692,0.24937018677231187,0.16288983562531084,0.9331138526854861,0.26123478897211855,train
5,200,False,True,h,0.4044422163150982,0.361032382322678,0.35621461177850045,0.36123501416510806,0.34149296685521546,0.34613232287251333,0.23248560310605318,0.323718294749266,0.38653655735699427,0.32370728190131104,1.1641811364628223,0.43603626387869693,train
6,200,False,True,i,2.491285155979992,2.1141574573122814,2.0952974055020963,2.1140632896296188,2.050246825156397,1.9902272433469168,0.8122778240128611,1.4952017051764193,1.0284431530707498,1.4951596250470938,6.318816569158783,1.6690920707376002,train
7,200,False,True,j,1.329743477283221,3.0495500728239118,1.0733410668812653,3.051342503779624,3.241997604972782,3.0263269880937633,0.8469324138376692,2.7475245115176326,1.238763918780056,2.747321378950145,25.69285979179397,3.422235774416952,train
8,400,False,True,g,0.04419352453415968,0.20299669490152966,0.26737586014040277,0.2035980664915493,0.20747067545346226,0.28131928436866205,0.026178602869507295,0.14559569912775544,0.2592357353687112,0.14558840186102437,1.8669718875459096,0.27462547296672196,train
9,400,False,True,h,0.4236519301541849,0.36510864841987517,0.36502925217441445,0.36508739981447513,0.3687287129954401,0.3945139832466026,0.26532470221035465,0.3449815392992736,0.3742878087910356,0.3449743089275089,1.134756350263289,0.4014250230289851,train
10,400,False,True,i,2.0220636713969653,1.744013874232803,1.6095553714431334,1.7440277363347223,1.725812416417873,1.649319802051386,0.4602214207817974,1.5155190579191926,1.452673779315758,1.5154873361587629,6.173717491275451,1.6269388230274122,train
11,400,False,True,j,0.8242213835203736,2.8135148024909533,0.8191884652217151,2.81340863886199,3.050658794011311,2.988302801780282,0.6983211047324918,2.7698121454163043,0.7607744527797388,2.770001586791853,39.648831483130195,3.332226834003485,train
12,800,False,True,g,0.05792902570217322,0.1772982349429017,0.2618949089610389,0.1773232235884657,0.1866857521657224,0.27731709490546325,0.03183563408836434,0.15275922203352674,0.2604086559422211,0.1527375209136117,1.923577123119825,0.2753718545844393,train
13,800,False,True,h,0.3880267207900127,0.3627965925376191,0.36641963871245603,0.36105837986037087,0.36394714922203014,0.37696978090241245,0.2551691068005669,0.3374968588035727,0.3649447579609543,0.3374637821765091,1.2117608892794385,0.39705079639660845,train
14,800,False,True,i,1.970674111155076,1.6892495406003203,1.4140431087784302,1.6891705392380327,1.6847150844060579,1.6104571410425812,0.9699271655232575,1.5087761431326936,1.2312103423737113,1.5087059653226897,7.108382039110697,1.611385671678613,train
15,800,False,True,j,1.0104725683745253,2.982886615473473,0.8788018227240957,2.982699076880069,3.3475076407617133,3.2928574233938157,0.4487478946725395,2.7379844965573295,0.5844713563256726,2.73826856470575,39.370260450066056,3.3130596670605073,train
16,1600,False,True,g,0.04163457602209213,0.17119573732637045,0.25111542134722203,0.17118353294814753,0.17777167811977146,0.26416481245594026,0.022962947710124765,0.13957138458431878,0.2625586215778402,0.13954362220994937,1.6172737866713485,0.2763334462557764,train
17,1600,False,True,h,0.36263359093861,0.36670898758524345,0.3674042377113529,0.36663766951099375,0.37937884629343643,0.4018098162402351,0.3181900128228737,0.34454317658284267,0.35922504819728823,0.3445094980373253,1.3638298688087263,0.38739431355915543,train
