,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,MSE_EBCF,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,c,0.11379016413815438,0.15510923105715604,0.05632656693039901,0.1555222550583223,0.08927983043486509,0.11051055223360626,0.10867207397282252,0.0910932184414687,0.15275641939269732,0.134684097631123,0.15274777995101985,0.7293384600307554,0.2131207194318962,train
1,200,False,True,c,0.016170161326393647,0.05259051985737823,0.006745862928292716,0.052694625851292275,0.08731582824775617,0.05732481267146449,0.025500634926282167,-0.02445327864645254,0.04651669894545314,-0.008663165997746778,0.04644006617061365,0.7635219326588136,0.054656818896562265,train
2,400,False,True,c,0.03480355881187611,0.05154986059837481,0.0047842081016497345,0.05175501157089195,0.0760458131029886,0.05289863615860812,0.00585584644795296,-0.030122082886108795,0.025688230784446375,-0.014796330690081287,0.025586659847977415,0.7438789981333952,0.031208897936128355,train
3,800,False,True,c,0.006088067252823587,0.05758850751545485,0.00239033862553309,0.07205843717057578,0.0717251332613691,0.05731047815591827,0.014647901145570155,0.007693564438955342,0.05347372982715555,0.011935967427999667,0.05204754262333225,0.7840219134551865,0.0579022550596589,train
4,100,False,True,c,0.10347268090551306,0.1353614195490873,0.05632656693039901,0.1357720367052905,0.6299168378521912,0.07702058573230991,0.02165331607483925,0.13719415775628427,0.14029276386605,0.09471187435256594,0.1404864920304595,0.5275749931732154,0.10210785130591499,test
5,200,False,True,c,0.015008346659772074,0.05939414477060085,0.006745862928292716,0.059454477132985836,0.7828468252659145,0.0568698555462223,0.031277171022021176,0.012716760353512005,0.05142627345137676,0.02009712012200101,0.05141399579437781,0.8045756451724074,0.05763332876759819,test
6,400,False,True,c,0.02373587993005783,0.0583991777181487,0.0047842081016497345,0.058361661458742206,0.7347157686639716,0.05910778817891946,0.006182792280282073,0.003427484213488328,0.018396239642169264,-0.02494349359336302,0.018478937349003816,0.7920609576876524,0.02022541100662545,test
7,800,False,True,c,0.005553932946211931,0.05379283932679394,0.00239033862553309,0.05532444531547779,0.7688185386303538,0.05561076958102374,0.05439348097965744,0.014462502644119732,0.06520363830495725,0.014316131645533808,0.07970489019805413,0.7842209385405033,0.0714525577021331,test
0,100,False,True,c,0.11809386440635429,0.16358064524102198,0.026846275382544554,0.16112369083001427,0.09607684634962535,0.06494793805704772,0.02783441911259571,0.012106534272054957,0.07572448861875763,0.08753765643022066,0.07552519171264471,0.9096707449125914,0.1504086245340528,train
1,200,False,True,c,0.02964088349556607,0.05618596590740646,0.001985503912653862,0.05648476217952859,0.0850245233294607,0.05525500014624895,0.01024910694957037,-0.049616540542178865,0.021024163054578722,-0.03293029453912414,0.02087309325510894,0.5913855228092691,0.028911636046920652,train
2,400,False,True,c,0.005724055560632806,0.050686730370184396,0.0032057516276418415,0.05067093144103243,0.06762946223124017,0.05069177391783828,0.01065647967325523,0.003429152853586055,0.0779287543738205,0.011416404200702383,0.07794549287244351,1.0787430195410919,0.08560654074973656,train
3,800,False,True,c,0.002459798507759604,0.05464070749468361,0.00344266404535452,0.0546398996558727,0.08453127414796381,0.05834282813488095,0.008037862843574892,0.00222022493092762,0.04931509019274635,0.0038614814828536793,0.049322959060630826,0.4559931064979901,0.05357172565061785,train
4,100,False,True,c,0.07571471969650992,0.06074474502606977,0.026846275382544554,0.057430964545670565,0.8001557399386761,0.07339580110570432,0.002476456087063769,0.02504388389468918,0.07825247803362217,-0.012178831681526206,0.07631206498857993,0.7482553779243056,0.015913071818462576,test
5,200,False,True,c,0.003916834834732269,0.05237525079528491,0.001985503912653862,0.05272816410197881,0.5946981276885474,0.05519268752876344,0.0047753780112972525,-0.0757332140956218,0.024136654394551798,-0.07242570786447673,0.024070068244808524,0.630675836884089,0.02848191211763451,test
6,400,False,True,c,0.006269104811480147,0.05554769800603257,0.0032057516276418415,0.055542356749116804,0.9982562588022865,0.05547632569512089,0.0028559554628820776,0.028957125745843863,0.08345400483844756,0.026483979411709956,0.08341991094108962,1.128062338178295,0.08164609127779904,test
7,800,False,True,c,0.002353787499524992,0.05543132808490527,0.00344266404535452,0.05542687993757827,0.5134392055786344,0.05587343656127563,0.0031017146330056156,-0.019647844019990514,0.03601518758662884,-0.017172143006998094,0.036039690895512067,0.48619441128744073,0.036936950001919266,test
0,100,False,True,c,0.00838932333955767,0.061350622403600966,0.008231448859472704,0.06134849934828983,0.08594689625321651,0.06187584520072102,0.01823786891477832,-0.03896102798856521,-0.007205899253149113,-0.03697509514134221,-0.007219237356062109,0.5582944655198915,0.004242017494708816,train
1,200,False,True,c,0.033310238552928195,0.0531572439671391,0.0014234620638641155,0.0531577356817913,0.07842002805076558,0.05484359095140034,0.023565898915630056,-0.004547866169173884,0.058290866356603674,0.01683006610408623,0.058289917222125,0.6969268060899779,0.07134686652367273,train
2,400,False,True,c,0.009200122732091512,0.0549765647851026,0.004518010996867554,0.054892834090246506,0.09443857888064888,0.060881328528005686,0.011304571097234685,0.016113764258781825,0.07631041114742423,0.022519451837648186,0.07627590474445334,0.591575612785812,0.08398437655672275,train
3,800,False,True,c,0.0004261919640097325,0.05368290546089938,0.001695124666584652,0.05368319479770317,0.07493869548018377,0.05527628453605022,0.002213346947273099,0.00785034911483946,0.05319050866522048,0.009878884293628659,0.0531875028493603,0.6433086353377905,0.05868257989106668,train
4,100,False,True,c,0.009348108104792044,0.06363711973100726,0.008231448859472704,0.0636311962268465,0.7445593235948046,0.0601023681935881,0.035483134071565184,-0.05802565423058992,-0.00859921347657476,-0.05617691491105622,-0.008615173977232047,0.641989625890119,-0.0040464451827031955,test
5,200,False,True,c,0.020765713037621255,0.0584901393165274,0.0014234620638641155,0.05849117283397489,0.6881071795669914,0.06148949679453884,0.0021747431819247797,-0.011996396616010912,0.008509310040428772,-0.06285087552985122,0.008510046363515614,0.6865501864465925,0.0011832397740446088,test
6,400,False,True,c,0.00501024758405098,0.05344801500456746,0.004518010996867554,0.05333768884052345,0.6297917676991369,0.05429341238949356,0.011537907502093745,0.007401164049346942,0.06552302201118408,0.004870994179394908,0.06579222465277745,0.5977363276968825,0.0666991359368374,test
7,800,False,True,c,0.0004388425412923196,0.05698608616217345,0.001695124666584652,0.05698682519127893,0.6522118046978091,0.059300962319366504,0.003487344354686946,0.049393209894351545,0.07845539906683037,0.04855821018166379,0.07845377516663185,0.654627444262087,0.08239912954340473,test
0,100,False,True,c,0.014449588602437809,0.0739105427404756,0.015663419853059402,0.07391018870754511,0.10601492141366303,0.07391005050134994,0.021150479589033506,-0.18672550113114003,-0.1549677904419074,-0.18390829584436194,-0.15496861580548085,0.4320148858663766,-0.1445611059091375,train
1,200,False,True,c,0.06767990242989877,0.05799520150568375,0.0032608659049763434,0.057997390664129914,0.07456604219974174,0.05497289532391404,0.0404506090648145,-0.005070469797321799,0.06923581641100938,0.047067853797799125,0.0692324130102481,0.8872853421222612,0.08791305795619897,train
2,400,False,True,c,0.004721443131936976,0.0690544478986455,0.005122905636885695,0.06904163822623445,0.10247595419628863,0.06996197734187903,0.005842308012634207,-0.11279242975173044,-0.06170818046395887,-0.11057639504655199,-0.06174320525527392,0.3826207808861223,-0.053560321683430445,train
3,800,False,True,c,0.006919650478763938,0.05440247346345951,0.002729220919951326,0.05441659025358367,0.0876285406143803,0.056385569394723056,0.006061165129734638,0.01918724405488373,0.07867927283842634,0.025210893590824204,0.07864924218898885,0.8129940377312156,0.0860604575041477,train
4,100,False,True,c,0.019545945249338097,0.09149712746876261,0.015663419853059402,0.09149606877407881,0.9201804764369322,0.06248845205119579,0.05996579848553786,-0.04757237541772799,0.030161492052920097,-0.041807620795392984,0.030159121539858662,0.9723846779011156,-0.015902338744598066,test
5,200,False,True,c,0.030370631247865702,0.06452536767467253,0.0032608659049763434,0.06452892064226635,0.9141355871704734,0.05385906399416029,0.0019674040503815686,0.08074971745444996,0.04462768099197923,-0.011674203176053126,0.044632334656982235,0.8969121150071853,0.02975890956966243,test
6,400,False,True,c,0.00468502970417092,0.06311461150333025,0.005122905636885695,0.06311204539925958,0.5550084119512949,0.06290636933502225,0.011707554463909755,0.07371520529298083,0.14297215484009634,0.07287327491429642,0.14293814003391908,0.6168688392104066,0.11829709882958112,test
7,800,False,True,c,0.005033390629736126,0.05593187463801429,0.002729220919951326,0.05595846417024258,0.8032506190424225,0.05700670777095907,0.0038697270561062523,-0.04379322210553431,0.02004781280398973,-0.05449234546303866,0.020025439479962444,0.8531973280298447,0.0026755625973401975,test
0,100,False,True,c,0.09229967567173976,0.07374825372694578,0.007493965616590536,0.07383807938252913,0.0923610284788612,0.06846865285546261,0.03584917560551319,-0.02986764411713234,0.05095798015706656,0.03992386298522711,0.050952513913498976,0.4602017698612487,0.08899093119155,train
1,200,False,True,c,0.00928820463663057,0.06687159612352715,0.009417180004410865,0.06687404639033886,0.10465903365164486,0.06955542498723441,0.022059750384487247,-0.0866719469459907,-0.043575089145841586,-0.08548942664608848,-0.04357561412101994,0.20319131011641275,-0.03791305404746936,train
