,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,MSE_EBCF,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,c,0.07231384374033918,0.07232602684133496,0.006098689908461264,0.07231577209090938,0.06408412558158356,0.05897267167667149,0.03598567645837826,0.008157777464806068,0.008158905697897581,-0.0326353158032757,0.00815654825020097,0.5653670924261734,0.03144330004759238,train
1,200,False,True,c,0.04652445945696201,0.05764749798430183,0.05872620825316676,0.057645655540503514,0.09235408141240553,0.062389261560136425,0.012863220241373399,-0.07642718451391016,0.007904670545565864,0.009745169814571217,0.007905083120879937,0.7548022837202615,0.015439856996460721,train
2,400,False,True,c,0.0023631527284149008,0.05075004208253803,0.002412083281968957,0.050774138255925916,0.08416581832377348,0.051040807712388316,0.0036612124057387647,-0.02562006765447367,0.036407207586192744,-0.024690599854098164,0.03638971647520656,1.0920443885194018,0.043007566068910486,train
3,800,False,True,c,0.005918537443960833,0.056897062458979936,0.004944033306698157,0.0569448096306754,0.0634487316235112,0.05414183688719636,0.021119865166227436,-0.015381257875342474,0.047187918543662874,-0.012096718278621422,0.04712324567022641,0.7779734251284338,0.051935320138659036,train
4,100,False,True,c,0.050105247710815516,0.0501081433937433,0.006098689908461264,0.05010579656775455,0.5484075569891648,0.06910967150132485,0.00550306114944946,-0.04814801662670914,-0.04811479346518894,-0.18091164311879887,-0.04813546045097951,0.6066141943293261,-0.06058582150588954,test
5,200,False,True,c,0.031600880104122236,0.05349944671248907,0.05872620825316676,0.0534983969701902,0.9306556721728785,0.05259699616906996,0.013304332196616,0.06917131452565108,0.08551164802294074,0.0911299144981933,0.0855094030571484,1.0514213872949312,0.07525820702885688,test
6,400,False,True,c,0.0022820888746157143,0.05733574746754321,0.002412083281968957,0.05737355584011349,1.1246231124429489,0.056973949977429085,0.0030745028515486417,0.007061971550434641,0.058161480520637666,0.008647451771345157,0.05839471185525945,1.2324033726649928,0.05734515035270693,test
7,800,False,True,c,0.006178402746340167,0.054503515749643974,0.004944033306698157,0.05448725746657132,0.6694906724911626,0.051055767187873725,0.004318178213560349,-0.0025841572139529002,0.05636043216625154,-0.006173208127872343,0.056443587732904706,0.7028520390676407,0.058235107852536105,test
0,100,False,True,c,0.04914217519251094,0.0871660934281086,0.0037128407464143715,0.07946683087712406,0.0843542307822403,0.05122697762388402,0.0148972172510584,-0.08270681530511535,0.012420035976704895,-0.05174399310420611,0.01135123671905518,0.8837297653208389,0.036869616835544794,train
1,200,False,True,c,0.04759162560104723,0.06428426299955657,0.011162679791916588,0.06428535806539157,0.09431123580000858,0.0662762576430971,0.04704469069369113,-0.0481314655174085,0.0014131738391545668,-0.02452953607631228,0.001374770012201978,0.3963864274690603,0.007988552204002297,train
2,400,False,True,c,0.020702679065352413,0.0581973944702561,0.005974277311864089,0.05817424003227406,0.0711534960532926,0.056179049217733326,0.01635212919476507,0.023347664598712386,0.08651767647646182,0.04507345491714377,0.08652569894515345,0.4672262085932505,0.09382359807391771,train
3,800,False,True,c,0.006585694828613204,0.05494920812941288,0.003462605198199793,0.054945801139355835,0.07449040650190937,0.054588966951600586,0.005475646891348326,0.0028290279675211695,0.06804834582005903,0.008492113323080036,0.06805066169446505,0.8048135803922009,0.07406121312541486,train
4,100,False,True,c,0.017817910283216738,0.0575707501263322,0.0037128407464143715,0.05615587332312356,0.9063539841468088,0.06358956077496183,0.006570194008067563,0.03642876363623122,0.05723001341862755,-0.006077005196638954,0.05200051602079256,0.9521001156148442,0.0070870476684449235,test
