,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,MSE_EBCF,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,i,1.5647108003675172,1.4719107804592435,1.4356041849283818,1.4718737605503753,1.4519978761911667,1.3984682607482402,1.6091227083215494,1.4132882281668513,1.3713738526015409,1.5185054385076495,1.3713389839749908,4.473198390981081,1.6666268991289719,train
1,200,False,True,i,1.7765300247852134,1.224265749868446,1.2752502040998506,1.2243916288552585,1.21587982674023,1.169509684359192,1.2998450393433312,0.852821918864251,1.5450037854957714,1.7264969057954518,1.5449427857348503,6.160543975959553,1.6412589477110748,train
2,400,False,True,i,1.827270438898971,1.8298475346896268,1.68683650041368,1.829873163218939,1.8341480909142647,1.8276624720583445,1.6001255513736325,1.5599570767538655,1.5568461531596518,1.4792045289427314,1.5567884059181416,6.432135870140508,1.6067070333182971,train
3,800,False,True,i,1.6990391583073003,1.696221630682152,1.6535188851509184,1.6959667742496283,1.6933674193655488,1.6526607443879484,1.5225414822492627,1.5394232112007113,1.537505108468277,1.6116814869368932,1.5376222757750504,7.490699319305557,1.6126943968069427,train
4,100,False,True,i,1.5828660645030033,1.4947104188045603,1.4356041849283818,1.5029896190320315,4.238012672696419,1.484204797324577,1.6469671732993545,1.5135127661656023,1.5797056182900793,1.558738668790184,1.6583187752584438,2.827555148456895,1.568507522343879,test
5,200,False,True,i,2.0789565283513625,1.3868591586756043,1.2752502040998506,1.387158200378834,5.423248249484242,1.3191973446522376,1.4261669774740973,2.080049427863954,1.5665246470571474,1.6713111481641352,1.567104036536602,5.762224684590377,1.6141841454191697,test
6,400,False,True,i,1.6154860044728563,1.624192981026092,1.68683650041368,1.6233486848837202,6.8267914578010815,1.606054013059387,1.3509748373379018,1.7025748409025656,1.7052064307472166,1.5518768991364535,1.7087573793509325,6.661178262477645,1.6329565722596704,test
7,800,False,True,i,1.5205339503216384,1.5240261794581742,1.6535188851509184,1.5234278601601476,7.249851164119483,1.4766092577759375,1.2564987498426,1.629928478052264,1.6326408565920025,1.623378151499331,1.6334068473203667,7.362586430734876,1.622822877932428,test
0,100,False,True,i,2.5718154011112357,1.6368716855042738,1.6810240537151517,1.6344082257165866,1.523663367203229,1.4369976410545442,1.2249446917790152,0.22792805464617702,1.3943825373628926,1.7222946749290486,1.3943088204871714,5.70213471874219,1.622765563261083,train
1,200,False,True,i,1.7711321071009456,1.7831675849434203,1.694931970653663,1.783356699567725,1.7413863943169643,1.6944864967129076,1.4504996222236095,1.422549684513595,1.419569409372448,1.612763398740655,1.419554819824432,6.306791312979812,1.616493163753498,train
2,400,False,True,i,1.9817975157259626,1.8621172792270375,1.737952753333933,1.8617763183362999,1.8639963605505132,1.715659228418926,1.4530158271303673,1.2377253351574966,1.4722858280183664,1.545242591336171,1.4722586372495239,7.344985894006562,1.6240968740729298,train
3,800,False,True,i,1.6123918423999746,1.6041142308092207,1.448278930699989,1.604353045080124,1.5996531492551913,1.5319452358269683,1.3063519909700148,1.560449360294402,1.523670927047934,1.5206281371611277,1.523635227018098,6.118947668069272,1.61303279157303,train
4,100,False,True,i,2.451003467808269,1.4403511318406919,1.6810240537151517,1.4414110679456837,5.553814204051734,1.4040569678775154,1.468123230070331,2.5477901911104084,1.5091024223081022,1.732306458530594,1.512320345756002,5.891132968278057,1.5531237031854832,test
5,200,False,True,i,1.4420814624979585,1.4629479163941013,1.694931970653663,1.4628811217663864,6.387712925014604,1.2302510474050663,1.1565445147039954,1.974350345666558,1.97517122583393,1.6346511081644681,1.979504468332469,6.318430508352895,1.6370821316846955,test
6,400,False,True,i,1.8670766094782707,1.7205357354370703,1.737952753333933,1.7205293419072667,6.926758854734577,1.5421768253294135,1.36019275057582,1.6985604691578384,1.6781051942245506,1.5858703062736823,1.6780039239217508,6.863093090073993,1.5859659756659377,test
7,800,False,True,i,1.6416572511315208,1.65764467376368,1.448278930699989,1.657748293652713,6.30913299242748,1.590808806253299,1.3778416334464205,1.7385388163953241,1.6746781821489156,1.5364746105630869,1.6748731059206505,6.274090737535935,1.6201413637759443,test
0,100,False,True,i,1.9580770973066557,1.625208999769095,1.680824337734146,1.625157793231879,1.5379581218569853,1.41616034106073,1.6601814488906548,0.06727282887811922,1.1636170722022048,1.2192038494993935,1.1636256495204709,6.427122588506659,1.4478851618411068,train
1,200,False,True,i,1.6087979751814465,1.6105338366670785,1.3435042814313534,1.6104482689834865,1.6141669333264221,1.450968968863111,1.425457313909698,1.3496866069280131,1.3491079478359946,1.4291406449412472,1.3491039011276902,9.977789378385314,1.5925661224111565,train
2,400,False,True,i,1.9398016044238269,1.7128962551048499,1.5746070203155862,1.730753659460794,1.6571469197598088,1.574854565137777,1.448243937755631,1.090552799996274,1.3209806898890508,1.5513161217476152,1.3227671926930713,6.910272192174869,1.5536223918979084,train
3,800,False,True,i,1.6837768239028907,1.683819224690496,1.5441509939852371,1.683846001909755,1.698373698061699,1.67927766343793,1.3543613452311152,1.5457365745046345,1.5454650342937948,1.5387959892422307,1.5454346371108079,7.567581648475819,1.6333396653714578,train
4,100,False,True,i,3.1937095081017093,2.365932606871721,1.680824337734146,2.362647691268259,12.44414453777092,1.914232513398078,1.8351758642829656,2.4443134117092837,1.9139750171416363,2.076192849800934,1.9198119931244169,11.652112022365097,1.656160742892414,test
5,200,False,True,i,1.6754118568874483,1.9471405545636329,1.3435042814313534,1.8377838196236087,10.934899000820288,1.488533834246753,1.3176513316495966,1.847725900888857,1.7637978744431357,1.7647552929930619,1.7305577784341468,12.014323093859987,1.6380654093756317,test
