,n,hidden_sizes,experiment,MSE_wellspec,SURE_wellspec,data
0,100,None,c,0.04387977288476046,-0.04146216699019419,train
1,100,"(2,)",c,0.03136779173268314,-0.027465081450524648,train
2,100,"(2, 2)",c,0.062487431392694394,-0.05486408369028054,train
3,100,"(4,)",c,0.05671700391908058,-0.054631845515360496,train
4,100,"(4, 4)",c,0.07356801351369141,-0.06621047653565217,train
5,100,"(6,)",c,0.06688376038840205,-0.05929863857558374,train
6,100,"(6, 6)",c,0.10605476806597455,-0.09229522831130524,train
7,100,"(8,)",c,0.0709348199337291,-0.061905358394214835,train
8,100,"(8, 8)",c,0.11375718936224716,-0.08974718204142043,train
9,100,"(10,)",c,0.06358482753016091,-0.05755249153659379,train
10,100,None,i,2.49559626318415,-1.7562460237716044,train
11,100,"(2,)",i,2.4113368180612422,-1.746867446070087,train
12,100,"(2, 2)",i,2.1486904071077935,-1.8090241300944399,train
13,100,"(4,)",i,2.419735800565844,-1.7475022898842445,train
14,100,"(4, 4)",i,2.223518024889895,-1.7926042146002181,train
15,100,"(6,)",i,2.4477830936780003,-1.773632252186063,train
16,100,"(6, 6)",i,2.340302391373309,-1.8286903149165963,train
17,100,"(8,)",i,2.3535160813894156,-1.857422999993803,train
18,100,"(8, 8)",i,2.5650384941672018,-1.4738605049349125,train
19,100,"(10,)",i,2.424937422859527,-1.7274323218633318,train
20,200,None,c,0.040241663754595744,-0.029480168653153598,train
21,200,"(2,)",c,0.062388328876734137,-0.042069442410329824,train
22,200,"(2, 2)",c,0.0332835569922994,-0.026090194243634252,train
23,200,"(4,)",c,0.09491704966277563,-0.07316743730771988,train
24,200,"(4, 4)",c,0.09401889370992679,-0.07436762376857035,train
25,200,"(6,)",c,0.09178708236623669,-0.0675754243065725,train
26,200,"(6, 6)",c,0.11389098686433292,-0.08391828494227765,train
27,200,"(8,)",c,0.05746210108407957,-0.03858568691592554,train
28,200,"(8, 8)",c,0.07771183676217186,-0.05145034237790544,train
29,200,"(10,)",c,0.08935127858067396,-0.07092102686918376,train
30,200,None,i,2.282888526896027,-1.4363118878008398,train
31,200,"(2,)",i,2.3431728118073405,-0.9647819561061516,train
32,200,"(2, 2)",i,2.1863660533911475,-1.340906892799888,train
33,200,"(4,)",i,2.324953919761717,-1.1814903232274774,train
34,200,"(4, 4)",i,2.5316686236267354,-0.7576182791139485,train
35,200,"(6,)",i,2.2837534761667784,-1.1444337508677351,train
36,200,"(6, 6)",i,2.4761771691750054,-1.2779580527895225,train
37,200,"(8,)",i,2.2353613218637953,-1.032901989603889,train
38,200,"(8, 8)",i,2.295466286220642,-0.9573771510699314,train
