,n,hidden_sizes,experiment,MSE_wellspec,SURE_wellspec,data
0,1000,"(8, 8)",c,0.00410187669101509,0.010204082751369881,train
1,1000,"(256, 256)",c,0.030799276365635432,-0.00950317900187068,train
2,1000,"(256, 256, 256)",c,0.009140234303819543,0.0057494719791593195,train
3,1000,"(128, 128)",c,0.03601474481550598,-0.01108575360393889,train
4,1000,"(128, 128, 128)",c,0.05195847314834682,-0.020263511509366037,train
5,1000,"(8, 8)",d,0.002305913395146101,-0.00480638051062729,train
6,1000,"(256, 256)",d,0.0027930781084653782,-0.005383370217523619,train
7,1000,"(256, 256, 256)",d,0.005544596361539719,-0.007597226880673803,train
8,1000,"(128, 128)",d,0.0024156455527115277,-0.005007461849620452,train
9,1000,"(128, 128, 128)",d,0.0048136281826772044,-0.005382362073976807,train
10,1000,"(8, 8)",d5,0.06704180076269825,-0.004250251785303022,train
11,1000,"(256, 256)",d5,0.11922603496322061,-0.04726695316488243,train
12,1000,"(256, 256, 256)",d5,0.11689852758053616,-0.03884357955673582,train
13,1000,"(128, 128)",d5,0.11477102247231581,-0.042877627720086235,train
14,1000,"(128, 128, 128)",d5,0.04558419716231337,0.006014651059745878,train
15,1000,"(8, 8)",e,0.15100422169267175,0.1402176410246768,train
16,1000,"(256, 256)",e,0.15154102010853734,0.14033850124846062,train
17,1000,"(256, 256, 256)",e,0.1509471449376448,0.14012469670817215,train
18,1000,"(128, 128)",e,0.15094600046267836,0.14012831573235607,train
19,1000,"(128, 128, 128)",e,0.15094679487179377,0.14012454677520156,train
20,1000,"(8, 8)",f,0.002464461396512479,-0.00565376095595734,train
21,1000,"(256, 256)",f,0.008810699407671546,-0.012172714641934866,train
22,1000,"(256, 256, 256)",f,0.008979432770566452,-0.009783370836399807,train
23,1000,"(128, 128)",f,0.02590183143495977,-0.02104512338548374,train
24,1000,"(128, 128, 128)",f,0.009165627460724971,-0.015067274133391189,train
25,5000,"(8, 8)",c,0.002857886014223843,-0.015158400478519725,train
26,5000,"(256, 256)",c,0.0027171420329509433,-0.01588536832351716,train
27,5000,"(256, 256, 256)",c,0.00752151798617033,-0.020005933763092423,train
28,5000,"(128, 128)",c,0.0033308595322411342,-0.016105257643311947,train
29,5000,"(128, 128, 128)",c,0.010315222744702037,-0.020471956251605437,train
30,5000,"(8, 8)",d,6.837901409963963e-05,0.000753839404008863,train
31,5000,"(256, 256)",d,0.00038945113989765083,0.0003123645094627458,train
32,5000,"(256, 256, 256)",d,0.0018551857663552174,-0.0013019293555766327,train
33,5000,"(128, 128)",d,0.001482113476046489,-0.0007300961309789648,train
34,5000,"(128, 128, 128)",d,0.0006035821352657805,0.0001983627042545029,train
35,5000,"(8, 8)",d5,0.0006948225790649349,-0.013493129108526836,train
36,5000,"(256, 256)",d5,4.241887817061233,4.225323326572584,train
37,5000,"(256, 256, 256)",d5,0.0016565269830939916,-0.015739470024635716,train
38,5000,"(128, 128)",d5,0.0030833484154951106,-0.01628952910997333,train
39,5000,"(128, 128, 128)",d5,0.0031733719718111753,-0.016058999647961314,train
40,5000,"(8, 8)",e,0.15401682921287055,0.1494218821826973,train
41,5000,"(256, 256)",e,0.15399172118169893,0.14942557850210864,train
42,5000,"(256, 256, 256)",e,0.15402948807428224,0.1495231853110598,train
43,5000,"(128, 128)",e,0.15399623174687302,0.14942056060325679,train
44,5000,"(128, 128, 128)",e,0.1540028577369718,0.14942232477607564,train
45,5000,"(8, 8)",f,0.057978367985929584,0.03811781473274775,train
46,5000,"(256, 256)",f,0.000320680433604457,-0.01316067121024632,train
47,5000,"(256, 256, 256)",f,0.0023059442946415116,-0.013692220616406235,train
48,5000,"(128, 128)",f,0.0008024265252230262,-0.012894631651648888,train
49,5000,"(128, 128, 128)",f,0.0010489144663612356,-0.013790655384125078,train
50,10000,"(8, 8)",c,0.0003010908981984359,0.001031816064439343,train
51,10000,"(256, 256)",c,0.001288329545876471,0.003736711057469366,train
52,10000,"(256, 256, 256)",c,0.000565501664419559,0.0005331334975397994,train
53,10000,"(128, 128)",c,0.0007795678026074847,0.000710190559342567,train
54,10000,"(128, 128, 128)",c,0.0005105022091227043,0.0005884531084652366,train
55,10000,"(8, 8)",d,0.000168739778421085,0.0017209535286612106,train
56,10000,"(256, 256)",d,0.0010536382904291236,0.0008884390627017003,train
57,10000,"(256, 256, 256)",d,0.0008543262635408624,0.0010007648406428716,train
58,10000,"(128, 128)",d,0.0011185894018807335,0.0010143993451994682,train
59,10000,"(128, 128, 128)",d,0.0006660412558486618,0.00128858342755911,train
60,10000,"(8, 8)",d5,0.024698273340795125,-0.005168029101187144,train
61,10000,"(256, 256)",d5,0.023851927903447714,-0.008930049364344281,train
62,10000,"(256, 256, 256)",d5,0.028726700473092455,-0.011592946631083796,train
63,10000,"(128, 128)",d5,0.025651254370550863,-0.00945005718619608,train
64,10000,"(128, 128, 128)",d5,0.023771249990941427,-0.009293362921817122,train
65,10000,"(8, 8)",e,0.15525238393343996,0.14978906586548302,train
66,10000,"(256, 256)",e,0.15454283604439867,0.1493820699437704,train
67,10000,"(256, 256, 256)",e,0.15420550274530237,0.14944358377497102,train
68,10000,"(128, 128)",e,0.15452444955461084,0.15038735032022524,train
69,10000,"(128, 128, 128)",e,0.15432612185636255,0.1493226208479502,train
70,10000,"(8, 8)",f,3.969743404578999e-05,-0.0023898920844084687,train
71,10000,"(256, 256)",f,9.128764512380969e-05,-0.002487174130426891,train
72,10000,"(256, 256, 256)",f,0.002204493785549356,-0.0031546389597506383,train
73,10000,"(128, 128)",f,0.00019459041461538696,-0.0026532574994496557,train
74,10000,"(128, 128, 128)",f,0.00026536058293958107,-0.002590057277824861,train
75,1000,"(8, 8)",c,0.00349136136109588,0.010863650816648194,test
76,1000,"(256, 256)",c,0.022050553614213025,0.025400811137737376,test
77,1000,"(256, 256, 256)",c,0.008627303643491001,0.018463074550354883,test
78,1000,"(128, 128)",c,0.027560213455183943,0.0324143525282885,test
