,n,hidden_sizes,experiment,MSE_wellspec,SURE_wellspec,data
0,1000,"(8,)",c,0.006115765869833365,-0.023833301260027202,train
1,1000,"(32,)",c,0.007425589968873982,-0.025505230670533757,train
2,1000,"(8,)",d,0.004419641678335784,-0.002499751833440613,train
3,1000,"(32,)",d,0.004707032287752181,-0.0025755972585425743,train
4,1000,"(8,)",d5,0.026383051963206502,-0.021804630976084198,train
5,1000,"(32,)",d5,0.03620089331029817,-0.029768344081351684,train
6,1000,"(8,)",e,0.16782098917811747,0.1383125286165351,train
7,1000,"(32,)",e,0.16787519564341416,0.1383079131612712,train
8,1000,"(8,)",f,0.005693165318535725,-0.0027031644510968206,train
9,1000,"(32,)",f,0.006072691961352452,-0.00309201986214197,train
10,5000,"(8,)",c,0.0005677829157689806,-0.00620260675239323,train
11,5000,"(32,)",c,0.0005447448245329885,-0.0062541886636176165,train
12,5000,"(8,)",d,0.0013498700686748767,-0.0011510668444091774,train
13,5000,"(32,)",d,0.0015436362526377713,-0.0014478389498708694,train
14,5000,"(8,)",d5,0.0010803994166466682,-0.003392142476290401,train
15,5000,"(32,)",d5,0.0015228991253128643,-0.003968878854701134,train
16,5000,"(8,)",e,0.15637746667463318,0.14147042214593764,train
17,5000,"(32,)",e,0.15636068140480852,0.141475485063888,train
18,5000,"(8,)",f,0.0006558670962039701,-0.008259420260938401,train
19,5000,"(32,)",f,0.0005485435151194725,-0.008389322165455971,train
20,10000,"(8,)",c,0.0008790541208649849,-0.0001475659337207457,train
21,10000,"(32,)",c,0.0012409921038508977,-0.00047324738357757323,train
22,10000,"(8,)",d,0.00017719715250110233,0.0023619465472472932,train
23,10000,"(32,)",d,0.0004417340437244408,0.00216603892549662,train
24,10000,"(8,)",d5,0.008050040315422386,0.005716248979562988,train
25,10000,"(32,)",d5,0.008178559922552828,0.004334694666221287,train
26,10000,"(8,)",e,0.15080016353956577,0.14904355855251808,train
27,10000,"(32,)",e,0.1507919671050095,0.14903637645624862,train
28,10000,"(8,)",f,0.0012918857719230153,0.004727100367212004,train
29,10000,"(32,)",f,0.0013146424057696381,0.004708206133469438,train
30,1000,"(8,)",c,0.00322459775064474,-0.020593584136562263,test
31,1000,"(32,)",c,0.004592195736206723,-0.02005935492266503,test
32,1000,"(8,)",d,0.0027862828454168296,0.0013419980419511486,test
33,1000,"(32,)",d,0.0027453167694690686,0.0028360417039908327,test
34,1000,"(8,)",d5,0.04465585886731572,0.06450076249248855,test
35,1000,"(32,)",d5,0.05619666008893882,0.0649985015314765,test
36,1000,"(8,)",e,0.16659233905152496,0.159986306153868,test
37,1000,"(32,)",e,0.16666148863399105,0.16014337326640765,test
38,1000,"(8,)",f,0.005888434370822159,-0.03624848102891031,test
39,1000,"(32,)",f,0.006378789516915027,-0.035996236233220284,test
40,5000,"(8,)",c,0.000563820877763172,-0.01977303862446429,test
41,5000,"(32,)",c,0.0005425687864463197,-0.019752648308262406,test
42,5000,"(8,)",d,0.0007287822469308449,-0.004579418448051666,test
43,5000,"(32,)",d,0.000742795246159764,-0.004575295799456758,test
44,5000,"(8,)",d5,0.036116897247952764,0.035945191489126366,test
45,5000,"(32,)",d5,0.037879061921017865,0.03865610734726044,test
46,5000,"(8,)",e,0.15567092764961732,0.15420446478954122,test
47,5000,"(32,)",e,0.1556701412193217,0.15420222166198105,test
48,5000,"(8,)",f,0.0006475569732431667,0.006957361411618612,test
49,5000,"(32,)",f,0.0005520901327218924,0.007006966708499705,test
50,10000,"(8,)",c,0.0004086741812442203,0.013143333055615169,test
51,10000,"(32,)",c,0.0006143148264016373,0.01336627907706666,test
52,10000,"(8,)",d,0.0001223628899578933,0.004226317357838334,test
53,10000,"(32,)",d,0.00036069235779379255,0.003934518603246715,test
54,10000,"(8,)",d5,0.07692352163145426,0.10304629203230761,test
55,10000,"(32,)",d5,0.03711953080308249,0.05173232859323486,test
56,10000,"(8,)",e,0.1494791632276038,0.149768827924516,test
57,10000,"(32,)",e,0.14947978875114246,0.14976345056644513,test
58,10000,"(8,)",f,0.0012602647999077278,-0.00119240416160255,test
