,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,MSE_EBCF,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,c,0.11488712638440461,0.09372413622281096,0.025133473545820517,0.09375981386318731,0.07704950784660598,0.05558365236023073,0.04519692832144875,-0.12140919448824786,-0.004354767305282153,-0.06450003391516966,-0.004362152293514967,0.43457890874968075,0.027724244039326273,train
1,100,False,True,d,0.0752667819589881,0.021704241342078448,0.01633063771801301,0.04809812680609429,0.017583819880744013,0.01755445394761507,0.03321787712230996,-0.02103929811489989,0.037461384011599944,0.020270966064725983,0.022077126646634734,0.20292468536552788,0.04098782611352883,train
2,100,False,True,e,0.1332759811506221,0.15267284150236538,0.12358302051054736,0.15262799448099237,0.23485760525407176,0.22890168617456763,0.14722591420348716,0.08655454010239823,0.10954126079606458,0.11422698681150148,0.10954979220029581,0.3609491464248535,0.22615599851360285,train
3,100,False,True,f,0.08419905375682614,0.10224612962271745,0.10249438087770871,0.10209316855068129,0.1413873571180918,0.10225189198704131,0.09359571544371337,-0.15097817927235016,-0.08497903670510042,-0.13707559030074204,-0.08497033664042562,0.530400247713569,-0.07380255582688833,train
4,200,False,True,c,0.16569879855237793,0.08375106165826246,0.024055980801596502,0.08377364032795791,0.11390604542107387,0.0824696946874158,0.06644827968415293,-0.039136132344763146,0.12454091597069067,0.09609039108051719,0.12453019291289578,0.7782914550390082,0.13883132782925678,train
5,200,False,True,d,0.0328622053795274,0.00650236944394344,0.0007994104325971396,0.006502034697831454,0.0051989641335043815,0.004431366087035012,0.010481159550417254,-0.008594770692778904,0.018299372480155344,0.013219918765821643,0.01829930457140028,0.10869652200427027,0.021032199419069517,train
6,200,False,True,e,0.16393961131623516,0.1833640825921407,0.15814696721375957,0.18336728859349943,0.30010013565601484,0.25810054192947784,0.17911127507188151,0.12567129514395833,0.15079094346443292,0.16005760813220535,0.1507828506569176,0.2787118455671156,0.23520718270742755,train
7,200,False,True,f,0.03325090917167956,0.04946987903069104,0.014421673986816382,0.04949181881367399,0.08467097336861265,0.052848553196917517,0.0312672918598574,-0.06428134563729192,0.058969560009285826,-0.04224352741375709,0.05894855045077343,1.1031864288020876,0.07204484471035799,train
8,400,False,True,c,0.02406004253546135,0.06460348069510992,0.009631810154757529,0.06459376100528375,0.06397109693179683,0.05840440101546282,0.015600271822695948,-0.01803927396510328,0.05543615412056326,-0.0027153429274366157,0.05540904673201382,0.6623376385450739,0.060978277853414864,train
9,400,False,True,d,0.005499627038444046,0.007871974346295189,0.00383350010866241,0.007874625108698116,0.00939703144511602,0.006317792806722069,0.0038686491508516004,0.007355610091745599,0.012881842768728316,0.00879862867910651,0.012880280753162108,0.07690538959865094,0.015296177974367789,train
10,400,False,True,e,0.1610050580883994,0.17331923135328142,0.15597102064676652,0.1733187532752311,0.2559411478843046,0.23419235153198673,0.17061344376117885,0.14382261203983046,0.1650549987905466,0.15332825405689937,0.16504809504578277,0.3384204225628995,0.23493798280047917,train
11,400,False,True,f,0.10069096699107717,0.09465021497292918,0.0059643003034336025,0.0946433539268079,0.07565607936260023,0.057220310576262194,0.015498369497893353,0.0008385058022714587,0.057661168493689206,0.04763155907386839,0.057656609919106996,0.7669191175470346,0.08717392217409492,train
12,800,False,True,c,0.030241346960097316,0.054504852980116876,0.002255314146746758,0.05450407263403949,0.08100391134942585,0.05740057834908133,0.0025555559100494296,-0.032346510866797504,0.038755828454809065,-0.005700180478257919,0.03875460931411915,0.3801553017546695,0.04261585061646128,train
13,800,False,True,d,0.002844353343589759,0.005641498943606843,0.0004909342928040683,0.005641265107984147,0.005415619509257959,0.005495979220491886,0.0029313920375125097,-0.0020444705525164532,0.004041690915961436,-0.0002922138734398028,0.004041754968962454,0.09123687646770814,0.004430654590245511,train
