,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,SURE_wellspec,SURE_misspec,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,c,0.03862433529902814,0.10526441356400806,0.10529117434313197,0.13041850282751455,0.07540796090256585,-0.13844278693084522,-0.055351046178377744,-0.055358286511342246,-0.01279003084388961,-0.02920798674101399,train
1,100,False,True,d,0.08920198341834801,0.021554840124473715,0.02155542635647298,0.021674783988527686,0.019331253873526154,-0.04362901686752002,0.017946972092997397,0.01794644219415785,0.02074381771950982,0.02241165643129356,train
2,100,False,True,e,0.20252409849761233,0.2091361290982457,0.20804071947377023,0.32543079554204857,0.26282252781632964,0.12300820410329429,0.15256515703219264,0.1532077134621352,0.2811363131765394,0.2359558605039725,train
3,100,False,True,f,0.12151236278563514,0.11388127200659641,0.11388179072031984,0.08210680538836439,0.06512010331811399,-0.017255933435523344,0.08954223592670474,0.08953016338970443,0.11923006391088307,0.13305337676154488,train
4,200,False,True,c,0.023109193451226858,0.0730432338951268,0.07263120542006879,0.09237690686557876,0.06034259273070032,-0.06641553886405738,-0.014091707569831372,-0.014128491964858584,0.01233450980010275,0.0005240509967056606,train
5,200,False,True,d,0.007317056249513936,0.005015710495499758,0.005015602614445971,0.005844872829898775,0.005015687497977569,-0.016942429684813815,-0.008288305883887742,-0.008288299833177516,-0.007772292723965641,-0.007048266636765152,train
6,200,False,True,e,0.1733998026748015,0.20522201753441846,0.20522111114391092,0.28695451364466684,0.26074264658477153,0.13277898990502504,0.14329745969157973,0.14329018764928445,0.23781258822741294,0.22779224296003503,train
7,200,False,True,f,0.029028312136041845,0.05730471728012864,0.05730468738449952,0.07714426706006038,0.057849125829066386,-0.033856207933624725,0.025774848652630383,0.025763432888557886,0.04306578309269583,0.033687745243596356,train
8,400,False,True,c,0.02743610016263947,0.05970509959837615,0.05970087385094654,0.07613246735538814,0.05936121439024134,-0.011051244747725286,0.05717435167161767,0.05718752702448008,0.08485360904601898,0.06329349742915141,train
9,400,False,True,d,0.001721554952909819,0.004600730898241133,0.0046014547789619345,0.004351990046735648,0.004601287555771216,-0.008593727657741279,-0.0017185757692722882,-0.001718616530061272,-0.001012650457932054,-0.0010905989368616004,train
10,400,False,True,e,0.1769084527055459,0.20518571782401535,0.20514564983176448,0.29163264358453517,0.26193671096685156,0.13859399026742827,0.16533264691717506,0.16532801323927637,0.26612550647713956,0.22843755063299104,train
