,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,MSE_EBCF,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,c,0.017819796336618586,0.06058641986693933,0.006068218386306565,0.06136471528964751,0.09985263386651662,0.06429576686561664,0.06415554083816945,-0.1472208516390512,-0.08021194697331652,-0.13278417816138563,-0.08030665320962868,0.43447611287073085,-0.06731771922549262,train
1,100,False,True,d,0.030031296128299835,0.017756202416829694,0.03389855533324118,0.017756443295676837,0.017864991707948422,0.017682573256850603,0.021817228470686807,-0.01667662620934147,0.00393954645558436,-0.011774691380745543,0.003939020804816753,0.12327582367262861,0.006983700717696273,train
2,100,False,True,e,0.20935927686217312,0.23173488441365644,0.20126757702359416,0.23171370189978968,0.3056059926547351,0.26258153573626614,0.2730678354378712,0.08730629528994178,0.11286695039597959,0.12962830114804896,0.11287168475410994,0.34084837240877064,0.2410297363729292,train
3,100,False,True,f,0.08124711215613811,0.0672742553249718,0.013582101877146155,0.06726943353907179,0.1375056192537672,0.07424668537453012,0.07579616949804271,-0.05858257112109373,0.04038688117181643,-0.0033229805024737025,0.04038758420995677,0.7655424908445311,0.06336334003355532,train
4,200,False,True,c,0.004577251726330061,0.06272164376938633,0.0031806117300868125,0.06272570413512309,0.07474933318221329,0.06275733846222599,0.061631504681345727,-0.056535337642381694,-0.01757678626084335,-0.0583275703051226,-0.01757964165107495,0.5092922304753632,-0.005147578444257173,train
5,200,False,True,d,0.0047412017735748635,0.00474171567254909,0.0009573796063431966,0.004758065400053413,0.005670734400896774,0.004741693206799228,0.005598599285665655,-0.010599235398970085,-0.010600437377180897,-0.012350292677641718,-0.01060768481186214,-0.0001368663752698751,-0.00937685106363774,train
6,200,False,True,e,0.18534169528523362,0.1964346168572278,0.16057472175972548,0.19555118825184098,0.28432574966353263,0.23778576519812852,0.2475714976851801,0.11088894337172185,0.1580149284119329,0.15202767300002643,0.16171682980256474,0.3133276851330959,0.2284738974025064,train
7,200,False,True,f,0.16383803622836596,0.08065208897961278,0.01724432336635609,0.08063777824467618,0.08914967914641787,0.06979334908223798,0.07640631968954868,-0.05986237035358753,0.0427631215383068,0.030185381653545954,0.04275301352631502,0.8075926572818233,0.056089434502938684,train
8,400,False,True,c,0.010391839662505476,0.057958499879798564,0.0031463731689765962,0.07215895666703612,0.0908963335627991,0.060009390722740495,0.07168048457530096,-0.03049174373989927,0.04675910143835154,-0.016454069122126963,0.04277016959123614,0.6711732150487666,0.0507939897138357,train
9,400,False,True,d,0.023094023666964635,0.018441641074751443,0.0009105946473341213,0.018443168731933482,0.011023363182136042,0.005353587264551884,0.008192669636262475,-0.0187855795066184,-0.006672249298692421,-0.0005094286220686995,-0.00667369518080724,0.04866894703218747,0.004845304910959983,train
10,400,False,True,e,0.18279513877870648,0.204964065968251,0.1548569504532079,0.20495636591860997,0.33061666278547014,0.2572098559264717,0.2596002071464025,0.1385615333050547,0.15788236511872963,0.14966424907849818,0.15787539916640808,0.33775717938765376,0.23176565994501996,train
11,400,False,True,f,0.009666847697311238,0.05434924685070643,0.001553934819830804,0.054348358866764535,0.08249090375148097,0.05677395827452956,0.057828794160939,-0.06570538065566447,-0.004096000050816713,-0.0596936558849878,-0.004103544552120653,0.8557171999268129,0.002956138410882714,train
