,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,c,0.16654542529753916,0.14812680292971483,0.016073222211274878,0.14804034630567872,0.19283497465285523,0.06969978066873853,-0.09473451154777643,0.027124026392634448,0.03322584637662901,0.02713175638516134,0.4678296479733976,0.10241123488967924,train
1,100,False,True,d,0.0219440215100272,0.007310457061521278,0.00535071618625943,0.007310380312058062,0.011447695486349788,0.00731042705288944,-0.04004525715572679,0.005985398474768431,-0.014421429649602063,0.005985656136762234,0.12703026907812012,0.008381179231818456,train
2,100,False,True,e,0.19358522766787745,0.21483815049451302,0.16711178650899502,0.21486700850955867,0.29425607151134103,0.2672326248905313,0.12000993165661519,0.13104000820943923,0.14894081482159263,0.13102972168295382,0.298757799053229,0.22451304319108004,train
3,100,False,True,f,0.14555524036702663,0.11116982057706841,0.011574154166905019,0.11116757863449407,0.08984809706372002,0.0637798442496558,-0.023589082950573714,0.08115211232981942,0.06232075570958629,0.08115102099162912,0.7803288142684752,0.13376813808411592,train
4,200,False,True,c,0.05996538790806444,0.05213518124409858,0.002084237186019327,0.05213521077150512,0.06396525084420274,0.05155940461140194,-0.05089391794265256,0.047923714358026434,0.012696330624454135,0.047923287643647686,0.6441242847257164,0.05787209742579602,train
5,200,False,True,d,0.03726939207717764,0.04433248385303386,0.026905570791411967,0.044338021619521835,0.01348054650306154,0.013192299960806059,0.007793678638988209,0.024890891334565807,0.01378161715832813,0.02488476940217595,0.17914642241411638,0.04766188671008674,train
6,200,False,True,e,0.16401793410651305,0.16858301666322956,0.15548997119612587,0.16842327989011704,0.32067770623369163,0.25629047498460755,0.0910676505631552,0.12567652598721804,0.11129255391818074,0.1287719997834733,0.27957545251574834,0.2246277136203094,train
7,200,False,True,f,0.03149349150304893,0.057302769950811204,0.002097940054179574,0.057303861930349524,0.0913957814912953,0.058115220266496966,-0.03738827445554797,0.04807106527347926,-0.006356825692050794,0.04805807230243048,0.7706413651195235,0.06292028520151322,train
8,400,False,True,c,0.028322426403904213,0.05020090221398957,0.012481728248519487,0.050201929901554525,0.0792352474409882,0.0509669524014221,-0.06486056125977953,0.030656313255062243,-0.05420757083283923,0.03065248327645783,0.48678380497287693,0.042308010563297915,train
9,400,False,True,d,0.021102117969821775,0.022266459330659093,0.003182206790869127,0.022265848160998206,0.005924447253356856,0.004294995508838914,-0.00777342472843727,-0.0019459003660410447,0.004207708613316089,-0.0019471522688617072,0.11723202204012431,0.009612809258691596,train
10,400,False,True,e,0.1674636374296444,0.19173938026757714,0.1591974474650791,0.1917312461529491,0.281634752752572,0.23893228331046015,0.13053368990591857,0.16780595382624283,0.14275558037227895,0.1678012923976364,0.341334128992697,0.22478125758499679,train
11,400,False,True,f,0.03418103034986555,0.0632913426351446,0.0040905008210258996,0.06329543413298654,0.07308295230323097,0.0568137866888508,-0.006775801472466588,0.03680654402006667,0.01184412914836849,0.03679307123510299,0.8461589901926507,0.04740202327268733,train
12,800,False,True,c,0.0233366124553371,0.057571052477121666,0.0035109552154336393,0.05742929426199392,0.07914014855163733,0.058030946640721864,-0.0191276173037215,0.04403263479012622,0.004497959461403669,0.0440977403449952,0.6159983101065012,0.04762245191828823,train
13,800,False,True,d,0.0016310783382400224,0.005972197811743482,0.0004495332458139139,0.005960666842949662,0.006490426076706072,0.005965988284704485,-0.005475087782792087,-0.00021525599185011403,-0.003639173574636076,-0.0002232958509826588,0.062453758376350504,8.819400966637858e-05,train
14,800,False,True,e,0.16538379515473206,0.18294572279625676,0.14637265958985576,0.18289773823988043,0.2715276593458056,0.22797205066920992,0.14072581457728928,0.16434090319379294,0.1520148074583696,0.16432558003105605,0.3330669234763503,0.23681747512846058,train
15,800,False,True,f,0.005194344197102312,0.056513385547601935,0.0003954675832779853,0.05651585584089738,0.07684302801159633,0.05487591342133528,-0.0070043878526989956,0.04908665329081473,-0.002988958300216241,0.04907350425910416,0.9243183999456477,0.05730462073509007,train
16,1600,False,True,c,0.010323421011132539,0.05670902233503547,0.0072928560940190125,0.05672086423517478,0.06984739170569908,0.0534810311483271,0.017534643014194797,0.08022272738134362,0.021701542059597623,0.08020680941418845,0.9758427689287751,0.08542016816850917,train
17,1600,False,True,d,0.0019495629017456065,0.005042065375784841,0.00010234441205221491,0.005042283318698611,0.0056112715023955186,0.004957778114195188,-0.0034644204089464936,0.0030474132140083654,-0.0019014951668089087,0.003047066026342371,0.05658931421680769,0.003328117703219724,train
18,1600,False,True,e,0.14394072276443784,0.16303737927808953,0.14169333816086346,0.16304491845045802,0.25146976662128573,0.2133389405399372,0.13814977727187175,0.1581388083976362,0.14105747040652894,0.15813584605263672,0.3578067514486877,0.22966706856695834,train
19,1600,False,True,f,0.0019516422878185155,0.059497352622326846,0.0008283187314457962,0.05950413126372477,0.073038982860971,0.05289182074285678,0.000306169722064783,0.04785316486083417,0.001728511387699429,0.04784114830516473,0.9146464731632645,0.058315810791569,train
20,3200,False,True,c,0.0009123929599912168,0.054328671553973196,0.000707831611147504,0.054327729778262536,0.0874371065007527,0.058634846247337814,-0.013313104659859803,0.042939899815270056,-0.01346560195955556,0.0429450812326737,0.5490030266397858,0.045254866842668606,train
21,3200,False,True,d,0.0006321955090335958,0.005014736693107703,0.0003952309277740365,0.005018665800506505,0.005654875386430545,0.005016159318000941,-0.005403576841062271,-0.0019407371945552043,-0.0050267383338094464,-0.0019405114388695388,0.02249336009469877,-0.0018633211398500216,train
22,3200,False,True,e,0.15154613135648662,0.1690646679396899,0.14855629273777282,0.16943215778820003,0.25967930825962887,0.2275219072466432,0.14196690119775895,0.16224416187052298,0.14366938609554505,0.16171884347716847,0.36935582193176897,0.2302877367644647,train
23,3200,False,True,f,0.0005484374303807241,0.06017179545599686,0.0013479677760140766,0.060160798758554485,0.08127526184328918,0.056600389200508354,0.0021571107993285936,0.048390618122387326,0.004026209698099322,0.048384793159760166,0.898637585792778,0.058458718437214674,train
24,6400,False,True,c,0.0003634126129313598,0.05393364993624283,0.0003683439419707834,0.0539294710726318,0.07746538787597942,0.05618773230379547,0.007036253869062255,0.054099193739385217,0.00694351186310535,0.054103644846227185,0.5123212168164709,0.0567633241503509,train
25,6400,False,True,d,0.0009726770401120564,0.005358695650007295,0.0003614363339356501,0.005358030496109233,0.006373909304958288,0.005300787030854732,0.00047340759942784044,0.005433254955687339,0.0009139542222991571,0.005423401508434598,0.0501503413221309,0.005525878265643991,train
26,6400,False,True,e,0.1545142601141827,0.17220044116922545,0.15079837107218957,,,0.23947538514481703,0.14547736693151336,0.16944167463430368,0.14791477956132537,,,0.23343366849232589,train
27,6400,False,True,f,0.0015233625089310463,0.061334056154579646,0.0007194367533426274,0.06131257793572597,0.07416860438963757,0.054112733092186005,-0.00046922029050251447,0.051265015541965726,0.00035350254989201745,0.05125652961466621,0.9364951215571111,0.06294263028095543,train
28,100,False,True,c,0.09277523885662271,0.10893887336081445,0.016073222211274878,0.10886126427327984,0.614816473339924,0.051405469019595286,0.07546689331929754,0.11632007509317369,-0.06079882971588791,0.11621484833845451,0.6789439213175874,0.020698303047734956,test
29,100,False,True,d,0.0271875006261441,0.006801643383880684,0.00535071618625943,0.0068015748120572265,0.1599437674595519,0.005695647266098389,0.03353848764666498,0.010843751643303019,0.001860829635694037,0.010843409934605131,0.15651206877977417,0.010137371491433025,test
30,100,False,True,e,0.20186425344352915,0.21075188745702778,0.16711178650899502,0.21076720307641195,0.42345278726731705,0.3053753216182384,0.14513697590764016,0.16452266286892045,0.13423016612701452,0.1645333164040493,0.28638956971051965,0.22726018981999002,test
31,100,False,True,f,0.13827290790220023,0.13643178182097984,0.011574154166905019,0.13643092584406089,0.6077184889074464,0.06206857783538777,0.11921980621322169,0.05521444430504502,0.020048919486648407,0.05521430125977034,0.8012469855171886,0.047093506802902196,test
32,200,False,True,c,0.0662253394763574,0.05181382873592258,0.002084237186019327,0.051816002376888146,0.6409820448780653,0.05241803056070626,0.06984323928466606,0.09992432396974038,0.01855623524841665,0.0999547048223866,0.7907405774477168,0.09283737926301838,test
33,200,False,True,d,0.027662590256958445,0.011246098819321157,0.026905570791411967,0.011248470636461238,0.11337362675081358,0.0056635855058943295,-0.006236199977648383,0.008398657241175674,-0.0053047056109689255,0.00840626092380985,0.1145214852589735,-0.008828529200066756,test
34,200,False,True,e,0.15765137940084017,0.1731156474161158,0.15548997119612587,0.17357725414898603,0.29470057158485463,0.22368655648147812,0.22321994680105278,0.2633227496353435,0.1948123559595023,0.26074865318261675,0.3420124451772118,0.23803220411185833,test
35,200,False,True,f,0.026442723698009703,0.062405244282273974,0.002097940054179574,0.06240745725498899,0.823370991047595,0.07663939970849958,0.017801577751847063,0.06423868391035577,0.032836280462325576,0.06422477825517248,0.6590350161544358,0.0765427290770509,test
36,400,False,True,c,0.022484612378497144,0.05923621977072739,0.012481728248519487,0.059237276193354775,0.5129208545478223,0.06246324310759766,-0.015420274799992688,0.004562276258214695,-0.01614175268207038,0.00456214475303959,0.4227324220960784,0.00017946570251808902,test
37,400,False,True,d,0.009682147200525177,0.006808313348355838,0.003182206790869127,0.006806869998411473,0.13337429262312936,0.006106277588987907,0.028480988858856346,0.02120433617568155,0.013422775279902517,0.02119379136948483,0.12483578028501902,0.01369280167643308,test
38,400,False,True,e,0.16878181202275264,0.19677206193007307,0.1591974474650791,0.19676512198268348,0.36385728324766814,0.25929988087554323,0.1519470143781876,0.18188597071022636,0.14779519466779184,0.1819010691650589,0.3265776764183559,0.23022587712110626,test
39,400,False,True,f,0.033257219844502965,0.054814023107292095,0.0040905008210258996,0.05481595952084085,0.7952009019674988,0.05310341637268223,0.059518397363330186,0.0633917235417013,0.024972347468436098,0.06337646395204523,0.8535609966976939,0.0757801161318083,test
40,800,False,True,c,0.009581688865378284,0.056785055011317004,0.0035109552154336393,0.05684777975518127,0.6758142507472258,0.057597124709924896,-0.011656762399017941,0.028674852365570516,-0.016292495113956588,0.028808177026278584,0.6696435798979177,0.0263834448073047,test
41,800,False,True,d,0.0012719349242902964,0.0054922115927740845,0.0004495332458139139,0.005475395683782399,0.07223351518446693,0.0063807330004478765,0.013629754396174,0.018904764680092345,0.012020689141906744,0.018866698339867264,0.07759719755909884,0.018178246556281016,test
42,800,False,True,e,0.17373047937564412,0.19003554526181013,0.14637265958985576,0.18993532089006845,0.3555147332664665,0.26386121073280555,0.15378955069543365,0.16787920532863063,0.15178790305490034,0.16798981117456976,0.3469444186510141,0.23080445332359784,test
43,800,False,True,f,0.004964508024730915,0.0568601266059455,0.0003954675832779853,0.05686173964606658,0.9294939994437373,0.053768533523541884,-0.0014684416015317092,0.04327165290182116,-0.008744932006517077,0.04325204888614195,1.0142646038489276,0.05400449424015619,test
44,1600,False,True,c,0.008253718817739331,0.055221915537399864,0.0072928560940190125,0.05525720597152185,0.8535262508176196,0.057426020881639214,-0.00915398708938205,0.03944953048753952,-0.00883369491142256,0.039463146289070536,0.77559174486167,0.03158667274072485,test
45,1600,False,True,d,0.0019483603761294027,0.005491832559759412,0.00010234441205221491,0.005491864706021681,0.05999987645695893,0.005662444371598914,0.002152345008741495,0.009783025698807997,0.0036264622330834644,0.009783655573949286,0.0606118251243085,0.009714583936551502,test
46,1600,False,True,e,0.14307664885528312,0.16363330024442874,0.14169333816086346,0.16364732098583432,0.3609493939287636,0.22679811209157072,0.1537072559920407,0.17628366448125055,0.15068400561699855,0.17629025181112343,0.3792081244583661,0.23273624499745899,test
47,1600,False,True,f,0.0018704481210119737,0.06028827119120308,0.0008283187314457962,0.06029483626837318,0.9065962532633485,0.054647573994467076,0.006389134007877031,0.05349879968660794,0.0060931516958027745,0.053484702313657526,0.9372773538582994,0.0680374947390257,test
48,3200,False,True,c,0.0008930290417124323,0.05465949429610748,0.000707831611147504,0.05464694567261857,0.599948794834471,0.05518275280210452,-0.01070391090169383,0.04866785886972487,-0.01100760176366887,0.04863317981406119,0.6077950573754108,0.04870885140463915,test
49,3200,False,True,d,0.000626764458067717,0.004901323958758773,0.0003952309277740365,0.004905209032107405,0.0309307124909864,0.004892816981012144,-0.0009012411341206828,0.004706746955969336,-0.0004894487346943713,0.004701722482508454,0.029790080187469262,0.004773261453679498,test
50,3200,False,True,e,0.14650369066737423,0.16331413067507192,0.14855629273777282,0.1629602432335593,0.3653977276674197,0.22288256473752807,0.14573789506756085,0.16612208564298925,0.1440774448315424,0.16636598368286912,0.3697845256725405,0.2330433750864774,test
51,3200,False,True,f,0.0005564779715516267,0.059833151152018316,0.0013479677760140766,0.05982292210186177,0.9015022252575122,0.05444775952010151,0.009324220449696689,0.05537216784262377,0.011318753315481874,0.05536693413464619,0.9180309301785776,0.06799704684140445,test
52,6400,False,True,c,0.0003569203861866682,0.05359511432718883,0.0003683439419707834,0.0535948494095844,0.5153700276514707,0.05575485156927871,-0.0015942307459260185,0.053609131413026465,-0.0014948749893746722,0.05360870314580005,0.5131526924956609,0.055942311851870485,test
53,6400,False,True,d,0.0005701266402539115,0.005151409544400168,0.0003614363339356501,0.005150851530943138,0.052848370984379896,0.005038110514533357,-0.0018566666021127183,0.0038634666191984125,-0.002382623341115326,0.003875578459730633,0.053297228484348265,0.0035281441048705814,test
54,6400,False,True,e,0.1525270290832798,0.17192272745482381,0.15079837107218957,,,0.24223536044413607,0.1506287971844733,0.17102821609477226,0.14628199174570816,,,0.23021455678081204,test
55,6400,False,True,f,0.0015633843429667534,0.06302820904701832,0.0007194367533426274,0.06300561036452276,0.8928123135387669,0.0563882546597912,-0.005429314815190259,0.0399562294918632,-0.008025403107239554,0.03995051953875013,0.8789914752869794,0.04797294410318159,test
0,100,False,True,c,0.16659932105619826,0.08152912509243315,0.03835571040225349,0.08039867472626883,0.07591868319202447,0.06109960970539025,-0.060559715568460806,0.11026335956094435,0.015464527340827877,0.10966962885249608,0.8133584741706946,0.13042912294375025,train
1,100,False,True,d,0.018473675893949815,0.004359371739998048,0.002575305194961906,0.004359687263089132,0.004906391340769704,0.0038723704722021923,-0.006327191709340862,0.003596030217323847,0.0011106946289137455,0.0035955610069531296,0.02573868505794181,0.00638678034927008,train
