,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,c,0.03429012104125731,0.07754714307340838,0.003232389206556811,0.07756285434857711,0.10826553870066764,0.06486714312164148,-0.1629097623773942,-0.06734496056131511,-0.12603615199690638,-0.06735130944487637,0.6216959202606107,-0.04644352410686964,train
1,100,False,True,d,0.051859798331423006,0.022449304048350643,0.00952570802013006,0.02245100397727968,0.011437268526999117,0.01121107422177692,-0.016982186758324254,0.02236772363828351,0.01535675338758206,0.02236687355930467,0.14806341792954483,0.03112515016466741,train
2,100,False,True,e,0.22320920967920327,0.31270624254061496,0.16980195960096484,0.31267689452067576,0.4277233987060042,0.27413615822827625,0.05919415479805054,0.11968152950918742,0.1210613677176583,0.11968082055511339,0.2900436903741831,0.21595314575787392,train
3,100,False,True,f,0.053064911205336435,0.06801698002707013,0.012379134027643726,0.06801755892368057,0.062169362372950454,0.058008949116045594,-0.07108230811990003,0.014974139032344737,-0.03581913968706371,0.014961499746145607,0.8553182443929355,0.0350447106331096,train
4,100,False,True,g,0.02326405841285489,0.1718912179435122,0.20733077346832773,0.22213000111035924,0.18676538144448254,0.2163468404948112,-0.10475958712228364,0.045436596079545775,0.29495113978917775,0.07190879211817812,4.4890551936876815,0.29968402006236544,train
5,100,False,True,h,0.3593571270748905,0.3560902914942755,0.3217951614320775,0.3560610081043693,0.3580184337593488,0.3567730208771712,0.1109928068021467,0.2582759693465097,0.33019902321205036,0.25825338401932824,1.0682513186640734,0.3657135925985056,train
6,200,False,True,c,0.13996390115268503,0.07182582147933494,0.02751241231144546,0.07190388202195154,0.06131192608630813,0.05415756764741489,-0.0877861502468954,0.08651790201218383,0.011951270813733655,0.08635338016624523,0.45313875036950024,0.10006393544334014,train
7,200,False,True,d,0.023068541915493047,0.016164398185160612,0.0024717793838956123,0.01614452688052242,0.010489992120184755,0.0071029380492593115,-0.015182973909226481,-5.20008112339454e-05,0.0009013685955740336,-5.35599713841961e-05,0.03905087358679227,0.005756931973389584,train
8,200,False,True,e,0.18670068342159907,0.18686238725213883,0.167034797907532,0.1868474839137788,0.25407301453059083,0.2125600370091692,0.145146770215704,0.14486873063890143,0.14897300032983013,0.14485665825621666,0.3187475378426157,0.2417876622821331,train
9,200,False,True,f,0.01731634928324842,0.05970905074629318,0.0010067350869852876,0.059700799186173076,0.07660820012566016,0.058412114251557325,-0.028209004258803596,0.03626897327419478,-0.009690048025038213,0.03626000267414007,0.7569750924529225,0.04760675164937872,train
10,200,False,True,g,0.03301802905045124,0.12963100810328432,0.2530333546762888,0.12952548539345424,0.13200136373038354,0.24837185137373685,-0.058257916379209254,0.10344104847376993,0.2880906558701841,0.11107624317360629,3.8490129500405033,0.29199515264107784,train
11,200,False,True,h,0.3552845295487826,0.34209579035401055,0.36686601861841844,0.3337980051722624,0.33992709445426333,0.37845802796635275,0.2561295786513555,0.30740119018822626,0.3441891271106347,0.3129024552426823,0.8078973912538558,0.36868823393353,train
12,400,False,True,c,0.11153097700986356,0.05665685202340316,0.00783015971754241,0.05665595813098508,0.06255141956058216,0.05368368694394771,-0.02968177478397535,0.08869882325535507,0.03923610747688375,0.08869806473409923,0.4032938232183722,0.0954836665322692,train
13,400,False,True,d,0.013089310795148062,0.00915995290349742,0.002412276698405355,0.009173395228563816,0.006942082087828115,0.007400875989851423,-0.008712086611998102,0.006529226378169089,-0.0011852569901011816,0.00652229227222934,0.08297102952508137,0.008184024106049903,train
14,400,False,True,e,0.16612579144384937,0.1856337052168562,0.1589876390973126,0.21611193714301802,0.30117321445468315,0.24723360295478242,0.12626174278595753,0.15252071868813036,0.14394359131404488,0.1865111155645661,0.3070699384587221,0.23210021790878982,train
15,400,False,True,f,0.05058104642960034,0.07480873578834489,0.0036432277165032293,0.07480619033644388,0.0712306997740629,0.05491698711686713,0.014677057246692172,0.06155848066308508,0.03627417848088671,0.061546505922866646,0.8534416841914384,0.08268368059097081,train
16,400,False,True,g,0.03294896039078365,0.17934037128915123,0.28549227433201857,0.18555691463287108,0.20517952010428242,0.2896060783765754,-0.012010396655113505,0.13651784823199412,0.28032058792684306,0.13666635257794338,4.132368697716202,0.2840360850593292,train
17,400,False,True,h,0.3447469503348974,0.34295269337828943,0.33972971174683025,0.3457663276384646,0.3440431798851818,0.36063719072307016,0.2090622270712526,0.27180990354390333,0.3499090403096858,0.2720542735424408,1.104946699254163,0.3776036547040042,train
18,800,False,True,c,0.04759446927869157,0.06916259571907728,0.004992503061688542,0.06918980649997476,0.0832655845366158,0.05629572893362801,0.013037571282005351,0.0750738966693551,0.04116781286193986,0.07502685113739134,0.8290268352057462,0.09166763608339201,train
