,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,c,0.03687440627373878,0.047324027121306275,0.00919551865605133,0.04731156991956211,0.08925217784691601,0.05151165659525536,-0.1956652957036674,-0.06534480486586546,-0.1668444064933103,-0.06536123987187026,0.7334583540696253,-0.0492153852389125,train
1,100,False,True,d,0.00669201930569862,0.005870691302655436,0.006415189189120881,0.005870734064672993,0.0072887633012794885,0.005870692818789346,-0.011493073304988522,-0.002082059638938869,-0.011546861112864069,-0.0020821501877201242,0.021646520318047136,0.0002390581027520572,train
2,100,False,True,e,0.1726959361313056,0.21618176545478116,0.1565547867905862,0.21614575991487647,0.23867658195009891,0.21922402544180936,0.1323263733203695,0.14427413887347232,0.1621877035004901,0.14425699068474016,0.2876979215587394,0.24045898072448318,train
3,100,False,True,f,0.13813831027242165,0.05731688740909655,0.035964774796258474,0.057309356288366704,0.0798512806755197,0.05150218050484568,-0.0641814838045473,0.07518812554476348,-0.021775046676260745,0.07517962763155069,0.9697114206778187,0.0954391912406945,train
4,100,False,True,g,0.008109261549051044,0.14397696608696228,0.27632326109951005,0.14416455818817334,0.1418975155358598,0.27456815563896947,-0.030424202853326785,0.08391169114558718,0.29486246035919633,0.08389590570092463,4.4093483364063095,0.2987352695217253,train
5,100,False,True,i,2.896067687837574,2.0807587040818296,1.4506880900439156,2.0817920804381695,2.109287493941984,1.9023132451578209,-0.021210159493649988,1.1474940421740416,0.4152276959612766,1.1473886629141503,30.11743799471683,1.8100152433557342,train
6,200,False,True,c,0.03320963193755794,0.06050109710810511,0.001796196326558708,0.06050990975107685,0.09303916806301762,0.06241007849137832,-0.06276355325552879,0.011156161578886029,-0.03781179512472718,0.01111955457491888,0.3168877909511494,0.020576244819082212,train
7,200,False,True,d,0.020139376207042665,0.009848113438124374,0.008792176826377528,0.009848610274543434,0.013094580100181991,0.008206504827179249,-0.007288597011557329,0.013016122715006677,0.0031328652434948773,0.013015728254395302,0.05780237691959218,0.01574729933545381,train
8,200,False,True,e,0.17171516801964146,0.19465036260191076,0.16191612216285187,0.19466222141233314,0.22646501537149383,0.210066940530847,0.10863420698211139,0.12398173742558541,0.12525342473115245,0.12396932993969564,0.29757795884551896,0.22662339782598226,train
9,200,False,True,f,0.01737719902977455,0.05494280850584959,0.0027242113933880607,0.0549424967850482,0.08512544889942351,0.057851775288474634,-0.0930353200241603,-0.01454081976921799,-0.07341456035233625,-0.014552600574577497,0.7429661053076966,-0.007974049391920479,train
10,200,False,True,g,0.171821947607834,0.20395939890281364,0.347937600804045,0.20474579808032242,0.21147180543768038,0.3500530148164674,0.08938719269791541,0.11971935083251367,0.2933561804324953,0.11969052025332416,3.5252213532263106,0.2962581207642789,train
