,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,c,0.06560540926085395,0.08558152675290817,0.04348974927491044,0.08557006842184414,0.047867770933920514,0.07906044523706064,-0.24087360753331385,-0.13832340709391674,-0.021364807253848542,-0.13839246974595568,0.8646617082741233,-0.11800568394040206,train
1,100,False,True,d,0.04401934990248149,0.025952557820766314,0.0023732170516607017,0.02595467781484395,0.011343984133644116,0.004520413012055744,-0.028204212723494874,0.005477953312152408,-1.2473448776171336,0.005476939853105023,0.1366270041208268,0.0220107577102292,train
2,100,False,True,e,0.2471076338063119,0.2677838433005652,0.20069070087038676,0.26778360747916913,0.3491743808314687,0.28169405915720697,0.15691705094225286,0.18785835850421534,0.46317643421951216,0.18785052064155722,0.351148890441996,0.256700710208656,train
3,100,False,True,f,0.04125468036511301,0.06134816314058411,0.0062187789224520595,0.06138011396259448,0.06719543954882334,0.061028611824605665,-0.08032739875910448,0.022299201621605532,0.19860932215885332,0.02228970773196906,0.9406858631646047,0.03373429660617577,train
4,200,False,True,c,0.013088657287211753,0.05724093982169578,0.006144508471628293,0.11523035068576437,0.06981268524304737,0.05420296017853202,-0.04136765324734135,0.0613843135872105,0.19877410431264164,0.04440107289191815,1.1407926177694891,0.07066339945456551,train
5,200,False,True,d,0.029582894856948802,0.006708434269953025,0.0038040211197736713,0.006708718014261294,0.007398592124310773,0.006316459499952052,-0.013278724140651899,0.02040443358261122,-1.208709141197508,0.02040402150548905,0.12016515582434824,0.021952715408407306,train
6,200,False,True,e,0.1846536639751232,0.21722127498928753,0.17886424738856152,0.2172092318082302,0.24387788061601426,0.2288865249258741,0.09259722888097797,0.13560912215612816,0.21866894281531238,0.13560087847221183,0.2787957727740354,0.22648146071059666,train
7,200,False,True,f,0.2024104352158247,0.0793404695079741,0.011532074894725297,0.07935849855964347,0.09026036658639276,0.0666723191928802,-0.07938459352200018,0.06042668130589995,0.3147493669895939,0.06040954536445831,0.7909192062377773,0.07695964728442195,train
8,400,False,True,c,0.015728867710227443,0.057750974819459795,0.004279362824766425,0.05773433171840958,0.0750901928110411,0.05869150489088995,-0.06824991051734683,-0.0005551223409371175,0.2137416412059755,-0.0005491692020210338,0.8704085490117912,0.0034157303306315834,train
9,400,False,True,d,0.009015551176305429,0.003968384174824129,0.0011165445944774323,0.004459081982929813,0.00479824409806075,0.003968355224048345,-0.019548210800342806,-0.012182830273683455,-1.306386408577651,-0.012482148537095662,-0.0009809934713190494,-0.011586052728277521,train
10,400,False,True,e,0.15466855317384728,0.17892208115389863,0.13728876393938516,0.1865264353010735,0.21549612640048982,0.20104621783441753,0.12569814595296833,0.143291194095028,0.19247767983895828,0.14532752404313382,0.301528006545959,0.23293269313505158,train
11,400,False,True,f,0.04500267677678738,0.06160193872825595,0.0042371100631798,0.061602677319543275,0.08285934175120131,0.056034262548810825,-0.0456224579762779,0.015833111443541766,0.2307245044070856,0.015819534906122996,0.7382279835752317,0.03071254136714019,train
12,800,False,True,c,0.0023186261464833726,0.05918528908149419,0.004604299682858799,0.05918459683164377,0.07685654246863735,0.0606021833679389,-0.0330977289052426,0.010610160105713789,0.20793987016552223,0.010607944452888419,0.4700067920624872,0.012777382939290483,train
13,800,False,True,d,0.008222530529824398,0.004646438049414997,0.0023273005389079066,0.00464643063959654,0.0043248652874735985,0.004446065236110624,-0.004271015206265311,0.008599111054974103,-1.1813120607709724,0.008599122036358313,0.08676169239810587,0.00896155397747847,train
14,800,False,True,e,0.16111916145321006,0.1873494264259551,0.1586021517226451,0.1873535787391376,0.26171552479180926,0.24163435203945785,0.13485354046928139,0.15422450878387028,0.1666538344965307,0.15421865702329884,0.3791850252925294,0.22865794542455467,train
